timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.67,-0.32,10.36,-51.88,123.11,26.49
10,2.45,-0.83,9.41,-72.94,127.69,18.98
20,3.42,-0.31,8.13,-69.58,121.83,12.45
30,2.83,-0.10,7.79,-59.57,112.43,7.69
40,3.42,0.27,7.43,-44.86,105.71,1.53
50,3.55,0.04,6.77,-27.16,96.80,-5.13
60,3.47,-0.09,6.17,-12.45,89.17,-23.01
70,3.35,-0.80,4.75,2.38,80.44,-30.46
80,3.27,-1.17,3.98,-0.55,78.12,-36.56
90,3.03,-1.41,3.41,-10.56,76.35,-40.41
100,2.85,-1.53,2.92,-24.78,72.81,-41.14
110,2.82,-1.59,2.71,-39.67,67.87,-39.55
120,2.55,-1.27,3.56,-56.21,51.94,-37.41
130,2.28,-1.26,3.85,-49.01,41.38,-35.71
140,2.28,-1.45,3.82,-33.45,28.63,-31.74
150,1.75,-1.52,3.02,-14.71,13.73,-25.39
160,1.09,-3.10,3.54,3.11,-4.70,-19.65
170,1.17,-2.69,3.13,19.96,-30.70,1.95
180,1.02,-3.24,3.51,26.86,-41.63,12.02
190,0.68,-3.42,3.69,28.87,-54.50,21.42
200,0.52,-3.56,3.93,26.92,-65.37,29.17
210,0.24,-4.53,4.30,22.46,-76.72,37.17
220,-0.49,-4.30,4.35,12.45,-98.82,52.61
230,-0.37,-3.13,6.54,9.89,-102.72,57.43
240,-0.58,-3.40,6.78,19.96,-107.60,62.81
250,-0.62,-3.87,6.76,26.86,-110.60,69.34
260,-0.50,-4.01,6.96,25.57,-110.90,76.66
270,-0.52,-4.02,7.42,21.12,-108.46,84.23
280,-0.41,-3.66,8.96,17.88,-106.75,93.81
290,-0.76,-3.05,9.26,21.24,-111.27,96.07
300,-0.84,-3.30,10.21,29.24,-113.71,98.14
310,-0.93,-3.23,11.22,38.64,-115.72,99.24
320,-1.05,-3.28,12.02,45.41,-120.00,100.71
330,-1.08,-2.82,14.27,46.20,-125.12,109.01
340,-1.21,-2.17,15.61,42.18,-124.69,117.68
350,-1.00,-1.68,16.54,41.08,-118.23,127.14
360,-0.65,-1.45,16.82,45.17,-103.45,135.50
370,0.09,-1.23,17.13,51.03,-80.99,140.38
380,0.76,-1.17,16.97,64.82,-44.98,137.70
390,1.70,-1.69,15.25,75.68,-35.10,131.90
400,1.93,-2.37,13.63,83.31,-31.56,125.18
410,2.03,-3.21,12.52,83.74,-32.53,117.86
420,1.44,-3.36,12.63,72.33,-37.17,112.73
430,0.42,-2.56,14.40,52.86,-60.67,126.83
440,0.32,-1.82,15.43,23.44,-51.21,138.37
450,0.17,-0.92,16.00,18.98,-38.88,145.94
460,0.00,-0.43,16.42,19.04,-27.77,149.17
470,-0.03,0.31,16.45,23.44,-16.17,148.99
480,0.03,0.92,15.83,28.63,-5.00,146.00
490,-0.04,1.72,14.97,25.94,17.40,137.94
500,0.15,2.18,14.73,13.24,20.45,134.52
510,0.29,2.60,14.74,1.16,20.14,127.14
520,0.63,2.81,15.25,-10.19,25.21,118.04
530,0.84,3.20,15.68,-18.86,31.37,106.20
540,0.78,3.61,15.82,-20.32,46.81,80.38
550,0.54,4.17,15.48,-15.75,57.68,70.13
560,0.54,4.44,15.06,-8.61,69.09,61.28
570,0.61,4.41,14.40,-1.22,79.16,53.22
580,0.54,4.14,13.55,4.39,87.40,46.75
590,0.70,3.73,12.85,5.49,101.32,34.85
600,1.36,3.30,11.55,1.71,104.25,28.08
610,1.46,3.08,10.87,-3.23,104.49,20.69
620,1.66,2.84,10.36,-6.41,105.90,12.15
630,1.94,2.66,9.87,-8.91,105.96,2.32
640,2.05,2.52,9.60,-10.50,104.19,-15.63
650,1.50,2.53,9.05,-7.14,99.24,-21.24
660,1.69,2.47,8.46,-2.38,96.68,-22.95
670,1.79,2.47,7.71,2.93,93.93,-24.66
680,2.02,2.51,6.97,7.75,90.76,-27.22
690,2.08,2.46,6.27,12.63,88.20,-31.07
700,2.00,2.23,5.18,16.91,80.20,-38.82
710,2.03,2.04,4.81,13.49,74.52,-41.44
720,2.10,1.92,4.67,7.75,68.66,-45.04
730,2.10,1.82,4.50,1.28,64.21,-49.19
740,2.04,1.73,4.43,-5.31,61.04,-54.08
750,1.87,1.42,4.13,-22.22,58.35,-66.77
760,1.58,1.58,4.96,-31.86,61.04,-71.29
770,1.60,1.50,5.33,-37.96,60.55,-76.29
780,1.35,1.57,5.38,-39.06,56.82,-82.21
790,1.09,1.64,5.40,-35.22,55.73,-87.04
