timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.83,-3.36,4.18,-76.35,83.92,-86.12
10,2.53,-3.00,3.67,-82.70,78.49,-82.46
20,2.93,-3.90,4.07,-81.54,61.46,-67.99
30,2.80,-3.74,3.95,-79.22,49.13,-60.55
40,2.71,-3.59,4.10,-71.35,36.68,-51.76
50,2.87,-3.70,4.17,-61.46,22.09,-42.30
60,2.84,-3.78,4.12,-50.72,7.20,-34.18
70,2.90,-3.75,4.09,-40.95,-3.48,-28.32
80,2.79,-3.74,3.89,-25.57,-17.52,-22.95
90,2.56,-3.84,3.79,-21.67,-25.70,-21.67
100,2.45,-4.13,3.60,-21.61,-33.51,-18.37
110,2.16,-4.43,3.50,-26.67,-40.65,-12.88
120,1.80,-4.35,3.69,-36.25,-47.73,-5.31
130,1.68,-3.82,4.85,-53.16,-65.12,13.73
140,1.75,-3.92,5.64,-55.30,-75.01,24.48
150,1.20,-3.53,6.39,-51.76,-84.84,33.02
160,0.74,-4.69,7.81,-39.98,-94.12,41.69
170,0.81,-3.54,7.62,-29.60,-99.49,57.62
180,0.37,-2.80,9.12,-0.67,-113.65,94.36
190,0.89,-2.36,9.55,15.75,-119.20,108.03
200,1.05,-1.91,9.79,28.93,-122.07,117.61
210,1.22,-1.77,10.15,41.44,-122.31,122.07
220,1.34,-1.83,10.47,53.04,-121.15,122.80
230,1.30,-2.08,10.61,63.05,-120.54,118.47
240,0.76,-2.86,10.75,74.10,-121.34,115.91
250,0.42,-3.08,11.10,72.69,-123.84,115.72
260,0.01,-3.21,11.81,67.81,-127.20,118.84
270,0.11,-3.37,12.82,61.65,-130.55,123.96
280,-0.39,-3.12,13.28,53.16,-133.54,131.29
290,-1.63,-2.18,15.04,41.02,-130.80,144.78
300,-1.99,-2.04,15.39,40.83,-124.08,154.85
310,-1.75,-1.72,15.95,42.60,-109.68,162.90
320,-1.66,-1.23,16.45,45.53,-94.73,167.54
330,-1.60,-0.88,16.55,52.43,-82.46,168.58
340,-1.57,-0.44,16.77,61.77,-58.23,163.33
350,-1.83,0.47,16.87,59.94,-49.62,160.40
360,-1.73,1.03,18.02,56.95,-42.72,157.84
370,-2.70,2.20,16.40,51.21,-45.04,158.08
380,-1.96,1.99,17.39,55.54,-28.44,159.36
390,-1.53,2.60,17.38,58.47,-1.22,158.81
400,-1.40,2.19,16.12,71.17,9.28,154.54
410,-1.39,2.24,15.48,74.83,18.74,149.29
420,-1.20,2.53,15.11,73.49,26.31,145.02
430,-1.07,2.99,15.06,69.70,30.58,140.26
440,-1.13,3.64,14.79,64.51,30.64,133.91
450,-0.64,4.19,14.10,51.15,42.24,121.28
460,-0.34,4.32,13.71,41.32,52.25,113.83
470,-0.16,4.50,13.42,30.33,60.49,104.43
480,-0.07,4.68,13.26,20.32,67.02,94.06
490,0.06,4.90,13.02,12.33,72.39,83.37
500,-0.01,4.86,12.66,6.29,83.44,62.56
510,0.01,4.99,12.35,5.68,88.56,51.82
520,0.01,5.04,12.13,6.96,95.03,43.09
530,0.11,4.88,11.88,11.23,103.15,34.85
540,0.30,4.62,11.42,17.33,109.74,25.88
550,0.20,4.34,10.45,21.12,115.60,11.11
560,0.27,3.81,8.62,17.03,118.35,6.65
570,0.62,3.77,8.12,9.70,118.10,1.77
580,0.88,3.81,7.70,2.32,114.20,-4.03
