timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.13,-1.17,2.79,-23.44,19.59,-24.60
10,2.73,-0.65,1.76,-21.06,16.48,-23.80
20,2.85,-0.74,2.34,-17.82,16.11,-27.47
30,2.79,-0.23,2.21,-14.28,10.13,-29.97
40,3.05,-0.08,2.02,-6.77,-0.49,-35.83
50,2.87,-0.39,0.93,6.35,-5.80,-43.27
60,3.15,-0.87,0.16,5.43,-9.09,-51.27
70,2.83,-1.51,-0.26,-4.39,-13.06,-59.39
80,1.91,-2.04,0.18,-20.32,-21.67,-65.86
90,1.77,-2.80,1.18,-35.22,-27.10,-65.06
100,1.06,-2.25,3.24,-51.27,-47.06,-40.89
110,0.69,-3.10,3.85,-41.75,-54.87,-29.91
120,0.28,-2.76,4.40,-23.56,-67.38,-18.62
130,-0.31,-3.25,4.32,-8.06,-77.45,-5.74
140,-0.99,-3.49,4.33,3.54,-85.14,9.58
150,1.66,-4.20,5.18,-2.75,-118.90,45.41
160,0.65,-3.48,6.33,-1.95,-143.68,52.31
170,-0.36,-3.51,7.01,4.88,-159.48,53.34
180,-0.47,-3.98,7.74,14.40,-162.29,56.21
190,-0.55,-4.49,8.18,22.09,-156.80,60.06
200,-0.55,-4.97,8.29,31.43,-140.56,62.81
210,-0.89,-6.46,8.12,29.30,-138.92,63.54
220,-1.47,-6.46,9.24,15.32,-145.32,68.12
230,-1.86,-5.99,11.06,-2.38,-155.27,78.31
240,-2.21,-5.22,13.49,-12.21,-159.24,89.84
250,-2.82,-4.13,15.51,-14.04,-141.91,115.72
260,-2.81,-2.14,18.68,3.72,-145.87,128.78
270,-2.23,-1.31,19.77,15.93,-136.47,138.12
280,-1.94,-0.55,19.96,29.79,-120.30,142.21
290,-1.57,-0.39,19.36,42.85,-97.66,140.69
300,-0.95,-0.38,19.44,46.14,-79.96,136.29
310,-0.76,0.24,19.95,26.55,-58.72,126.59
320,-1.16,0.81,20.64,17.40,-37.48,121.95
330,-0.92,1.73,21.77,14.28,-13.79,120.61
340,-1.29,1.91,21.99,19.78,-2.81,122.62
350,-1.41,2.29,21.93,31.80,5.37,123.54
360,-1.40,2.37,21.55,69.64,30.40,127.93
