timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.08,0.79,4.39,60.55,3.30,-19.96
10,1.10,-0.08,4.62,60.42,3.85,-39.92
20,2.20,-0.35,4.69,47.73,-10.25,-55.24
30,3.11,-1.12,4.71,32.96,-27.10,-56.46
40,3.38,-2.17,4.47,16.91,-45.53,-47.97
50,3.38,-3.02,4.00,9.58,-64.33,-37.29
60,3.99,-3.59,3.61,7.39,-82.82,-3.66
70,4.19,-3.91,4.07,10.25,-81.85,18.07
80,3.66,-3.74,4.89,15.14,-79.71,38.76
90,2.78,-3.83,6.14,20.26,-80.26,56.64
100,1.90,-3.85,7.96,20.20,-85.39,71.78
110,1.26,-3.77,9.18,14.22,-115.17,91.86
120,0.29,-2.85,10.65,-6.16,-129.82,97.17
130,-0.90,-2.64,10.27,-12.82,-141.97,101.32
140,-1.09,-2.47,11.41,-13.00,-138.98,97.78
150,-1.36,-1.86,11.53,-3.42,-138.12,90.76
160,-1.10,-1.48,11.29,10.74,-133.54,87.95
170,-0.78,-2.69,14.12,54.93,-103.27,95.64
180,0.12,-3.29,14.89,68.79,-86.55,101.68
190,-0.04,-3.08,15.27,86.85,-77.45,108.52
200,-0.53,-3.20,16.01,105.35,-60.42,119.02
210,-0.85,-3.77,17.00,125.06,-40.71,134.70
220,-1.37,-4.28,17.69,156.74,-10.74,161.50
230,-2.15,-3.47,18.06,161.50,1.95,170.17
240,-2.58,-2.79,18.65,155.09,9.77,176.39
250,-3.22,-2.28,18.99,136.41,8.97,179.44
260,-3.96,-1.26,19.02,105.35,2.93,176.33
270,-4.06,-0.36,19.16,29.48,-4.21,149.66
280,-3.33,-0.24,18.56,-5.98,-4.70,128.42
290,-2.61,-0.17,17.91,-40.34,-3.91,108.22
300,-2.16,-0.00,17.37,-72.14,-4.64,92.83
310,-1.80,0.14,16.68,-96.74,-6.04,86.24
320,-1.64,0.58,16.36,-111.33,-6.35,88.99
330,-2.11,2.21,16.34,-113.34,6.71,96.44
340,-2.70,3.00,16.45,-103.39,20.51,106.63
350,-3.30,3.69,16.46,-85.21,38.21,115.05
360,-3.79,4.29,16.52,-62.13,58.96,118.53
370,-4.16,4.84,16.37,-39.98,80.38,116.09
380,-3.75,6.01,15.48,-11.47,121.03,97.11
390,-3.48,6.60,14.35,-5.19,135.62,86.00
400,-3.28,6.73,13.83,-3.91,145.94,75.68
410,-3.17,7.01,12.69,-2.81,146.67,62.38
420,-2.64,7.53,11.54,-2.08,142.76,47.61
430,-2.38,7.60,10.01,11.72,145.26,10.99
440,-1.86,6.97,8.80,21.91,146.85,-4.70
450,-2.14,6.57,7.66,32.84,153.14,-21.79
460,-1.88,6.37,6.65,48.89,161.99,-43.88
470,-1.29,5.79,5.78,70.25,166.32,-66.10
480,-0.70,5.13,4.84,107.91,164.92,-98.14
490,0.95,4.06,4.30,118.71,159.91,-106.32
500,1.60,3.53,4.39,121.77,148.56,-108.83
510,2.27,2.95,4.46,118.04,135.38,-106.99
520,2.80,2.46,4.58,105.96,123.66,-102.36
530,3.02,2.04,4.63,88.50,113.16,-79.59
540,3.19,1.57,4.15,51.21,94.42,-83.19
550,3.21,1.46,3.80,36.38,87.28,-79.83
560,3.29,1.41,3.46,25.27,80.44,-77.51
570,3.34,1.44,3.05,16.42,74.04,-75.38
580,3.35,1.63,2.62,9.89,68.30,-73.06
590,3.28,2.49,1.80,4.52,54.63,-65.31
600,3.03,3.15,1.56,5.80,46.20,-58.78
610,2.61,3.70,1.43,8.91,39.06,-51.76
620,1.98,4.05,1.28,12.94,33.39,-46.81
630,1.41,4.31,0.90,17.88,28.32,-46.14
640,0.71,4.35,0.65,30.27,17.94,-57.31
650,-0.01,4.36,0.43,36.99,12.33,-68.79
660,-0.53,3.94,0.53,42.97,5.13,-82.95
670,-0.77,3.08,0.93,42.54,-2.14,-100.04
680,-0.83,1.83,1.41,31.74,-11.29,-120.54
690,-0.67,0.57,1.83,10.25,-43.70,-162.90
700,0.41,-2.35,2.79,-43.58,-73.91,-171.81
710,-0.34,-3.44,1.98,-66.41,-101.87,-182.13
720,1.00,-3.30,2.85,-87.40,-109.68,-192.02
730,1.75,-4.46,3.80,-93.02,-114.81,-186.83
740,1.83,-5.62,4.75,-92.35,-120.91,-173.58
750,1.16,-6.75,6.80,-78.06,-128.60,-140.14
760,0.53,-7.31,8.10,-58.41,-128.97,-121.40
770,-0.03,-7.74,9.52,-36.62,-124.94,-103.39
780,-0.42,-7.95,10.83,-15.93,-116.52,-86.79
790,-0.54,-8.27,12.05,3.60,-103.58,-70.86
800,-0.49,-8.71,14.82,14.89,-68.85,-41.75
810,0.48,-9.14,15.26,6.77,-58.84,-33.39
820,2.23,-8.66,15.36,-7.32,-55.05,-31.56
830,3.57,-7.28,15.32,-20.57,-53.59,-34.55
840,4.08,-6.26,15.33,-29.85,-50.60,-32.23
850,4.40,-5.82,15.61,-30.27,-40.83,-11.78
860,5.42,-5.58,20.06,-23.86,-39.49,-2.26
870,1.17,-10.36,15.17,-1.59,-61.52,-1.34
880,0.62,-8.18,13.48,-0.85,-59.57,-17.40
890,2.82,-7.14,16.67,-18.86,-20.81,-17.64
900,2.36,-7.54,16.03,-7.75,-20.39,2.32
910,0.23,-7.15,13.82,-8.00,-15.26,11.47
920,-0.13,-6.75,13.36,-9.95,-2.44,15.75
930,-0.33,-6.12,12.46,-8.61,3.91,15.87
940,-0.37,-5.44,11.28,-3.97,7.75,12.63
950,-0.26,-4.87,10.26,1.46,13.06,8.06
960,0.31,-4.07,9.09,4.70,25.51,0.24
970,0.82,-3.59,8.89,5.37,26.98,-2.81
980,1.02,-3.38,8.26,7.69,22.71,-4.33
990,1.08,-3.24,7.58,10.62,16.91,-5.25
