timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.00,-3.88,4.44,-55.97,-65.55,52.98
10,1.46,-5.12,3.92,-68.54,-68.18,67.87
20,2.26,-5.64,5.06,-77.45,-74.77,73.55
30,2.12,-5.01,6.09,-86.49,-80.02,65.31
40,1.39,-4.67,7.19,-81.12,-79.35,47.61
50,1.00,-4.95,8.01,-62.26,-79.53,43.95
60,0.68,-5.28,8.11,-53.10,-80.26,40.89
70,0.19,-5.55,8.36,-46.45,-80.87,39.12
80,-0.19,-5.65,8.86,-40.71,-82.82,40.34
90,-0.32,-5.71,9.48,-35.34,-86.91,44.62
100,-0.24,-5.62,10.88,-21.48,-95.46,54.63
110,-0.29,-5.61,11.47,-13.61,-98.69,59.81
120,-0.60,-5.66,12.00,-7.63,-100.10,66.35
130,-0.60,-5.74,12.38,-4.46,-98.88,74.34
140,-1.32,-5.67,13.09,-4.21,-95.58,82.28
150,-1.99,-5.29,13.67,-4.94,-89.78,100.22
160,-3.26,-3.68,15.72,-4.03,-87.16,108.95
170,-3.59,-2.46,16.69,8.12,-76.17,123.66
180,-3.37,-1.33,17.31,18.19,-70.80,143.80
190,-2.94,-0.24,17.63,27.89,-69.95,160.52
200,-2.73,0.96,17.75,16.97,-63.72,181.88
210,-1.69,3.03,18.62,21.79,-54.63,189.33
220,-1.42,3.14,17.03,15.56,-49.68,193.12
230,-0.43,3.53,17.14,10.01,-28.81,185.73
240,-0.00,3.95,17.34,0.49,-8.54,177.43
250,0.33,3.99,16.95,-2.44,6.10,151.49
260,0.92,4.26,16.10,-2.38,32.53,137.70
270,1.17,4.14,15.68,-1.28,45.65,122.25
280,1.05,4.22,15.49,1.65,56.70,106.32
290,0.77,4.11,15.23,7.51,62.44,93.63
300,0.70,3.53,14.98,16.48,64.82,84.84
310,0.84,2.53,13.79,32.10,68.66,73.06
320,1.14,1.65,13.42,37.35,74.46,69.46
330,1.23,1.32,12.90,38.88,77.76,65.55
340,1.13,0.84,12.22,40.22,79.53,62.38
350,0.92,0.55,11.45,40.16,82.76,60.97
360,0.94,0.53,10.98,30.21,86.79,61.34
370,1.03,1.20,10.68,25.51,86.61,61.58
380,1.11,1.60,10.78,22.52,85.75,60.79
390,1.17,1.95,10.67,22.89,84.78,58.78
400,1.28,2.25,10.48,26.67,85.08,55.85
