timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.68,-4.22,5.61,64.76,54.38,21.06
10,2.69,-5.16,4.23,69.09,60.00,11.60
20,2.78,-4.23,4.61,63.17,53.04,-1.10
30,1.44,-2.88,4.40,57.19,40.71,-11.78
40,1.48,-2.73,4.43,45.96,29.24,-12.08
50,1.39,-3.32,4.13,28.44,8.12,-14.47
60,1.15,-3.35,3.67,21.73,1.71,-17.09
70,1.09,-3.38,3.19,16.78,-2.20,-17.40
80,1.08,-3.48,2.77,14.89,-5.37,-16.42
90,1.19,-3.50,2.33,14.83,-9.58,-15.26
100,1.25,-3.53,1.89,19.04,-18.37,-13.55
110,1.82,-4.02,1.56,19.84,-23.19,-12.33
120,2.05,-4.01,1.62,14.59,-29.17,-11.35
130,1.98,-4.04,1.60,6.10,-37.41,-9.64
140,1.70,-3.86,1.60,-5.62,-47.73,-7.87
150,1.73,-3.95,1.59,-17.15,-59.88,-3.23
160,1.84,-4.19,1.26,-38.88,-89.23,-1.34
170,3.82,-2.58,0.67,-44.25,-106.02,-0.31
180,0.57,-4.74,1.37,-36.93,-125.12,-0.43
190,1.73,-5.31,2.39,-46.20,-130.86,5.49
200,0.83,-6.79,1.67,-44.07,-145.39,4.46
210,1.35,-4.98,2.96,-35.89,-136.72,-13.43
220,1.70,-5.78,3.62,-13.12,-134.46,-10.86
230,1.23,-6.72,3.99,15.56,-138.18,-8.12
240,0.78,-7.50,4.59,42.30,-139.89,-8.12
250,0.39,-8.23,5.50,70.80,-140.32,-11.47
260,0.27,-9.28,6.94,110.66,-141.85,-18.13
270,1.82,-12.29,10.53,107.60,-148.86,-16.05
280,2.28,-13.70,11.19,90.82,-159.67,-6.16
290,2.62,-14.32,11.97,61.65,-166.02,6.84
300,3.52,-14.41,12.82,33.57,-168.40,18.62
310,4.94,-14.18,13.72,23.38,-170.53,21.42
320,5.59,-14.13,16.46,37.78,-164.92,30.94
330,4.36,-14.58,17.65,48.89,-154.11,52.73
340,3.00,-15.08,18.50,64.03,-139.71,78.61
350,1.48,-15.33,18.93,80.99,-127.38,101.62
360,0.16,-15.14,19.41,96.01,-117.37,135.62
370,-1.47,-13.99,20.42,122.62,-93.20,148.44
380,-2.24,-13.54,20.33,130.68,-81.30,161.68
390,-2.97,-12.84,20.36,125.06,-68.24,172.30
400,-3.11,-12.08,20.14,104.37,-56.76,180.66
410,-2.87,-11.11,19.42,73.36,-47.12,183.35
420,-2.61,-8.89,17.65,-1.22,-27.53,178.59
430,-2.87,-7.94,16.54,-37.35,-17.33,175.60
440,-3.39,-6.95,15.91,-65.06,-6.41,168.21
450,-3.32,-5.93,15.46,-80.02,1.83,159.73
460,-2.75,-4.54,15.25,-79.22,7.02,152.16
470,-2.16,-3.24,14.78,-34.36,21.42,149.60
480,-2.00,-1.39,13.49,0.55,37.60,150.45
490,-1.55,-0.40,13.55,33.02,64.45,148.93
500,-0.82,0.37,14.03,63.35,87.52,146.85
510,-0.31,0.91,14.08,87.71,98.33,143.74
520,0.00,1.53,13.85,98.21,102.42,133.48
530,0.54,2.49,12.88,88.38,110.29,124.76
540,0.85,2.65,12.07,75.93,118.65,111.82
550,1.05,2.70,11.15,61.40,128.60,94.36
560,1.17,2.44,10.09,46.26,136.60,75.74
570,1.30,1.98,8.94,31.01,140.62,57.56
580,1.71,0.74,6.56,2.44,138.12,24.96
590,1.93,0.28,5.34,-9.03,134.03,11.54
600,2.33,0.03,4.39,-16.78,128.66,1.77
610,2.70,-0.07,3.49,-18.19,123.72,-4.33
620,3.08,-0.09,2.98,-13.85,120.67,-7.20
630,3.18,0.03,2.26,1.53,118.04,-4.27
640,3.30,0.18,2.26,6.90,116.03,-0.79
650,3.33,0.40,2.25,8.48,113.59,1.59
660,3.26,0.79,2.13,7.14,108.76,2.75
670,2.97,1.11,1.92,3.54,102.91,2.62
680,2.54,1.36,1.73,-8.06,91.06,-3.54
690,1.91,2.02,1.73,-11.66,82.64,-10.44
700,1.60,2.00,1.40,-14.53,74.16,-19.84
710,1.28,1.79,1.16,-16.60,69.95,-32.59
720,1.12,1.43,1.19,-17.40,67.75,-48.71
730,1.25,0.88,1.11,-18.01,63.96,-81.42
740,1.96,-0.26,0.80,-25.09,54.50,-95.34
750,2.40,-0.67,0.86,-30.52,49.38,-105.35
760,2.82,-0.94,1.02,-36.19,43.33,-110.90
770,3.25,-0.96,1.26,-42.85,36.68,-112.24
780,3.59,-0.80,1.62,-50.72,30.21,-108.89
790,3.57,0.06,2.17,-63.84,19.17,-96.44
800,2.69,0.27,2.24,-66.28,15.26,-92.59
810,2.23,0.22,2.19,-63.72,13.43,-93.87
820,1.80,-0.01,2.26,-57.19,12.57,-101.07
830,1.57,-0.31,2.69,-48.03,11.11,-113.65
840,1.70,-0.80,3.30,-33.81,2.14,-138.06
850,2.05,-1.77,4.56,-31.49,-1.46,-146.61
860,2.38,-2.09,5.32,-31.43,-2.69,-150.63
870,2.51,-2.31,5.97,-36.74,-2.75,-149.60
880,2.20,-2.85,5.75,-47.85,-3.23,-144.41
