timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.51,-3.80,10.02,13.79,87.95,41.87
10,4.94,-5.94,7.01,23.80,99.73,27.47
20,3.94,-5.04,6.85,27.95,96.19,7.51
30,2.39,-4.35,5.92,32.35,85.14,-2.75
40,2.33,-4.15,5.20,35.95,71.84,-4.52
50,3.01,-4.12,4.62,34.67,59.94,-13.67
60,2.26,-4.14,3.81,24.96,54.75,-21.24
70,2.03,-4.36,3.24,17.46,56.40,-26.12
80,1.86,-4.51,2.65,8.36,56.27,-28.26
90,1.66,-4.63,2.05,-2.38,54.69,-28.56
100,1.49,-4.89,1.38,-14.40,51.94,-27.22
110,0.82,-5.12,1.12,-46.45,41.38,-19.04
120,0.63,-5.15,1.49,-59.39,33.45,-12.45
130,0.22,-5.48,1.68,-64.39,23.56,-7.32
140,-0.40,-5.82,1.82,-64.64,10.25,-3.36
150,1.94,-6.10,1.53,-62.26,-6.29,1.65
160,-0.46,-6.58,2.77,-57.19,-43.27,11.05
170,-2.13,-7.26,3.25,-52.31,-55.73,14.53
180,-2.35,-7.50,3.39,-51.88,-63.60,21.24
190,-2.54,-7.71,3.64,-52.49,-72.27,29.66
200,-2.43,-7.80,4.04,-53.34,-78.00,37.29
210,-2.42,-7.79,4.45,-54.02,-89.84,49.01
220,-2.35,-7.82,4.82,-48.58,-94.73,55.11
230,-2.12,-8.03,4.99,-44.92,-98.51,61.46
240,-2.01,-8.18,5.35,-39.79,-103.09,66.53
250,-2.00,-8.27,5.84,-31.49,-109.92,70.19
260,-2.07,-8.34,5.88,-21.12,-118.59,90.52
270,-2.17,-8.82,7.08,6.41,-135.19,83.68
280,-2.36,-8.97,7.84,22.46,-145.87,84.59
290,-2.58,-8.99,9.08,38.27,-155.09,84.05
300,-2.69,-8.91,10.84,53.59,-161.38,80.81
310,-2.78,-8.93,12.76,66.96,-162.41,76.72
320,-2.58,-9.27,15.18,81.91,-140.26,66.83
330,-1.73,-10.16,15.10,81.18,-120.54,64.70
340,-1.12,-10.74,14.97,71.04,-98.45,69.70
350,-0.59,-10.68,15.15,59.14,-77.94,80.69
360,-0.04,-10.28,15.36,55.05,-61.71,93.63
370,0.69,-9.86,15.88,84.53,-55.60,114.75
380,1.10,-9.81,13.15,112.00,-61.65,118.04
390,0.89,-9.58,11.56,122.25,-66.96,121.52
400,0.26,-9.02,11.82,115.60,-72.57,131.53
410,0.16,-8.12,12.55,93.99,-95.21,145.94
420,0.52,-7.45,13.79,75.50,-102.23,161.32
430,0.69,-5.21,16.84,45.90,-80.57,162.66
440,0.83,-4.45,17.13,37.72,-64.21,166.14
450,1.23,-3.79,17.08,27.89,-45.96,171.57
460,1.66,-2.93,17.07,13.85,-25.94,177.86
470,2.17,-2.10,17.23,0.85,-7.32,182.31
480,2.96,-0.59,17.42,-7.75,18.07,181.64
490,3.14,0.15,17.22,-2.69,27.53,175.78
500,3.18,-0.02,16.34,4.58,35.58,167.85
510,3.11,-0.33,15.31,9.89,45.47,155.33
520,2.70,-0.58,14.30,10.86,57.01,140.32
530,2.11,-0.85,12.03,2.01,79.04,116.15
540,1.45,-1.69,11.02,-6.59,93.99,109.44
550,1.36,-1.68,10.42,-17.52,104.55,104.37
560,1.25,-1.34,9.84,-24.11,110.23,98.75
570,0.82,-0.90,9.15,-27.10,110.41,93.38
580,0.69,-0.44,8.24,-29.36,107.91,86.85
590,1.42,0.07,7.13,-34.48,105.29,83.98
600,1.65,0.64,7.00,-40.77,99.18,77.33
610,1.74,1.03,6.67,-44.37,92.59,68.30
620,1.80,1.31,6.26,-47.79,88.68,58.90
630,2.02,1.63,6.16,-52.49,84.84,34.42
640,2.50,2.10,6.13,-53.53,73.97,31.01
650,2.54,2.25,5.90,-48.89,69.82,19.78
660,2.55,2.34,5.61,-44.49,67.50,8.48
670,2.53,2.38,5.11,-42.72,66.59,-1.46
680,2.68,2.23,4.56,-44.86,65.73,-9.95
690,2.84,1.91,4.34,-64.88,59.94,-28.38
700,2.68,1.87,4.89,-75.74,54.99,-37.66
710,2.41,2.00,5.22,-80.26,49.99,-44.62
720,2.43,1.80,5.80,-77.64,45.72,-48.28
730,2.35,1.81,6.00,-69.89,37.54,-51.70
740,2.29,1.97,5.93,-48.10,26.73,-60.00
750,2.61,1.53,5.76,-39.86,23.13,-65.98
760,2.74,1.10,5.49,-34.36,20.75,-73.79
770,2.66,0.67,5.24,-33.75,20.14,-82.21
780,2.52,0.37,5.09,-37.17,20.75,-90.03
790,2.38,0.20,5.09,-42.97,21.61,-100.52
800,2.23,-0.00,5.33,-54.50,19.23,-104.68
810,2.09,-0.03,5.36,-57.07,16.36,-108.46
820,2.01,-0.22,5.43,-57.92,14.34,-111.51
830,1.91,-0.19,5.60,-57.13,12.27,-113.34
840,1.86,-0.30,5.67,-52.86,8.24,-113.95
