timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.84,-1.04,7.35,-75.99,13.24,10.74
10,4.61,-0.77,7.30,-83.62,15.81,23.68
20,6.41,-0.72,6.51,-73.55,15.99,19.71
30,6.15,-0.51,6.39,-68.30,13.49,11.90
40,5.85,-0.65,6.01,-59.51,12.94,3.60
50,5.43,-0.91,5.47,-51.03,13.43,-2.50
60,5.09,-1.16,4.92,-44.01,14.04,-5.80
70,4.93,-1.57,3.71,-33.14,10.07,-6.84
80,4.62,-2.12,2.92,-29.42,5.49,-6.35
90,4.24,-2.79,2.01,-30.27,1.95,-5.19
100,3.97,-3.10,1.44,-38.64,0.37,-3.23
110,3.67,-3.24,1.09,-50.66,-2.20,-0.55
120,3.38,-3.20,1.61,-68.05,-10.44,6.47
130,2.42,-2.77,3.99,-60.18,-16.91,12.21
140,1.77,-3.92,4.38,-40.34,-26.18,22.58
150,0.99,-4.30,4.21,-18.37,-37.48,31.37
160,0.25,-4.65,4.00,-2.81,-51.82,46.51
170,-0.36,-4.14,3.97,6.71,-87.89,89.78
180,-0.88,-4.76,4.24,19.41,-99.67,117.68
190,-0.90,-4.56,5.28,22.71,-109.13,139.83
200,-1.01,-4.52,6.34,30.88,-116.76,153.99
210,-1.54,-3.88,6.91,45.53,-127.50,165.10
220,-1.27,-3.72,7.42,54.75,-136.72,174.74
230,-1.48,-3.16,8.87,63.11,-145.45,184.14
240,-1.98,-2.93,9.57,70.07,-148.44,186.22
250,-2.54,-2.84,10.24,77.58,-153.56,189.45
260,-3.06,-2.77,11.16,84.66,-158.94,195.01
270,-2.89,-3.09,12.33,92.71,-164.73,199.16
280,-4.07,-1.86,15.16,119.87,-182.37,210.69
290,-4.65,-0.96,16.11,139.59,-186.52,224.73
300,-4.57,-0.98,16.92,150.09,-185.67,236.02
310,-4.50,-1.02,17.75,154.97,-179.26,240.30
320,-4.64,-0.90,18.60,155.40,-167.48,237.79
330,-4.87,-0.76,18.81,139.22,-132.93,225.40
340,-5.50,-0.22,19.87,117.31,-115.72,222.53
350,-5.63,0.94,21.05,102.23,-97.96,218.38
360,-5.30,1.71,22.37,98.33,-79.77,213.87
370,-5.05,1.99,22.46,99.12,-68.18,209.66
380,-4.60,1.92,21.84,99.91,-57.86,207.34
390,-3.13,2.38,19.62,98.63,-21.73,205.93
400,-2.50,2.00,17.96,94.06,-6.77,202.21
410,-1.92,2.62,16.07,80.69,1.34,194.03
420,-1.66,4.00,18.60,66.04,6.65,189.70
430,-2.50,3.60,18.32,49.87,-7.81,198.61
440,-1.35,4.54,17.92,53.16,4.76,189.09
450,-1.32,4.99,17.17,59.02,34.36,182.56
460,-0.49,5.17,16.67,58.72,60.12,171.63
470,0.06,5.10,15.85,47.73,71.90,157.96
480,0.51,4.90,15.50,28.56,77.51,140.44
490,0.82,5.51,15.01,1.28,96.01,96.80
500,1.35,5.76,14.57,-0.85,112.67,79.71
510,1.52,5.07,14.47,-1.53,120.12,65.86
520,1.71,5.19,13.79,-0.85,117.55,49.62
530,1.47,4.59,12.42,-1.34,111.69,37.96
540,1.62,4.03,11.31,-2.69,117.37,10.93
550,2.19,3.53,10.50,-2.44,124.15,-1.89
560,2.26,3.59,10.22,-7.20,125.55,-13.79
570,2.14,3.96,9.73,-10.13,124.57,-27.59
580,2.10,4.39,9.20,-10.99,124.88,-40.77
590,2.10,4.62,8.73,-8.85,125.61,-51.88
600,2.57,5.70,8.03,-6.84,125.98,-69.70
610,2.76,5.96,7.91,-5.49,126.77,-78.12
620,2.89,5.84,7.77,-1.71,126.89,-87.34
630,2.87,5.70,7.50,4.27,126.77,-97.66
640,2.76,5.38,6.92,10.25,127.08,-108.58
650,2.66,4.94,5.74,12.82,128.91,-130.86
660,2.60,4.67,5.61,7.26,127.56,-143.01
670,2.27,4.29,5.37,-1.34,123.17,-155.88
680,1.77,4.05,5.18,-11.41,118.77,-167.72
690,1.16,4.00,4.85,-19.71,115.72,-175.29
