timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.41,-0.71,7.89,-70.62,65.86,-3.85
10,3.34,-0.82,6.67,-78.67,71.47,2.32
20,3.68,-1.07,6.78,-82.76,65.98,8.91
30,3.49,-0.60,6.46,-86.55,58.41,12.08
40,3.52,-0.09,6.50,-80.81,55.79,8.48
50,3.98,0.30,5.33,-57.25,37.60,2.93
60,3.92,0.33,4.93,-44.86,26.49,-4.46
70,3.91,0.14,4.37,-36.13,17.09,-9.64
80,3.83,-0.14,3.77,-32.17,10.13,-13.06
90,3.56,-0.23,3.41,-33.26,3.78,-15.20
100,3.48,-0.00,3.34,-39.61,-6.04,-15.01
110,3.48,0.06,3.20,-38.51,-12.21,-16.24
120,3.34,-0.15,2.96,-35.03,-19.90,-18.19
130,3.08,-0.44,3.00,-33.20,-29.72,-19.23
140,2.72,-0.70,3.36,-32.29,-41.14,-19.35
150,2.08,-1.14,3.95,-25.33,-68.60,-12.33
160,0.99,-3.05,6.38,-16.17,-82.95,-11.47
170,0.61,-3.62,6.68,-4.64,-89.66,-4.82
180,-0.19,-4.66,7.81,13.12,-100.83,4.15
190,-0.58,-5.86,8.14,28.63,-110.78,15.99
200,-1.25,-6.65,8.71,40.41,-126.46,46.75
210,-2.04,-7.97,9.81,50.84,-132.75,64.88
220,-1.98,-8.15,10.42,48.52,-137.45,84.47
230,-2.84,-8.34,10.99,41.20,-137.02,105.22
240,-3.06,-7.34,11.95,25.57,-130.80,126.59
250,-3.19,-6.19,13.08,8.85,-120.79,150.33
260,-2.64,-3.41,15.33,-9.46,-99.73,190.98
270,-2.01,-2.35,16.29,-5.74,-91.43,204.47
280,-1.48,-1.59,17.00,6.65,-83.13,212.52
290,-1.25,-0.75,17.88,24.84,-73.85,215.21
300,-1.10,0.38,18.79,45.53,-63.78,214.17
310,-0.95,1.46,18.34,81.05,-40.89,209.90
320,-0.76,1.74,17.81,85.08,-30.70,204.59
330,-0.61,1.76,17.65,78.43,-22.22,198.06
340,-0.43,1.70,17.39,67.20,-14.10,191.10
350,-0.23,1.38,16.97,56.09,-5.00,182.74
360,-0.27,1.15,16.49,32.41,12.08,169.74
370,-1.73,1.26,15.84,21.48,9.58,176.27
380,-1.19,1.89,15.90,14.22,13.37,180.73
390,-1.44,2.76,16.20,4.33,25.57,185.91
400,-1.58,3.78,16.31,-5.37,36.13,190.86
410,-1.17,4.92,16.12,-12.70,63.11,185.73
420,-0.35,6.41,14.35,-21.67,79.65,172.97
430,0.26,7.62,13.90,-25.02,100.04,151.61
440,0.02,8.57,12.92,-28.08,110.29,129.58
450,-0.02,8.93,11.98,-28.14,109.86,110.11
460,0.13,8.82,11.11,-26.06,106.81,92.22
470,-0.19,8.63,9.90,-25.02,104.68,62.44
480,-0.31,8.68,9.56,-22.71,106.81,51.15
490,-0.15,8.77,9.12,-17.58,107.48,41.20
500,0.10,8.69,8.42,-9.77,106.38,30.33
510,0.25,8.49,7.61,-1.89,104.68,17.27
520,0.44,8.33,6.87,5.37,103.82,-13.37
530,0.80,7.49,4.53,5.62,102.54,-29.72
540,1.34,7.26,4.79,4.27,109.07,-50.84
550,0.90,7.40,4.02,-4.64,112.06,-70.43
560,0.51,7.08,3.28,-13.18,105.77,-84.96
570,0.50,6.66,2.78,-18.55,95.09,-102.36
580,0.60,5.88,2.60,-24.96,86.12,-108.28
590,0.38,5.88,2.69,-23.62,73.61,-113.59
600,0.36,6.16,3.27,-16.78,61.04,-116.58
610,0.54,6.23,3.58,-6.35,43.52,-115.84
620,0.44,5.62,3.08,8.12,20.63,-114.20
630,0.34,4.44,2.47,30.52,-6.96,-118.35
640,0.19,4.01,2.68,31.49,-13.00,-120.48
650,0.13,3.53,2.78,31.13,-18.62,-121.83
660,0.11,3.13,2.94,29.60,-23.19,-123.96
670,0.02,2.75,3.11,26.43,-26.92,-126.95
680,-0.08,2.04,3.37,15.56,-35.52,-131.10
690,-0.07,1.38,3.50,8.48,-39.73,-132.57
700,0.00,0.92,3.73,1.46,-44.13,-133.73
710,0.06,0.58,4.09,-4.88,-50.05,-134.58
720,0.11,0.33,4.35,-10.25,-58.41,-133.48
730,0.34,0.10,4.52,-20.51,-74.52,-124.57
740,0.97,-0.06,5.20,-24.60,-79.71,-120.48
750,1.07,-0.08,5.78,-26.00,-85.69,-118.23
760,1.12,-0.23,6.41,-22.64,-93.57,-117.13
770,1.36,-0.58,7.50,-14.83,-102.42,-116.76
780,1.54,-0.93,8.49,-4.82,-123.17,-117.37
790,1.89,-2.24,10.17,24.54,-128.48,-119.45
800,1.84,-2.95,10.79,39.37,-131.53,-122.01
810,1.60,-3.71,11.31,50.84,-132.87,-124.51
820,1.35,-4.42,12.02,57.37,-134.09,-126.22
830,0.94,-5.35,12.65,60.00,-135.25,-126.53
840,-0.09,-7.42,14.45,57.07,-127.56,-123.72
850,-0.66,-8.27,14.93,54.38,-118.35,-119.08
860,-1.19,-8.95,15.20,50.72,-105.59,-109.25
870,-1.50,-9.36,15.42,44.68,-90.88,-95.03
880,-1.66,-9.38,15.64,38.15,-76.90,-77.39
890,-1.65,-9.19,15.71,33.26,-52.80,-41.56
900,-1.65,-8.17,15.67,34.06,-44.49,-26.98
910,-1.45,-7.57,15.55,35.34,-37.41,-15.08
920,-1.25,-7.07,15.06,36.68,-29.54,-6.41
930,-1.03,-6.59,14.37,35.16,-19.59,-0.55
940,-0.88,-6.04,13.49,21.55,1.10,6.41
950,-0.32,-4.92,11.88,9.77,9.34,8.06
960,-0.06,-4.39,11.27,-2.87,16.30,8.97
970,0.10,-3.77,10.79,-13.18,22.95,9.03
980,0.16,-3.21,10.36,-20.32,27.77,9.46
990,0.35,-2.74,9.97,-25.70,29.05,10.25
