timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.41,4.58,8.93,-117.13,17.09,22.16
10,3.85,2.59,7.84,-120.54,14.71,34.18
20,3.37,3.20,6.82,-129.09,4.15,32.23
30,2.43,4.15,5.95,-122.13,-5.00,20.39
40,3.00,3.19,6.07,-133.30,15.56,4.82
50,2.63,2.55,5.29,-156.13,6.35,0.85
60,2.77,2.50,4.07,-178.65,-0.31,-3.72
70,2.79,2.32,2.43,-187.50,-6.10,-6.65
80,2.58,1.93,0.73,-173.77,-14.83,-2.99
90,2.73,2.06,-0.05,-145.45,-16.60,4.64
100,2.45,2.11,0.31,-75.74,-20.75,26.06
110,2.09,2.00,1.32,-51.27,-27.53,36.87
120,1.66,1.70,2.74,-36.93,-38.70,46.63
130,1.31,1.54,4.35,-33.87,-53.10,53.34
140,0.92,1.19,5.56,-39.49,-68.36,57.19
150,0.82,1.17,7.06,-47.42,-84.66,58.17
160,1.22,0.82,8.31,-33.57,-83.62,60.73
170,0.93,-0.11,8.95,-13.12,-79.28,65.67
180,-0.84,0.80,10.87,4.76,-73.18,73.49
190,0.19,0.95,11.47,18.25,-54.32,78.25
200,-0.08,0.96,12.64,51.70,-45.53,89.84
210,-0.28,2.16,14.01,68.30,-49.50,91.67
220,-0.42,1.63,14.98,92.59,-60.30,92.77
230,-0.63,1.02,15.65,104.98,-67.44,98.45
240,-0.44,0.96,16.31,99.73,-65.37,105.10
250,-0.26,1.55,16.34,84.59,-51.57,122.80
260,-0.36,4.11,16.01,64.03,-40.10,130.62
270,-0.43,4.90,16.44,61.28,-28.81,139.28
280,-0.93,5.40,17.02,55.11,-18.92,149.48
290,-1.61,5.74,17.32,41.81,-10.68,159.42
300,-2.24,6.79,17.25,21.24,-2.62,166.02
310,-3.28,10.22,15.97,-27.95,21.42,166.50
320,-3.91,11.94,14.95,-46.08,34.42,162.17
330,-4.64,13.70,14.27,-52.06,45.78,153.02
340,-4.98,15.23,14.00,-49.38,53.71,139.83
350,-5.05,16.53,13.52,-43.52,55.66,125.18
360,-5.28,17.67,12.34,-19.23,50.17,93.44
370,-5.85,17.63,12.46,-10.74,53.65,70.98
380,-5.74,17.36,12.05,-12.70,61.77,44.68
390,-5.35,17.19,11.32,-20.81,71.53,18.68
400,-4.68,17.02,10.40,-28.93,81.42,-5.68
410,-3.84,16.85,9.47,-33.69,100.77,-46.88
420,-2.60,15.88,8.32,-34.06,107.42,-59.81
430,-2.32,15.14,7.66,-35.89,111.02,-70.50
440,-1.93,14.42,7.09,-38.21,114.87,-81.18
450,-1.53,13.69,6.36,-40.65,119.45,-91.80
460,-1.24,12.91,5.46,-40.83,124.51,-111.33
470,-0.24,11.01,3.64,-24.11,139.53,-117.98
480,0.31,10.26,2.96,-10.01,147.16,-121.28
