timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.39,-1.95,7.47,-55.85,111.69,35.89
10,3.87,-1.23,6.44,-63.78,110.29,24.17
20,3.96,-1.48,6.52,-65.37,100.95,14.59
30,3.43,-1.08,6.22,-68.12,85.27,5.68
40,3.11,-0.92,6.08,-47.97,67.63,-8.12
50,3.08,-1.01,5.56,-42.48,60.49,-12.51
60,3.03,-1.33,5.01,-31.49,53.41,-15.93
70,2.88,-1.69,4.50,-23.99,46.45,-18.86
80,2.71,-1.87,4.22,-20.63,38.33,-20.20
90,2.57,-1.99,4.18,-18.92,29.54,-19.96
100,2.20,-2.30,4.30,-10.31,8.18,-15.01
110,1.94,-2.53,4.22,-4.03,-3.11,-11.23
120,1.75,-2.68,4.26,1.04,-13.98,-6.47
130,2.04,-2.75,4.40,4.03,-25.45,-0.73
140,1.08,-1.81,3.03,5.19,-37.96,4.27
150,1.36,-2.83,4.65,1.83,-51.27,16.42
160,0.90,-3.14,5.15,-0.73,-55.60,22.95
170,0.91,-3.46,5.28,-3.72,-59.51,28.20
180,0.65,-3.78,5.63,-5.19,-64.70,31.98
190,0.33,-4.03,5.96,-7.32,-69.89,35.71
200,0.02,-4.20,6.41,-13.24,-82.58,46.63
210,-0.24,-4.65,7.53,-16.24,-89.23,53.47
220,-0.15,-5.00,8.11,-17.64,-95.03,59.51
230,-0.46,-5.31,8.42,-19.96,-99.79,65.67
240,-1.15,-5.28,9.65,-22.16,-103.39,70.13
250,-1.41,-5.09,10.69,-22.09,-107.18,85.14
260,-1.80,-4.78,12.83,-20.08,-106.08,99.61
270,-1.39,-4.56,13.35,-15.38,-98.39,116.70
280,-1.09,-4.15,13.63,-7.75,-86.91,133.42
290,-0.60,-3.78,13.44,-0.37,-72.45,148.50
300,-0.38,-3.72,12.94,4.94,-59.39,158.94
310,-1.20,-2.60,13.29,1.10,-50.05,170.10
320,-1.40,-1.51,14.33,-6.16,-50.29,179.44
330,-1.95,0.47,15.31,-11.35,-49.38,191.47
340,-2.27,2.28,16.36,-12.45,-47.79,202.64
350,-2.46,4.02,16.99,-8.73,-42.30,210.88
360,-2.29,5.54,17.82,6.90,-18.86,216.74
370,-0.45,7.48,18.83,18.07,-8.00,212.83
380,-0.91,8.74,16.52,28.63,-8.24,204.53
390,0.39,7.75,16.62,48.16,2.44,194.95
400,0.91,7.94,15.68,55.73,19.10,176.03
410,1.16,8.06,15.42,47.06,37.78,133.79
420,0.95,7.58,14.72,41.50,43.52,115.11
430,0.83,7.37,14.71,37.11,51.94,99.49
440,0.88,7.13,14.69,35.28,61.40,86.18
450,0.99,6.97,14.43,34.30,68.91,74.65
460,1.10,6.76,13.95,34.00,76.60,52.73
470,1.42,6.41,12.48,35.10,94.48,41.50
480,1.61,6.05,11.60,38.33,102.97,29.11
490,1.60,5.68,10.66,40.34,108.89,15.63
500,1.49,5.26,9.84,40.65,113.22,2.75
510,1.38,4.86,9.16,37.84,116.58,-7.32
520,1.31,4.40,8.19,25.63,118.35,-22.71
530,1.32,4.34,7.83,19.47,116.94,-28.69
540,1.28,4.36,7.47,14.71,114.56,-33.57
550,1.16,4.44,7.01,10.80,111.39,-37.41
560,1.13,4.41,6.46,7.45,107.73,-40.34
570,1.27,4.28,6.00,2.44,98.57,-47.24
580,1.52,4.00,5.00,1.83,92.41,-52.00
590,1.48,3.76,4.48,2.20,85.57,-58.41
600,1.39,3.54,4.02,1.46,78.80,-65.37
610,1.39,3.29,3.71,-0.43,72.14,-71.72
620,1.39,2.91,3.44,-3.48,58.11,-84.17
630,1.21,2.14,3.23,-11.54,50.60,-89.78
640,1.06,1.88,3.25,-15.14,43.76,-93.69
650,0.99,1.61,3.37,-16.97,36.01,-95.76
660,0.88,1.27,3.49,-15.32,26.55,-97.47
670,0.75,0.91,3.59,-11.11,16.42,-98.63
680,0.44,0.14,3.72,-1.89,-5.31,-98.45
690,0.40,-0.09,3.97,0.00,-15.01,-96.44
700,0.38,-0.34,4.19,-0.06,-24.48,-93.99
710,0.48,-0.51,4.40,-0.67,-32.04,-92.04
720,0.56,-0.73,4.64,-2.32,-37.23,-90.27
730,0.64,-0.84,4.89,-9.16,-46.88,-88.32
740,0.86,-1.17,5.04,-13.55,-51.33,-88.07
750,0.99,-1.20,5.20,-16.91,-55.54,-88.01
760,0.99,-1.13,5.43,-19.65,-59.81,-87.71
770,1.16,-0.80,5.91,-21.06,-64.15,-86.79
780,1.51,-0.34,6.22,-16.42,-72.45,-85.14
790,2.13,0.23,6.29,-12.08,-76.90,-85.75
800,2.35,0.52,6.17,-8.79,-80.51,-87.40
810,2.56,0.85,5.98,-7.93,-84.66,-89.05
820,2.95,1.13,6.15,-8.67,-88.75,-90.94
830,3.22,1.48,6.20,-11.23,-93.14,-98.51
840,3.74,2.37,7.31,-14.83,-101.26,-103.58
850,2.94,1.83,6.94,-14.77,-113.22,-105.41
860,3.17,1.35,7.72,-3.85,-123.84,-110.84
870,2.68,0.97,9.01,12.63,-128.60,-120.73
880,1.72,0.19,10.77,34.12,-137.76,-130.55
890,-0.68,-2.56,12.75,90.03,-164.61,-149.96
900,-2.32,-4.81,13.32,105.47,-173.40,-161.07
910,-3.83,-7.30,14.23,97.23,-173.52,-170.29
920,-5.14,-9.68,15.48,66.65,-162.17,-175.78
930,-6.44,-11.53,17.25,23.13,-136.41,-174.80
940,-7.43,-12.29,18.93,-51.45,-57.01,-144.90
950,-8.52,-11.87,20.31,-62.26,-17.21,-117.00
960,-8.08,-11.19,19.63,-57.68,12.27,-83.80
970,-6.85,-10.46,18.16,-44.62,30.15,-48.77
980,-5.37,-9.72,16.60,-31.98,36.25,-17.82
990,-4.16,-8.55,15.32,-7.02,36.13,22.03
