timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.93,-0.82,6.63,39.25,27.10,-10.62
10,2.15,-1.57,6.47,38.64,32.53,-17.58
20,3.23,-0.85,6.72,31.43,34.36,-27.22
30,2.95,-1.51,6.19,23.86,19.84,-24.11
40,3.24,-1.83,5.81,17.33,16.24,-17.33
50,2.65,-1.71,5.22,13.18,9.28,-11.11
60,2.73,-1.93,4.74,13.49,8.42,-5.31
70,2.67,-1.95,4.62,14.28,9.09,-0.43
80,2.50,-2.05,4.51,15.44,4.39,6.41
90,2.19,-2.09,4.10,14.28,0.79,8.85
100,1.85,-2.01,3.79,12.21,-4.94,9.58
110,1.60,-2.21,3.40,8.24,-11.96,7.69
120,1.49,-2.40,3.20,2.14,-18.74,5.13
130,1.30,-2.67,2.86,-5.49,-35.89,7.26
140,0.47,-3.16,2.02,-15.44,-47.55,10.68
150,0.13,-3.01,1.62,-19.47,-58.90,14.16
160,1.95,-2.43,-0.18,-21.85,-72.27,17.52
170,-2.69,-2.40,0.23,-12.08,-97.72,21.18
180,-2.45,-3.20,0.39,-7.26,-105.16,28.69
190,-2.58,-4.42,1.64,1.59,-113.04,15.99
200,-2.15,-5.15,2.78,13.00,-119.57,7.93
210,-1.72,-6.14,4.14,20.57,-125.79,4.03
220,-1.22,-7.06,5.69,25.09,-132.26,3.48
230,-0.50,-7.77,7.10,27.71,-139.53,6.65
240,-0.24,-9.47,9.35,34.91,-155.27,22.95
250,0.38,-10.34,11.23,43.27,-158.51,31.80
260,1.12,-11.48,13.46,52.86,-160.52,40.95
270,1.62,-12.63,15.55,55.85,-162.60,51.51
280,1.95,-13.35,17.38,50.84,-163.09,62.38
290,2.20,-13.18,19.09,29.48,-157.47,84.35
300,2.29,-11.33,22.16,21.18,-153.44,97.90
310,2.39,-10.40,23.81,14.83,-146.36,114.20
320,1.90,-9.54,24.77,10.25,-136.66,132.20
330,1.29,-8.26,25.37,7.08,-125.24,149.90
340,0.29,-6.73,25.33,6.16,-91.86,180.73
350,-1.80,-2.25,25.21,19.59,-52.92,192.63
360,-2.59,0.18,25.01,38.64,-22.52,202.21
370,-3.25,1.91,25.07,61.04,9.28,209.23
380,-3.83,3.08,25.28,77.64,39.98,211.67
390,-4.21,4.08,25.43,83.13,65.19,208.86
400,-4.85,5.43,24.58,63.05,92.59,184.27
410,-4.75,5.95,23.47,42.54,98.63,163.94
420,-4.54,6.30,21.82,19.41,102.23,141.36
430,-4.13,6.46,20.06,-1.59,105.77,119.14
440,-3.62,6.66,18.28,-18.49,110.17,98.69
450,-3.13,6.90,16.48,-36.13,121.83,69.21
460,-2.40,7.17,12.98,-36.38,129.88,58.72
470,-2.14,7.04,11.72,-33.02,138.37,49.62
480,-1.88,6.77,10.70,-27.22,144.90,40.04
490,-1.58,6.31,9.81,-20.32,149.17,28.44
500,-1.06,5.85,9.13,-14.53,154.36,2.81
510,-0.09,4.83,8.02,-8.73,155.27,-8.18
520,0.22,4.57,7.34,-11.11,154.36,-16.97
530,0.47,4.39,6.54,-16.97,150.27,-22.95
540,0.65,4.33,5.76,-26.67,143.92,-27.10
550,0.74,4.33,4.95,-37.66,134.70,-46.51
560,0.84,4.55,3.35,-56.27,112.55,-39.31
570,0.80,4.70,2.65,-60.18,102.60,-43.09
580,0.76,4.73,2.21,-58.72,94.73,-47.79
590,0.53,4.59,1.42,-54.38,87.77,-52.86
600,0.30,4.50,0.76,-51.70,84.17,-58.11
610,0.18,4.86,-0.03,-45.35,74.40,-67.08
620,-0.25,4.81,-0.40,-42.48,65.06,-69.95
