timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.09,3.15,4.10,-31.13,64.88,-28.56
10,0.10,1.95,4.26,-15.63,84.17,-33.81
20,1.51,2.49,3.55,-10.19,76.05,-38.57
30,1.56,2.34,3.23,-7.51,72.20,-38.51
40,1.77,2.01,2.82,-8.30,71.66,-36.01
50,2.09,2.04,2.73,-7.02,65.19,-31.07
60,2.10,1.92,2.76,-5.00,42.36,-13.73
70,1.87,2.25,2.68,-5.98,34.42,-5.80
80,1.50,2.30,2.61,-5.86,29.85,0.61
90,1.10,2.23,2.63,-4.58,29.66,4.46
100,1.03,2.28,2.79,-4.15,34.73,5.62
110,0.97,2.19,2.81,-5.49,41.08,6.53
120,0.89,2.10,2.60,-6.29,41.08,10.86
130,0.85,1.91,2.48,-2.62,32.23,13.31
140,1.00,1.86,2.62,1.16,20.20,15.32
150,1.18,1.63,2.71,2.99,6.41,17.46
160,1.29,1.62,2.73,1.16,-7.81,21.55
170,1.30,1.51,2.46,2.20,-39.55,32.84
180,1.08,1.13,2.28,8.06,-52.37,38.27
190,-0.27,1.48,3.33,17.46,-67.32,43.88
200,-0.16,0.41,2.98,31.43,-74.28,49.62
210,0.09,0.21,3.44,40.22,-72.45,49.56
220,0.35,0.26,3.97,68.12,-88.13,47.24
230,0.78,-0.36,6.86,84.53,-96.74,48.58
240,1.35,-0.69,8.86,96.01,-104.37,52.55
250,1.34,-1.17,10.55,98.33,-110.05,59.57
260,1.26,-1.69,12.17,92.96,-110.78,68.05
270,1.26,-1.81,13.46,82.89,-106.75,90.64
280,1.17,-0.93,15.02,61.34,-92.16,102.17
290,0.80,-0.43,15.07,57.25,-86.67,111.76
300,0.52,0.14,15.01,54.26,-79.77,118.53
310,0.30,0.71,14.88,51.39,-71.47,123.29
320,0.36,1.28,14.69,49.44,-63.23,126.46
330,0.41,2.58,14.38,50.90,-48.89,130.68
340,0.25,2.91,14.34,54.81,-43.46,133.61
350,0.07,3.28,14.39,59.20,-39.61,136.17
360,-0.21,3.53,14.75,61.89,-35.64,139.34
370,-0.56,3.91,15.32,61.65,-33.57,143.37
380,-0.92,4.35,15.91,56.52,-33.08,149.84
390,-1.82,5.14,17.41,51.21,-31.07,151.06
400,-2.01,5.60,18.01,44.01,-25.94,149.41
410,-2.25,6.24,18.27,33.94,-16.91,145.63
420,-2.46,6.94,18.33,22.40,-4.03,141.11
430,-2.63,7.49,18.26,11.29,27.16,130.07
440,-3.13,8.29,17.56,-8.73,40.71,123.29
450,-3.34,8.67,17.13,-17.82,52.06,116.70
460,-3.48,9.04,16.69,-26.79,60.49,110.47
470,-3.58,9.44,16.27,-35.03,66.28,103.88
480,-3.61,9.77,16.03,-41.75,71.29,81.79
490,-4.04,10.18,15.68,-53.47,80.02,84.78
500,-4.37,10.43,15.47,-58.59,84.72,78.86
510,-4.55,10.88,15.18,-62.07,89.84,72.94
520,-4.78,11.32,15.01,-64.82,95.70,66.22
530,-5.05,11.50,15.03,-65.86,100.46,58.53
540,-5.14,11.56,14.85,-70.62,109.92,35.83
550,-5.11,11.32,14.14,-78.55,118.90,19.59
560,-4.96,11.06,12.75,-87.89,131.35,2.08
570,-4.63,10.96,11.11,-95.03,144.47,-13.37
580,-4.28,10.89,9.37,-96.44,154.91,-26.06
590,-4.05,10.78,7.64,-87.04,169.01,-42.54
600,-3.38,10.38,5.34,-78.31,170.53,-50.11
610,-3.20,10.09,4.02,-69.34,168.88,-58.41
620,-3.14,9.82,2.57,-58.90,166.93,-67.38
630,-2.76,9.70,1.51,-44.43,164.49,-75.99
640,-2.07,9.69,1.08,-28.26,152.04,-90.45
650,-1.22,8.88,0.91,-10.68,140.26,-95.70
660,-0.97,8.32,0.71,-14.28,126.89,-100.71
670,-0.66,7.89,0.39,-21.55,112.37,-106.38
680,-0.22,7.53,0.02,-27.95,97.11,-112.12
690,0.14,7.15,-0.31,-30.94,83.31,-116.58
700,0.81,6.28,-0.42,-28.56,65.43,-117.92
710,1.13,5.92,-0.39,-25.39,60.79,-115.48
720,1.41,5.72,-0.35,-22.16,58.72,-112.24
730,1.51,5.44,-0.50,-16.85,57.19,-108.64
740,1.53,5.04,-0.76,-11.11,56.27,-104.74
750,1.76,4.82,-0.83,1.22,50.84,-99.24
760,2.12,4.31,-0.71,3.85,45.41,-96.44
770,2.13,4.03,-0.68,3.60,37.84,-93.99
780,2.08,3.77,-0.70,0.55,28.14,-91.92
790,2.01,3.59,-0.66,-3.66,16.97,-89.29
800,1.81,3.40,-0.54,-10.56,-6.23,-84.72
810,1.57,3.03,-0.12,-10.80,-16.24,-84.17
820,1.48,2.81,0.11,-9.03,-24.84,-84.72
830,1.41,2.55,0.50,-4.88,-32.65,-85.69
840,1.37,2.20,0.95,3.05,-40.83,-85.94
850,1.35,1.83,1.39,11.29,-46.81,-83.31
860,1.27,1.30,2.10,21.73,-49.01,-80.69
870,1.49,1.42,2.33,22.46,-47.12,-76.60
880,1.67,1.67,2.38,17.27,-45.84,-71.41
890,1.68,1.96,2.08,6.96,-48.16,-65.55
900,1.59,2.47,1.56,-3.91,-54.57,-60.12
910,1.40,3.13,0.40,-10.62,-72.27,-53.71
920,1.29,3.11,0.51,-5.92,-82.70,-54.75
930,1.26,2.86,1.01,0.79,-96.37,-58.59
940,1.22,2.35,2.03,8.30,-112.85,-64.39
950,1.25,1.64,3.06,12.63,-130.49,-71.29
960,1.51,1.05,3.92,1.16,-154.66,-76.54
970,2.49,0.56,5.80,-5.62,-161.99,-72.75
980,2.69,0.33,6.05,-11.54,-168.82,-62.87
990,2.40,0.60,5.81,-17.94,-171.81,-49.13
