timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.23,0.48,7.15,11.60,-0.79,-9.52
10,4.10,0.12,6.29,9.52,2.69,-8.73
20,3.63,0.55,6.08,8.06,-3.85,-8.85
30,3.22,0.00,5.77,10.31,-10.31,-5.43
40,2.72,-0.35,5.22,10.99,-14.22,-1.59
50,2.16,-0.51,4.56,18.68,-22.22,2.26
60,0.77,-0.58,3.15,24.96,-27.65,4.21
70,0.58,-0.36,2.33,33.08,-33.69,2.69
80,0.37,-0.46,1.86,41.08,-38.09,-1.04
90,0.48,-0.90,1.72,48.40,-43.58,-4.21
100,0.77,-1.55,2.12,53.04,-50.60,-6.35
110,1.04,-2.98,2.80,46.69,-69.52,-3.30
120,0.85,-3.59,2.77,42.60,-77.94,0.73
130,0.67,-4.32,2.88,43.76,-84.35,5.37
140,0.48,-4.98,3.40,50.23,-88.68,9.22
150,-0.03,-5.39,3.65,57.01,-92.22,14.40
160,0.54,-7.30,5.07,63.66,-98.94,28.69
170,0.33,-7.73,5.65,59.45,-107.73,33.02
180,0.51,-7.57,6.26,49.32,-118.77,36.93
190,0.97,-7.54,8.15,37.72,-132.93,40.65
200,0.61,-7.36,7.98,25.33,-147.64,46.69
210,0.87,-7.90,8.83,20.02,-158.08,53.53
220,1.09,-8.14,11.40,22.83,-161.19,56.03
230,1.03,-8.52,12.80,29.05,-163.27,59.20
240,0.85,-8.68,14.56,35.64,-164.00,62.68
250,0.74,-8.52,16.46,37.54,-164.86,69.15
260,0.43,-8.39,18.36,35.40,-167.97,93.38
270,0.03,-6.54,21.51,29.66,-167.97,107.06
280,-0.61,-5.69,22.35,32.78,-163.21,119.57
290,-0.86,-4.70,23.79,37.90,-151.31,129.46
300,-1.28,-3.42,24.28,43.95,-137.82,138.67
310,-1.85,-2.51,24.41,47.49,-120.00,148.01
320,-2.33,-1.33,23.93,59.69,-69.09,159.48
330,-2.51,-0.82,23.65,71.29,-42.72,161.25
340,-2.54,-0.16,23.29,82.21,-20.75,162.48
350,-2.67,0.54,22.80,89.78,-2.56,162.72
360,-2.80,1.07,22.53,93.14,12.45,162.96
370,-3.04,1.82,22.16,85.14,27.53,157.35
380,-3.58,2.00,22.05,73.85,29.36,148.93
390,-3.70,2.11,21.90,59.81,30.64,136.84
400,-3.58,2.09,21.63,44.74,33.45,122.25
410,-3.32,2.15,21.30,30.15,38.51,106.32
420,-3.01,2.06,20.70,9.28,57.25,79.47
430,-2.34,2.04,19.48,3.05,69.95,70.86
440,-2.00,2.18,18.62,-3.17,85.75,68.60
450,-1.84,2.42,17.77,-7.51,101.68,71.78
460,-1.71,2.76,16.77,-11.23,115.91,78.31
470,-1.58,3.47,15.65,-16.36,144.65,95.09
480,-1.96,4.75,13.13,-27.71,151.73,100.40
490,-2.31,5.23,11.91,-30.94,159.55,100.95
500,-2.38,5.87,10.86,-31.68,164.06,95.46
510,-2.40,6.35,9.99,-27.83,164.43,84.35
520,-2.12,6.47,9.50,-21.12,163.02,70.74
530,-1.41,6.37,8.59,-13.31,159.55,40.47
540,-1.01,6.15,8.04,-12.21,157.41,27.83
550,-0.66,5.97,7.45,-12.45,156.37,16.78
560,-0.32,5.73,6.96,-12.82,155.82,6.96
570,-0.04,5.38,6.49,-11.47,154.54,-1.71
580,0.25,4.93,5.73,-8.67,150.15,-17.21
590,0.77,4.04,4.73,-10.01,145.63,-23.56
600,1.20,3.92,4.41,-13.61,144.10,-29.60
610,1.60,3.74,4.06,-13.49,139.04,-34.18
620,1.94,3.54,3.77,-12.27,130.98,-36.99
630,2.26,3.41,3.58,-11.96,117.80,-41.75
640,2.46,2.98,3.48,-13.37,111.39,-44.31
650,2.49,2.78,3.33,-17.88,105.90,-46.69
660,2.50,2.70,3.18,-25.21,100.83,-49.32
670,2.49,2.71,2.91,-32.35,94.42,-52.31
680,2.52,2.66,2.78,-39.43,88.44,-58.90
690,2.30,2.21,2.02,-51.39,74.95,-63.90
700,2.37,2.24,1.65,-50.72,67.81,-70.13
710,2.48,2.18,1.38,-43.33,62.32,-75.81
720,2.52,1.92,1.22,-31.62,59.20,-80.38
730,2.58,1.50,1.25,-17.70,58.35,-84.05
740,2.72,0.52,1.78,7.57,56.52,-90.21
750,3.14,0.18,2.00,12.21,54.87,-90.76
760,3.33,0.05,2.07,12.51,51.82,-89.72
770,3.34,-0.01,2.08,12.45,47.18,-87.59
780,3.30,-0.20,2.07,11.66,42.42,-84.90
790,3.14,-0.46,2.02,3.54,31.31,-85.08
800,3.00,-0.92,2.13,-1.53,24.48,-88.93
810,3.05,-1.03,2.12,-8.24,16.97,-93.26
820,3.00,-1.16,2.04,-16.54,9.77,-96.92
830,2.90,-1.33,1.89,-23.93,2.87,-99.55
840,2.86,-1.59,1.71,-29.48,-10.01,-102.66
850,2.94,-2.41,1.84,-26.98,-16.66,-105.77
860,3.29,-2.80,1.98,-22.03,-22.28,-107.24
870,3.67,-2.79,2.07,-22.89,-26.25,-104.86
880,3.91,-2.48,2.20,-28.81,-29.72,-98.75
890,3.86,-2.16,2.11,-37.17,-35.40,-89.66
900,3.26,-1.21,1.77,-54.14,-49.56,-73.73
910,2.92,-0.86,1.64,-61.83,-58.47,-69.15
920,2.65,-0.52,1.34,-67.44,-69.34,-66.89
930,2.35,-0.22,1.25,-69.40,-80.08,-67.44
940,1.93,-0.40,1.54,-64.51,-90.82,-71.90
950,1.61,-0.86,2.67,-36.87,-109.56,-94.54
960,1.61,-2.09,3.76,-24.84,-115.66,-105.71
970,1.49,-3.00,4.65,-20.32,-120.97,-111.94
980,1.96,-3.90,6.51,-26.49,-123.60,-111.82
990,2.23,-5.17,7.74,-37.60,-130.19,-105.16
