timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.27,-2.22,6.39,-9.70,10.01,-23.86
10,2.22,-1.24,5.70,-8.24,5.13,-22.95
20,2.57,-2.26,5.71,-3.78,1.40,-22.03
30,2.18,-2.61,5.19,-8.18,-5.00,-20.14
40,2.37,-2.05,5.04,-15.69,-7.26,-19.59
50,2.45,-1.94,4.63,-18.74,-17.46,-21.12
60,2.32,-1.97,4.58,-17.82,-22.22,-26.18
70,2.05,-2.07,4.41,-16.72,-25.82,-30.82
80,1.84,-2.19,4.27,-16.91,-28.93,-32.78
90,1.58,-2.27,4.17,-17.94,-31.74,-33.81
100,1.24,-2.62,4.24,-20.26,-45.10,-34.85
110,0.72,-2.86,4.78,-21.42,-54.14,-34.00
120,0.48,-3.29,5.26,-19.47,-61.71,-32.41
130,0.13,-3.76,5.32,-14.16,-67.75,-30.27
140,-0.44,-4.41,4.95,-9.28,-73.55,-26.79
150,-1.01,-4.61,5.09,-12.02,-96.13,-11.96
160,-0.98,-6.64,5.69,-17.09,-106.32,-4.15
170,-2.24,-7.90,6.77,-22.95,-117.43,2.08
180,-3.34,-8.45,7.96,-27.04,-127.14,7.69
190,-2.75,-8.54,8.84,-27.95,-132.32,17.82
200,-5.12,-10.21,10.58,-27.95,-145.51,51.57
210,-5.39,-10.90,13.12,-27.83,-148.13,75.68
220,-5.25,-11.01,13.96,-26.06,-153.20,102.11
230,-5.47,-10.18,15.34,-23.56,-152.83,127.81
240,-5.20,-9.25,16.03,-20.32,-142.70,150.88
250,-4.24,-9.68,16.00,-19.65,-129.70,173.16
260,-4.69,-6.82,16.58,-45.04,-100.83,208.13
270,-4.33,-5.27,17.58,-57.01,-83.01,218.51
280,-4.16,-3.63,18.29,-66.47,-70.80,229.06
290,-3.60,-2.27,18.72,-70.92,-58.04,238.71
300,-3.12,-1.33,18.73,-69.76,-44.01,244.81
310,-2.57,-0.48,18.19,-56.21,-23.19,249.21
320,-1.48,-0.50,17.74,-43.70,-16.42,245.67
330,-1.48,-0.31,18.10,-30.52,-13.49,239.87
340,-1.67,0.04,18.95,-13.92,-14.89,234.07
350,-2.01,0.34,20.73,5.13,-17.82,231.26
360,-3.16,0.35,18.89,37.17,-15.01,234.99
370,-3.43,0.23,19.25,37.66,3.60,234.25
380,-3.32,0.16,18.03,31.13,21.30,233.46
390,-2.86,-0.06,17.75,22.77,42.11,226.01
400,-3.47,0.71,17.80,13.55,58.78,214.29
410,-4.32,1.13,17.77,8.06,61.77,201.35
420,-5.20,1.92,16.79,6.35,69.40,195.62
430,-5.53,2.82,16.18,1.46,86.98,187.81
440,-5.26,3.58,16.21,-8.91,109.25,180.60
450,-5.70,4.58,15.35,-21.91,118.96,173.52
460,-5.88,5.79,14.85,-30.46,126.59,163.27
470,-5.37,6.88,13.51,-38.27,137.21,142.03
480,-4.97,7.18,12.97,-39.31,140.14,128.17
490,-4.82,7.49,12.26,-39.79,144.96,113.16
500,-4.62,7.74,11.40,-40.22,153.08,98.51
510,-4.35,7.90,10.50,-41.44,161.07,84.59
520,-4.02,8.14,9.79,-44.98,166.38,58.17
530,-3.20,8.40,8.60,-44.07,165.10,44.07
540,-2.93,8.50,8.01,-39.31,161.62,28.75
550,-2.76,8.39,7.19,-32.84,158.14,12.94
560,-2.60,8.18,6.30,-28.38,155.46,-2.20
570,-2.68,8.12,5.36,-28.08,154.11,-32.10
580,-2.47,8.13,4.25,-32.04,151.43,-46.20
590,-2.38,7.97,3.76,-30.76,146.12,-59.57
600,-2.32,7.55,3.11,-26.92,142.33,-72.08
610,-2.29,7.23,2.39,-22.95,138.61,-83.07
620,-2.25,7.02,1.89,-20.51,132.20,-108.03
630,-1.82,6.31,0.90,-17.33,112.79,-105.53
640,-1.61,5.88,0.42,-16.97,104.43,-111.94
650,-1.49,5.55,0.08,-18.62,97.53,-118.59
660,-1.34,5.40,-0.15,-20.57,90.39,-124.39
670,-1.07,5.24,-0.35,-21.12,80.69,-129.15
680,-0.91,4.66,-0.48,-17.21,55.05,-137.27
690,-0.67,4.13,-0.36,-14.47,41.93,-140.69
700,-0.53,3.67,-0.35,-13.06,29.66,-143.13
710,-0.33,3.18,-0.39,-12.45,19.96,-144.10
720,-0.13,2.73,-0.37,-13.18,11.29,-144.41
730,-0.03,2.38,-0.31,-17.46,-9.40,-144.04
740,0.06,1.51,0.55,-18.74,-21.61,-145.26
750,-0.10,1.20,1.22,-18.49,-34.61,-147.28
760,-0.35,0.78,1.89,-17.33,-47.36,-147.64
770,-0.49,0.20,2.43,-15.56,-59.27,-146.67
780,-0.50,-0.43,2.97,-12.63,-69.21,-146.30
790,-0.23,-1.76,3.61,-8.97,-84.84,-146.30
800,-0.24,-2.37,3.60,-11.90,-91.74,-145.63
810,-0.29,-2.93,3.66,-18.55,-95.83,-143.80
820,-0.21,-3.36,4.04,-27.22,-98.82,-141.30
830,-0.15,-3.66,4.52,-35.71,-104.31,-138.43
840,0.01,-3.50,6.56,-45.78,-118.65,-130.19
850,-0.86,-3.57,5.67,-43.82,-133.24,-123.17
860,0.50,-4.37,7.11,-31.74,-130.86,-117.07
870,0.97,-4.21,8.34,-25.27,-133.42,-111.94
880,0.94,-4.46,9.10,-14.95,-145.94,-109.56
890,1.30,-4.88,11.60,11.11,-157.29,-110.90
900,0.70,-5.34,12.42,22.52,-161.32,-112.92
910,0.37,-5.95,13.35,31.98,-158.87,-115.72
920,0.05,-6.50,14.04,36.80,-150.57,-119.20
930,-0.27,-7.08,14.50,38.57,-138.98,-123.05
940,-0.56,-7.75,14.56,31.49,-114.14,-124.88
950,-0.78,-8.96,14.87,22.95,-98.75,-120.06
960,-0.89,-9.56,14.80,11.05,-92.90,-112.55
970,-0.70,-9.70,14.86,3.36,-86.43,-106.57
980,-0.79,-9.57,15.31,-2.08,-76.66,-98.33
990,-0.57,-9.28,15.98,-3.66,-67.69,-71.11
