timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.24,0.49,2.64,49.13,-7.20,6.71
10,0.90,0.14,2.56,65.12,-2.08,-6.96
20,2.67,0.01,3.23,70.92,-0.24,-25.94
30,3.08,0.17,4.56,56.52,-35.34,-51.21
40,2.87,-0.05,5.12,30.64,-60.85,-55.66
50,3.06,-0.48,5.37,2.69,-86.55,-58.04
60,3.22,-0.61,5.38,-26.67,-102.36,-56.40
70,3.30,-0.87,5.32,-45.35,-111.21,-52.19
80,3.08,-1.25,5.16,-51.21,-115.17,-37.54
90,2.78,-2.32,6.14,-41.63,-114.14,-28.93
100,1.60,-3.23,5.85,-26.37,-116.64,-20.75
110,1.51,-2.81,6.00,-15.32,-113.34,-19.29
120,1.47,-3.50,6.38,-2.14,-104.80,-16.17
130,1.37,-4.03,6.43,24.35,-95.40,-14.89
140,1.87,-4.91,6.68,36.38,-94.79,-14.77
150,2.17,-5.18,7.49,42.97,-97.05,-13.06
160,2.54,-5.67,8.78,38.70,-102.48,-6.65
170,2.89,-6.00,9.89,18.86,-110.47,5.92
180,2.66,-5.88,9.91,-9.22,-120.36,38.88
190,0.50,-6.25,9.96,-38.64,-140.38,53.16
200,1.46,-5.84,10.62,-52.67,-128.05,58.35
210,1.15,-5.54,10.26,-47.73,-130.74,56.09
220,0.98,-5.63,10.95,-35.46,-130.55,59.27
230,0.99,-6.12,12.04,-21.55,-124.33,64.03
240,0.82,-6.35,14.11,1.10,-112.92,73.67
250,0.60,-6.21,15.77,10.74,-109.80,81.67
260,-0.04,-6.61,16.36,15.69,-108.52,93.75
270,-0.66,-6.58,18.04,13.31,-98.08,106.02
280,-1.19,-6.17,18.82,6.16,-88.44,116.52
290,-1.62,-5.63,19.22,-18.92,-66.96,130.07
300,-1.53,-4.00,20.10,-28.69,-56.82,127.87
310,-1.31,-3.22,20.10,-37.72,-49.07,121.28
320,-1.17,-2.64,20.00,-48.10,-40.16,114.99
330,-1.02,-1.95,19.96,-57.56,-31.62,111.88
340,-1.15,-1.38,19.68,-66.04,-12.51,117.49
350,-2.28,0.33,18.07,-72.57,0.18,122.56
360,-2.99,1.16,17.32,-68.36,13.37,128.66
370,-3.74,2.17,16.52,-60.97,25.27,132.75
380,-4.33,3.01,15.73,-54.26,38.15,133.18
390,-4.77,3.80,14.86,-48.58,52.55,128.36
400,-5.00,5.10,12.87,-39.37,75.50,103.94
410,-5.02,5.42,12.10,-35.34,82.15,87.04
420,-4.97,5.49,11.59,-31.56,84.29,68.36
430,-4.70,5.35,11.51,-28.81,84.23,47.79
440,-4.09,5.43,11.47,-29.66,83.62,27.53
450,-3.41,5.60,10.90,-45.84,84.66,-0.37
460,-2.37,5.82,10.54,-56.15,85.63,-6.96
470,-1.99,6.06,9.90,-64.76,85.33,-11.84
480,-1.87,6.31,9.04,-69.34,85.39,-16.11
490,-1.50,6.62,8.33,-68.60,86.30,-19.96
500,-0.97,6.90,7.45,-49.07,89.48,-29.72
510,0.03,7.22,6.26,-32.96,94.48,-35.22
520,0.35,7.14,5.89,-16.05,99.37,-39.92
530,0.65,6.98,5.85,-1.04,102.97,-44.13
540,0.88,6.76,5.71,8.73,103.82,-49.26
550,1.09,6.56,5.42,13.79,102.97,-63.60
560,1.33,5.99,4.41,29.79,98.21,-72.45
570,1.47,5.58,3.97,39.98,96.50,-81.79
580,1.69,5.19,3.87,49.01,94.24,-90.33
590,1.82,4.84,3.68,52.55,90.58,-97.05
600,1.89,4.69,3.47,48.52,83.68,-101.62
610,1.84,4.37,2.78,31.56,61.28,-106.81
620,1.57,4.18,2.29,23.74,48.28,-109.68
630,1.51,3.80,1.87,21.18,35.83,-113.71
640,1.33,3.03,1.36,24.96,25.09,-120.73
650,1.14,2.09,0.86,33.63,17.33,-131.29
660,1.17,1.00,0.72,61.83,5.68,-156.56
670,1.83,-1.25,1.55,72.51,-1.95,-164.55
680,2.19,-2.41,2.25,73.06,-10.25,-166.50
690,2.53,-3.32,2.68,60.06,-19.53,-161.19
700,2.77,-4.11,2.68,37.05,-29.97,-148.74
710,2.70,-4.69,2.57,15.14,-54.99,-119.26
720,2.23,-5.85,2.76,-5.25,-66.59,-106.57
730,1.97,-6.12,3.34,-7.32,-75.56,-95.58
740,1.64,-6.10,4.23,-4.70,-82.34,-86.30
750,1.17,-6.03,5.43,-0.37,-86.67,-77.21
760,0.63,-6.00,7.04,3.72,-89.90,-67.14
770,-0.42,-6.17,10.17,9.77,-93.08,-48.52
780,-0.69,-6.39,11.66,10.74,-88.13,-40.83
790,-0.57,-6.82,13.19,11.05,-78.19,-34.97
800,-0.56,-7.06,14.20,12.33,-68.66,-31.68
810,-0.40,-6.85,14.68,11.72,-60.00,-27.89
820,-0.09,-6.49,14.48,6.47,-44.43,-15.44
830,0.87,-5.83,13.97,6.29,-36.93,-10.25
840,1.18,-5.94,13.21,5.74,-28.44,-5.98
850,1.67,-6.33,12.47,5.43,-20.20,-2.62
860,3.30,-6.73,12.35,6.04,-15.50,-0.43
870,4.66,-7.50,13.95,24.29,-42.91,-13.37
880,5.08,-4.22,12.42,9.89,-37.05,-19.90
890,5.38,-2.86,14.48,-6.23,-22.09,-11.60
900,4.43,-3.47,14.82,-7.93,-22.09,6.04
910,3.29,-4.01,14.72,-13.00,-24.66,20.20
920,2.23,-4.04,14.63,-21.36,-23.32,25.02
930,0.82,-3.08,13.75,-38.70,-12.39,20.87
940,0.50,-2.53,13.42,-42.42,-3.78,15.38
950,0.22,-2.42,12.63,-39.79,2.08,10.68
960,0.18,-2.33,11.79,-34.00,6.53,6.47
970,0.29,-2.23,10.92,-25.70,10.25,2.08
980,0.96,-1.98,9.30,-5.74,19.41,-2.87
990,1.19,-2.10,8.91,3.66,24.72,-2.38
