timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.54,0.23,2.04,7.32,73.97,25.45
10,0.93,-0.02,0.98,35.10,76.05,13.73
20,2.71,1.82,0.71,52.37,68.66,1.59
30,2.28,1.05,0.76,69.76,65.61,-4.15
40,2.35,0.69,0.85,77.39,61.58,-10.68
50,2.31,0.57,0.53,81.85,53.41,-18.92
60,2.73,0.20,0.55,82.70,38.02,-22.40
70,2.92,-0.32,0.85,75.93,27.53,-16.42
80,3.04,-0.94,0.96,63.05,18.01,-8.24
90,2.11,-0.45,0.66,45.90,4.64,-1.22
100,2.18,-0.58,0.43,35.64,-2.32,2.62
110,1.92,-1.03,0.46,25.57,-8.61,3.85
120,1.56,-1.16,0.02,12.08,-25.88,0.43
130,1.62,-1.36,0.01,9.40,-34.67,-1.16
140,1.55,-1.63,-0.00,8.61,-44.98,-1.83
150,1.79,-1.76,-0.04,7.45,-55.05,-3.17
160,2.22,-1.62,-0.04,5.98,-64.15,-4.76
170,2.84,-1.53,0.06,7.32,-82.15,-6.96
180,4.76,-0.96,0.42,9.52,-95.58,-7.81
190,2.63,-1.87,1.42,13.43,-114.44,-7.63
200,3.29,-2.04,2.82,5.98,-120.97,-7.32
210,3.63,-3.40,4.33,0.85,-142.82,-4.39
220,1.07,-5.17,3.19,-27.47,-174.93,-11.66
230,2.06,-4.27,6.94,-40.16,-169.68,-18.55
240,2.15,-4.99,8.46,-41.08,-173.83,-20.81
250,1.90,-5.79,9.90,-44.74,-176.70,-19.04
260,1.73,-6.50,11.28,-49.38,-176.51,-15.32
270,1.51,-6.77,12.22,-53.89,-173.16,-3.17
280,0.88,-6.62,13.92,-51.33,-167.97,6.59
290,0.65,-6.47,14.38,-39.43,-159.12,17.15
300,0.78,-6.13,14.96,-22.22,-144.23,25.51
310,0.74,-5.90,15.34,-1.95,-128.11,31.86
320,0.54,-5.95,15.47,16.60,-112.49,38.09
330,0.06,-6.07,15.28,39.79,-88.93,45.41
340,-0.39,-6.67,14.69,49.19,-78.92,47.67
350,-0.24,-7.37,15.02,56.58,-63.60,45.65
360,0.25,-7.90,14.94,66.28,-52.73,42.11
370,0.90,-8.31,15.36,76.05,-46.02,43.21
380,1.12,-9.93,16.47,85.02,-47.06,64.45
390,0.01,-10.50,15.68,77.82,-55.97,73.00
400,-0.46,-9.94,15.17,59.39,-56.52,78.55
410,-0.73,-9.16,15.06,36.87,-49.01,83.62
420,-1.04,-8.70,14.59,22.16,-43.33,89.78
430,-1.59,-8.67,13.54,32.53,-36.32,99.06
440,-2.00,-7.84,11.83,60.49,-26.86,102.17
450,-1.71,-7.15,12.74,96.98,-14.95,107.54
460,-1.92,-6.84,13.07,130.55,-7.02,115.17
470,-2.33,-6.68,13.62,148.56,1.40,123.84
480,-2.54,-6.68,14.55,151.12,27.59,127.08
490,-3.11,-7.07,15.21,129.88,17.21,120.24
500,-3.29,-7.62,14.96,111.02,15.63,109.13
510,-2.89,-8.18,14.86,89.54,14.40,95.95
520,-2.16,-8.40,14.71,66.47,13.00,85.45
530,-1.67,-7.99,14.56,41.02,11.84,83.98
540,-1.46,-6.70,15.32,0.43,4.82,105.53
550,-2.31,-6.18,14.78,-9.58,0.55,123.35
560,-2.66,-5.29,15.57,-14.40,11.17,135.68
570,-2.96,-4.28,16.55,-13.18,24.23,141.91
580,-3.10,-2.82,16.72,-10.07,32.78,145.63
590,-2.87,-1.67,16.93,-6.53,53.71,152.28
600,-3.01,-0.07,16.97,-8.42,64.51,153.20
610,-2.99,0.64,16.56,-11.41,75.32,151.31
620,-2.65,1.50,15.66,-16.30,86.79,145.14
630,-1.92,2.49,14.69,-21.42,98.82,135.99
640,-0.98,3.33,13.80,-25.45,116.58,114.32
650,0.38,4.10,11.85,-24.78,122.56,102.05
660,1.09,4.34,10.93,-24.48,127.69,90.03
670,1.76,4.52,10.11,-24.66,130.62,79.16
680,2.34,4.61,9.32,-23.74,131.23,69.15
690,2.81,4.71,8.57,-21.61,131.23,59.63
700,3.44,4.80,7.51,-16.05,130.37,43.40
710,3.69,4.72,7.15,-13.31,129.82,36.19
720,3.84,4.67,6.74,-11.72,129.09,28.63
730,3.85,4.84,6.39,-11.78,127.81,21.06
740,3.80,4.58,6.21,-12.08,124.76,14.47
750,3.57,4.38,5.57,-17.03,117.00,-1.71
760,3.89,4.53,5.32,-21.24,112.06,-8.67
770,3.76,4.64,4.99,-25.33,106.81,-14.22
780,3.54,4.71,4.72,-28.14,103.52,-19.29
790,3.29,4.64,4.38,-30.27,101.56,-24.41
800,3.05,4.58,3.96,-30.52,97.29,-37.90
810,2.77,4.43,3.10,-27.16,94.85,-44.92
820,2.62,4.23,2.83,-21.79,91.74,-51.88
830,2.48,3.90,2.56,-15.14,88.56,-59.39
840,2.44,3.60,2.47,-9.09,85.75,-68.05
850,2.31,3.29,2.31,-5.43,78.98,-87.59
860,2.15,2.62,1.95,-2.62,74.52,-97.66
870,2.29,2.29,1.93,-1.95,69.82,-106.75
880,2.36,2.04,1.87,-3.85,64.82,-113.16
890,2.47,1.90,1.74,-8.73,59.45,-116.88
900,2.53,1.74,1.59,-13.49,54.26,-119.08
910,2.45,1.02,1.15,-16.78,47.00,-121.34
920,2.32,0.60,0.98,-16.66,44.56,-123.72
930,2.16,0.16,0.96,-15.69,41.08,-127.69
940,2.09,-0.13,1.13,-15.99,36.38,-131.84
950,2.09,-0.46,1.34,-18.80,29.66,-134.89
960,1.98,-0.65,1.51,-32.71,14.10,-135.19
970,1.81,-0.98,1.57,-39.12,7.26,-133.79
980,1.60,-1.52,1.46,-44.43,0.61,-133.91
990,1.30,-2.12,1.19,-47.67,-4.70,-137.08
