timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.29,2.71,6.15,44.92,26.06,-5.80
10,3.59,1.74,5.91,41.44,46.33,-7.75
20,4.84,2.73,5.42,37.60,54.44,-12.27
30,4.30,3.25,4.14,44.56,46.94,-12.08
40,4.15,2.27,3.91,55.42,36.50,7.69
50,3.72,1.78,3.89,46.26,25.45,14.04
60,3.56,2.19,3.38,29.48,13.67,20.20
70,3.47,2.58,2.55,15.08,2.32,25.94
80,3.13,2.68,1.77,7.69,-6.23,30.27
90,2.73,2.76,1.19,7.20,-11.66,32.78
100,2.06,3.03,0.70,12.51,-17.64,31.98
110,1.66,3.20,0.33,14.22,-23.56,29.54
120,1.27,3.29,-0.00,15.99,-31.68,26.18
130,0.73,3.38,-0.33,18.37,-41.63,21.67
140,0.47,3.42,-0.44,22.64,-53.10,16.24
150,-0.03,3.64,-0.16,36.07,-83.37,8.24
160,-0.10,3.43,0.29,44.49,-101.26,5.13
170,1.84,4.33,1.22,55.42,-121.70,0.85
180,-1.94,2.38,1.33,76.66,-146.06,-3.97
190,-1.57,0.97,3.24,83.50,-146.36,-5.25
200,-0.58,-1.09,7.77,80.81,-153.69,-2.32
210,0.80,-2.84,9.47,82.15,-158.45,5.68
220,0.47,-4.94,9.32,91.61,-165.28,21.06
230,0.78,-5.61,10.31,93.93,-161.50,25.94
240,1.30,-5.26,11.53,89.90,-149.72,26.00
250,1.89,-4.87,12.90,84.23,-133.79,38.21
260,2.15,-4.83,14.58,79.47,-125.79,49.01
270,1.80,-4.74,15.31,76.05,-117.68,58.47
280,1.89,-4.40,16.98,74.34,-112.98,66.83
290,1.20,-4.64,16.62,72.45,-115.60,77.51
300,0.44,-3.87,15.89,67.75,-115.91,104.74
310,-0.92,-4.89,16.83,74.89,-123.54,110.90
320,-1.73,-3.69,15.17,64.27,-123.35,114.50
330,-1.59,-3.25,15.82,51.21,-94.60,119.02
340,-1.02,-2.56,17.80,49.38,-67.75,118.35
350,-0.96,-1.11,18.83,51.57,-64.45,123.78
360,-0.93,-2.92,18.50,54.69,-93.69,155.03
370,-4.13,-2.67,17.46,47.61,-99.24,153.69
380,-4.23,-0.58,17.24,30.15,-80.69,143.86
390,-3.19,0.79,18.39,20.51,-56.82,142.94
400,-3.09,1.03,19.08,22.52,-42.24,149.41
410,-8.12,5.61,28.72,-3.91,35.40,120.36
420,-2.69,-0.90,16.38,-63.29,44.86,116.09
430,-3.75,2.75,14.79,-59.45,17.94,119.26
440,-2.89,5.20,17.22,6.90,9.40,130.62
450,-2.99,4.40,18.98,47.30,13.61,156.31
460,-3.88,4.99,19.89,39.98,48.10,176.94
470,-6.59,6.16,21.73,-6.10,61.46,172.00
480,-7.76,6.97,21.25,-30.15,62.56,160.03
490,-8.26,8.45,20.45,-52.61,61.40,140.44
500,-7.87,9.72,19.65,-72.75,63.48,115.91
510,-6.95,10.54,18.77,-86.67,69.40,89.66
520,-5.49,10.31,16.16,-97.05,96.25,37.35
530,-4.85,9.96,15.31,-95.95,114.87,18.37
540,-4.49,9.61,14.65,-91.49,129.33,7.02
550,-4.14,9.29,13.95,-85.14,140.14,1.34
560,-3.80,9.32,13.33,-80.44,149.41,-2.32
570,-3.74,8.18,12.29,-81.12,179.93,-12.88
580,-2.42,8.41,11.87,-76.90,181.70,-12.08
590,-2.95,7.94,10.30,-75.32,172.12,-14.34
600,-3.21,7.71,8.92,-81.24,170.47,-19.53
610,-3.05,7.67,7.74,-84.29,174.26,-29.30
620,-2.74,7.72,6.53,-77.45,177.86,-51.33
630,-2.26,7.79,4.43,-68.24,176.45,-62.13
640,-1.94,7.66,3.54,-58.29,172.97,-71.66
650,-1.63,7.56,2.75,-50.66,168.58,-78.86
660,-1.32,7.47,2.07,-44.07,162.48,-85.33
670,-0.77,7.29,1.81,-38.02,153.63,-97.11
680,0.38,6.53,1.90,-34.24,128.17,-100.40
690,0.66,6.32,1.50,-40.59,114.38,-100.71
700,0.78,6.25,0.89,-50.96,103.21,-97.90
710,0.81,6.22,0.11,-60.24,93.44,-93.63
720,0.68,6.15,-0.40,-65.86,84.35,-89.90
730,0.40,6.87,-1.77,-66.41,64.15,-84.11
740,0.15,6.49,-2.14,-65.19,54.93,-81.97
750,-0.26,6.11,-2.38,-65.55,45.35,-84.35
760,-0.57,5.88,-2.95,-65.55,33.08,-89.97
770,-0.77,5.76,-3.57,-62.32,20.08,-96.62
780,-0.92,5.63,-4.01,-37.72,-2.62,-107.97
790,-0.99,4.87,-3.54,-20.02,-11.72,-113.46
800,-1.02,3.99,-2.88,-4.94,-21.73,-119.81
810,-0.99,3.07,-2.39,3.91,-32.17,-126.53
820,-0.77,2.42,-1.93,7.02,-42.36,-132.51
830,-0.39,1.81,-1.42,7.75,-61.28,-132.87
840,0.04,0.78,-0.57,8.48,-70.13,-127.99
850,0.16,0.37,-0.19,10.99,-76.66,-122.62
860,0.17,0.15,0.18,14.04,-80.93,-117.19
870,0.27,-0.07,0.59,15.93,-84.84,-110.66
880,0.31,-0.36,1.03,15.63,-90.70,-103.82
890,0.00,-0.35,1.51,3.97,-109.50,-90.94
900,-0.27,0.06,1.38,-2.69,-121.03,-84.90
910,-0.56,0.50,1.23,-7.45,-131.10,-78.80
920,-0.87,0.89,1.30,-10.38,-139.53,-72.94
930,-1.09,1.06,1.97,-11.23,-149.17,-67.63
940,-1.19,0.93,4.80,2.75,-182.25,-67.69
950,-0.75,0.05,6.47,6.59,-193.48,-72.14
960,-0.32,0.26,8.53,3.30,-198.61,-74.28
