timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.57,0.32,9.82,11.29,-133.61,124.76
10,0.59,0.35,9.07,-12.70,-129.27,120.00
20,1.85,1.38,10.88,-51.82,-124.57,126.59
30,0.01,2.89,11.53,-73.43,-122.92,124.02
40,-0.17,3.77,12.15,-51.82,-102.29,102.29
50,-0.81,3.50,11.97,-39.06,-95.21,91.00
60,-1.33,3.54,12.15,-33.63,-86.43,79.90
70,-1.68,3.42,12.28,-33.87,-77.27,69.82
80,-2.15,3.43,12.56,-37.41,-66.83,58.96
90,-2.67,3.24,12.99,-58.65,-52.25,37.17
100,-3.37,2.23,13.12,-64.27,-44.86,29.05
110,-3.38,1.86,13.45,-80.57,-37.29,23.07
120,-3.63,1.47,14.01,-94.91,-33.26,18.13
130,-4.06,1.26,14.76,-104.68,-30.52,14.59
140,-4.58,1.05,15.73,-110.35,-26.92,13.61
150,-5.46,1.33,17.42,-108.89,-14.34,15.81
160,-5.53,1.90,18.12,-104.74,-5.80,18.55
170,-4.88,2.58,18.27,-101.14,7.08,18.07
180,-4.85,3.70,18.96,-102.36,18.80,12.94
190,-5.26,3.91,17.70,-103.58,36.13,1.04
200,-5.33,4.05,17.39,-95.76,85.94,-27.83
210,-4.28,2.42,16.63,-103.76,103.70,-51.64
220,-3.78,3.79,16.06,-115.11,131.59,-91.67
230,-3.90,4.82,15.66,-117.98,167.60,-126.83
240,-3.77,5.57,14.86,-116.94,202.70,-149.41
250,-3.45,6.37,14.74,-115.84,245.73,-170.04
260,-1.71,4.96,14.05,-110.11,250.00,-178.28
270,-0.11,3.89,14.19,-82.28,255.00,-210.27
280,0.08,5.95,13.56,-55.18,250.55,-264.04
290,-0.19,10.56,11.97,-51.15,231.57,-315.12
300,0.41,15.82,9.77,-65.12,162.41,-298.58
310,-2.54,18.38,6.84,-54.57,139.16,-252.69
320,-4.33,16.34,4.69,17.52,136.96,-213.01
330,-3.60,8.92,2.27,95.76,139.53,-185.06
340,-4.09,4.15,-0.51,132.93,126.10,-175.72
350,-5.09,2.11,-3.54,134.77,109.99,-190.12
360,-5.46,-1.05,-6.87,140.32,114.87,-213.56
370,-5.91,-1.88,-8.15,126.77,110.78,-204.77
380,-5.26,-2.94,-8.50,101.14,95.89,-186.83
390,-3.69,-3.59,-8.12,74.95,79.96,-168.82
400,-2.63,-3.28,-7.34,56.03,62.74,-154.54
410,-1.78,-1.90,-4.16,29.85,29.05,-127.69
420,1.38,1.05,-2.26,23.80,14.59,-117.00
430,3.14,2.43,-0.93,28.44,2.75,-115.66
440,4.20,3.31,-0.31,41.93,-8.00,-123.41
450,4.42,3.32,-0.33,61.34,-22.28,-137.76
460,4.30,3.42,-0.73,99.00,-44.01,-160.89
470,3.11,1.41,-1.36,118.47,-47.00,-166.63
480,2.58,-0.19,-2.21,133.54,-51.39,-170.29
490,1.82,-1.84,-2.87,139.59,-61.58,-168.58
500,1.25,-4.00,-3.08,128.54,-82.03,-161.56
510,0.79,-5.96,-3.16,101.32,-110.05,-144.04
520,-1.33,-9.08,0.61,55.30,-154.36,-135.31
530,-2.70,-11.61,4.06,54.32,-169.56,-120.85
540,-3.74,-15.12,6.80,67.50,-184.02,-98.82
550,-5.08,-18.14,8.20,72.02,-199.83,-67.02
560,-5.74,-22.26,10.13,64.33,-209.84,-21.61
570,-6.68,-28.37,11.17,38.33,-215.70,71.04
580,-6.71,-30.52,12.56,35.89,-195.98,110.23
590,-6.73,-29.96,15.29,37.23,-170.04,134.03
600,-7.25,-23.53,16.54,20.75,-155.03,151.12
610,-7.27,-15.62,19.36,-13.85,-147.34,176.57
620,-6.34,-10.48,22.72,-17.76,-104.80,229.13
630,-2.12,1.37,27.61,1.16,-78.12,233.34
640,-1.27,7.46,27.97,17.15,-50.11,234.25
650,-0.14,13.70,28.77,20.75,-23.74,230.96
660,0.08,13.81,23.34,8.54,-25.39,240.97
670,1.86,13.24,19.27,21.06,62.81,138.98
680,3.53,11.49,13.86,61.65,110.90,57.80
690,3.42,10.46,12.84,57.01,140.01,-11.72
700,2.37,10.71,9.34,39.12,141.66,-57.68
710,2.35,9.17,6.67,27.40,140.14,-72.88
720,3.20,6.84,4.89,28.38,139.59,-85.45
730,3.26,4.16,1.61,12.70,105.65,-116.27
740,3.06,2.94,0.45,4.21,91.49,-124.15
750,2.98,1.24,-0.41,-0.31,81.54,-128.42
760,2.80,-0.25,-0.84,-6.77,70.62,-132.69
770,2.44,-1.36,-0.91,-17.33,54.93,-137.15
780,2.35,-2.41,0.16,-30.76,15.99,-142.70
790,1.02,-3.32,0.93,-25.27,-2.81,-143.01
800,0.09,-4.61,2.23,-12.08,-20.32,-136.90
810,-0.45,-6.51,3.10,7.26,-40.16,-130.49
820,-1.10,-7.67,3.68,24.60,-61.95,-128.11
830,-1.87,-8.53,4.37,43.58,-100.59,-115.11
840,-2.90,-10.36,5.14,49.62,-114.93,-104.55
850,-3.26,-11.54,5.79,48.58,-125.85,-94.30
860,-4.33,-13.35,5.99,35.46,-136.23,-81.73
870,-4.16,-16.18,6.08,19.90,-141.97,-71.90
880,-4.47,-16.85,6.47,16.48,-119.38,-71.78
890,-6.08,-18.30,7.10,-3.36,-107.18,-48.16
900,-6.45,-18.59,8.41,-25.33,-93.63,-14.04
910,-6.77,-17.68,9.19,-41.87,-87.46,23.38
920,-6.99,-16.14,10.05,-50.96,-88.62,61.95
930,-6.57,-14.59,10.84,-59.20,-96.25,101.87
940,-4.92,-10.45,12.42,-75.38,-113.59,172.49
950,-3.80,-7.92,13.33,-70.50,-114.62,194.70
960,-2.29,-5.19,14.65,-63.17,-111.51,205.20
970,-0.63,-1.88,15.69,-48.03,-101.50,199.58
980,0.56,-0.17,15.98,-16.24,-83.74,178.04
990,0.90,2.03,15.25,26.43,-41.14,107.79
