timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.01,-10.06,2.22,-40.89,-135.44,-61.22
10,-0.28,-11.26,1.25,-27.10,-138.79,-65.98
20,1.16,-11.76,2.40,-12.76,-130.98,-65.00
30,1.23,-13.42,3.36,7.75,-126.89,-57.62
40,1.27,-14.42,4.94,18.19,-127.01,-47.36
50,1.41,-15.02,6.52,1.65,-133.67,-17.27
60,1.31,-15.79,10.03,-5.80,-135.01,-2.08
70,1.08,-15.86,11.65,-24.05,-135.31,12.70
80,-0.35,-15.99,13.19,-44.19,-135.44,26.92
90,-0.03,-15.02,14.80,-66.71,-136.29,40.16
100,-1.32,-14.26,16.93,-80.93,-123.78,74.04
110,-2.02,-12.93,21.39,-77.03,-75.32,80.99
120,-1.77,-12.28,22.67,-65.80,-55.97,90.58
130,-1.87,-11.38,23.20,-52.00,-38.57,101.99
140,-2.67,-11.56,21.65,-37.54,-21.67,112.55
150,-1.86,-8.63,24.43,-27.40,-6.59,121.89
160,-2.86,-7.15,21.68,-8.54,22.83,111.82
170,-1.69,-7.03,21.41,-3.17,21.61,96.74
180,-1.13,-7.03,22.24,-4.27,18.43,75.93
190,-1.55,-7.30,21.43,-16.24,11.90,68.48
200,-2.25,-7.28,19.99,-36.13,15.99,62.93
210,-1.80,-7.00,18.62,-60.42,57.56,46.39
220,-1.35,-6.57,15.60,-65.00,77.76,47.24
230,-1.71,-6.32,14.18,-63.78,96.80,50.96
240,-1.63,-5.91,12.63,-57.50,116.33,57.19
250,-1.44,-5.61,11.24,-49.07,136.96,66.10
260,-1.19,-4.84,10.10,-41.20,166.81,86.85
270,-1.53,-3.27,8.27,-23.50,169.37,93.32
280,-1.66,-2.43,7.60,-17.70,165.89,91.61
290,-1.64,-1.80,6.97,-16.05,161.25,83.56
300,-1.60,-1.35,6.52,-18.43,157.78,73.00
310,-1.41,-0.79,5.97,-25.63,153.99,61.83
320,-0.91,-0.14,4.45,-41.14,147.89,34.18
330,-0.65,-0.17,4.00,-44.68,144.41,21.55
340,-0.58,-0.25,3.56,-50.05,139.95,10.93
350,-0.52,-0.21,2.97,-56.52,135.07,0.67
360,-0.35,-0.11,2.40,-60.79,131.04,-8.85
370,-0.11,-0.03,1.24,-57.56,128.48,-23.86
380,0.50,-0.35,0.71,-52.98,125.24,-26.73
390,0.72,-0.27,0.07,-47.55,119.08,-26.37
400,0.91,-0.04,-0.23,-40.59,110.78,-23.68
410,0.91,0.38,-0.38,-34.36,101.38,-19.84
420,0.61,0.84,-0.35,-31.31,85.21,-18.92
430,0.01,1.33,-0.87,-34.24,78.86,-26.98
440,0.08,1.32,-1.24,-36.93,71.72,-38.76
450,0.18,1.09,-1.59,-36.32,62.13,-50.96
