timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.84,0.75,12.80,11.72,-64.82,16.30
10,-1.58,-0.42,12.01,16.42,-63.90,9.46
20,-0.08,-0.58,15.36,5.86,-56.70,-4.09
30,-0.37,-2.35,17.33,-2.14,-55.54,-4.33
40,-0.08,-3.77,19.25,-14.16,-53.96,-7.39
50,0.70,-4.60,21.23,-30.76,-47.00,-8.30
60,0.96,-5.01,22.59,-50.05,-35.64,-1.53
70,0.97,-4.84,24.29,-64.27,5.55,30.94
80,-0.22,-2.86,24.67,-52.25,35.46,48.95
90,-1.33,-1.65,24.74,-32.78,68.48,62.32
100,-2.13,-0.86,24.90,-13.24,100.83,67.93
110,-2.44,0.04,24.96,-2.20,130.43,67.02
120,-2.32,0.75,24.63,-5.13,170.84,60.00
130,-2.77,1.58,22.98,-17.76,184.45,55.42
140,-2.81,2.01,21.41,-34.85,193.36,48.71
150,-2.73,2.69,19.52,-50.48,197.81,39.79
160,-2.49,3.20,18.51,-59.02,199.71,30.27
170,-3.17,3.06,16.06,-61.95,217.59,14.28
180,-2.72,4.08,13.46,-60.97,223.08,5.80
190,-3.07,4.32,11.62,-54.20,225.83,-0.31
200,-3.23,4.70,10.11,-45.84,227.78,-7.81
210,-3.27,4.91,8.99,-34.48,229.25,-17.09
220,-3.54,5.11,7.91,-24.78,229.80,-26.92
230,-3.85,5.47,5.40,-14.28,226.62,-49.93
240,-4.09,5.24,4.36,-10.86,222.84,-63.54
250,-4.20,5.25,3.33,-8.73,217.16,-77.76
260,-4.01,5.12,2.22,-5.55,206.91,-90.70
270,-3.83,5.02,1.15,-4.94,195.25,-102.84
280,-3.69,5.09,0.01,-4.88,169.43,-119.32
290,-3.65,4.91,-2.12,-3.54,156.80,-124.45
300,-3.77,4.58,-3.03,0.31,142.76,-130.25
310,-3.91,4.04,-3.76,5.49,128.36,-138.49
320,-4.08,3.30,-4.26,11.29,115.60,-148.50
330,-4.28,2.13,-4.62,15.81,89.66,-170.35
340,-3.85,-0.50,-5.36,22.95,74.95,-179.99
350,-3.41,-2.01,-5.48,24.78,59.33,-186.04
360,-2.74,-3.64,-5.50,23.62,42.66,-187.99
370,-1.95,-5.24,-5.72,19.84,25.63,-186.46
380,-1.06,-6.94,-6.00,16.91,9.34,-181.52
390,0.91,-10.67,-6.14,19.47,-25.39,-161.32
400,2.00,-12.56,-5.86,26.55,-41.87,-148.50
410,3.17,-14.26,-4.96,36.74,-52.98,-133.67
420,4.24,-15.89,-4.08,46.51,-62.99,-116.64
430,5.17,-17.53,-2.70,53.47,-71.84,-97.66
440,6.52,-19.90,0.31,46.94,-89.11,-50.11
450,9.35,-20.17,1.65,30.15,-98.57,-16.72
460,10.18,-19.45,2.90,7.57,-107.85,24.11
470,10.22,-17.75,4.28,-16.17,-118.41,66.59
480,9.62,-15.91,6.22,-38.70,-128.36,104.98
490,8.36,-13.39,7.86,-74.52,-151.61,166.50
500,4.05,-6.14,12.65,-70.31,-155.76,186.04
510,1.80,-2.07,16.17,-40.95,-153.56,195.80
520,-0.43,2.03,20.14,6.10,-144.90,194.89
530,-2.52,5.23,24.23,60.55,-123.54,185.73
540,-3.73,7.58,27.88,104.61,-48.71,137.57
550,-4.54,10.50,30.79,97.17,-9.58,96.19
560,-4.08,11.38,28.65,39.86,22.46,46.33
570,-2.66,11.55,24.37,-23.99,43.82,-7.57
580,-1.51,11.00,18.73,-68.12,54.50,-58.35
590,-0.44,9.86,13.42,-82.40,63.84,-99.73
600,0.87,5.87,6.29,-40.59,81.18,-142.82
610,1.15,3.60,4.19,-6.84,83.86,-149.96
620,1.14,1.55,2.63,17.88,81.79,-151.49
630,1.00,-0.35,1.27,28.50,75.26,-149.96
640,0.93,-2.19,-0.33,24.54,64.76,-149.90
650,1.10,-4.06,-3.94,0.43,31.13,-152.65
660,1.67,-7.79,-5.47,-8.12,12.39,-154.79
670,2.36,-10.04,-7.11,-14.40,-3.30,-155.33
