timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-4.82,-3.01,14.28,-129.03,-90.39,116.09
10,-3.40,-0.39,15.68,-128.66,-93.02,123.66
20,-2.07,0.46,14.83,-128.91,-112.43,118.84
30,-2.84,0.33,13.56,-118.23,-105.83,95.58
40,-3.42,-0.45,16.14,-123.35,-62.93,62.74
50,-5.24,-0.92,16.35,-138.00,-40.41,32.96
60,-6.15,-1.29,18.14,-165.89,-2.99,1.46
70,-6.12,-0.98,19.25,-167.30,20.32,-6.84
80,-6.52,-0.87,19.26,-159.36,40.10,-10.62
90,-6.52,-0.88,18.97,-145.45,50.78,-10.62
100,-6.18,-0.81,18.81,-129.39,62.56,-10.01
110,-5.92,-0.43,18.59,-98.45,92.59,-8.91
120,-5.37,0.77,18.53,-81.42,106.75,-9.34
130,-5.10,1.31,18.13,-62.81,119.45,-10.56
140,-4.88,1.53,17.37,-43.15,131.65,-12.88
150,-4.77,1.73,16.29,-25.45,143.74,-16.11
160,-4.55,2.03,15.61,0.79,167.85,-27.89
170,-2.79,2.06,14.54,16.30,197.45,-41.44
180,-1.14,0.50,13.34,26.61,219.42,-59.63
190,-3.08,3.17,13.36,28.08,232.91,-75.44
200,-4.27,2.79,14.16,38.57,252.20,-76.17
210,-5.34,3.23,13.32,31.68,201.17,-43.40
220,-4.98,2.23,8.74,51.82,189.45,-29.79
230,-3.23,2.03,7.19,68.60,211.73,-28.93
240,-3.12,2.57,4.63,69.70,230.04,-36.68
250,-3.01,3.46,3.55,54.81,237.92,-47.97
260,-2.73,3.87,3.52,30.76,232.79,-56.64
270,-1.95,4.56,3.90,-9.16,212.77,-69.34
280,-1.60,4.52,3.54,-14.47,210.39,-77.27
290,-1.51,4.62,2.67,-12.94,210.57,-88.62
300,-1.41,4.77,1.75,-11.23,208.74,-100.34
310,-1.28,4.77,0.90,-11.41,202.45,-110.53
320,-1.07,4.59,-0.25,-19.47,183.47,-129.82
330,-0.65,4.24,-2.13,-25.33,172.12,-138.79
340,-0.28,3.84,-2.63,-29.30,157.17,-147.89
350,0.02,3.29,-2.78,-29.42,139.95,-157.53
