timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.42,-4.41,13.10,-18.92,-62.93,67.75
10,0.97,-4.18,11.60,-14.71,-64.09,75.32
20,1.49,-3.77,11.87,-14.77,-66.47,78.19
30,-0.68,-3.29,13.21,-30.88,-58.23,68.42
40,-1.57,-3.10,14.66,-41.63,-44.80,66.65
50,-1.69,-2.44,15.85,-53.41,-27.95,65.31
60,-2.44,-1.65,17.39,-64.94,-12.70,61.34
70,-2.77,-0.48,19.62,-71.84,4.21,52.25
80,-3.03,0.91,22.19,-54.99,57.74,23.68
90,-3.94,1.15,22.58,-39.06,90.03,10.99
100,-4.20,1.96,22.78,-23.07,118.65,5.07
110,-4.15,2.83,23.01,-2.87,145.51,2.87
120,-4.31,4.05,22.09,22.64,170.53,3.48
130,-4.12,5.30,19.82,69.15,226.75,0.24
140,-1.62,6.75,11.95,76.05,255.92,-11.90
150,-2.55,7.33,8.92,61.52,272.77,-33.94
160,-0.87,7.68,3.38,40.34,291.81,-62.01
170,-0.46,7.35,-1.18,7.69,301.94,-92.77
180,0.90,6.34,-2.86,-34.36,240.54,-159.67
190,-0.02,4.75,-2.53,-105.47,207.95,-180.18
200,0.30,3.35,-2.19,-107.54,175.66,-187.13
210,0.24,1.69,-3.10,-83.98,147.09,-192.50
220,0.58,-0.42,-4.42,-41.93,123.23,-198.85
230,-0.13,-2.53,-6.81,-1.28,90.94,-201.90
240,-0.60,-8.02,-7.94,53.96,-25.39,-180.48
250,-0.58,-10.86,-7.30,70.19,-82.95,-164.61
260,-1.15,-13.37,-6.42,74.77,-122.68,-149.66
270,-1.88,-15.77,-5.08,61.89,-144.35,-130.31
280,-3.00,-17.55,-2.52,32.23,-154.54,-107.18
290,-4.52,-18.59,1.40,-26.61,-162.54,-49.56
300,-6.86,-19.15,10.32,-34.36,-162.72,-6.77
310,-8.76,-17.50,14.32,-29.30,-157.90,41.63
320,-9.09,-15.27,17.17,-22.22,-150.21,99.55
330,-8.93,-11.98,19.00,-17.76,-143.80,163.27
340,-7.10,-7.54,20.96,-20.26,-115.30,250.61
350,-1.93,1.88,24.02,-17.64,-84.90,258.85
360,0.96,6.44,23.40,-5.13,-40.71,243.77
370,3.41,9.95,20.55,15.93,9.09,207.03
380,5.82,10.76,18.47,41.99,64.33,153.93
390,6.02,12.37,15.25,53.59,106.75,44.19
400,5.84,11.05,9.16,48.89,146.73,-1.53
410,5.87,10.40,7.15,40.65,142.40,-41.99
420,5.52,9.11,5.49,34.24,125.55,-78.61
430,5.10,7.36,4.13,30.40,110.05,-107.73
440,4.63,5.49,2.95,28.75,95.15,-129.76
450,4.37,2.47,1.47,24.84,61.46,-158.20
460,3.74,1.03,1.04,21.79,44.62,-169.49
470,2.94,-0.31,1.18,18.62,27.40,-177.31
480,2.22,-1.64,1.68,19.10,7.26,-181.03
490,1.44,-3.08,2.49,25.09,-16.05,-182.19
500,0.10,-4.57,3.32,50.78,-74.95,-190.49
510,-3.00,-8.71,5.57,63.60,-108.83,-192.08
520,-4.28,-11.46,6.71,79.04,-130.68,-190.98
530,-6.11,-14.10,7.21,86.18,-139.28,-184.39
540,-7.42,-17.26,7.79,77.64,-135.99,-161.50
550,-7.93,-19.66,8.33,53.22,-112.67,-65.92
560,-8.46,-19.87,9.78,-12.70,-101.44,2.75
570,-8.42,-18.23,10.25,-38.76,-95.64,78.06
580,-7.31,-15.56,10.61,-55.97,-92.53,147.46
590,-6.02,-12.20,11.52,-64.88,-93.02,204.16
600,-4.12,-7.87,12.60,-65.00,-92.47,239.99
610,0.01,0.42,14.56,-41.81,-90.94,238.77
620,2.73,2.56,15.09,-17.46,-66.16,205.26
630,3.61,3.68,14.74,3.72,-33.57,155.88
640,2.51,3.87,12.78,11.78,-12.21,105.41
650,2.09,3.22,10.93,10.31,8.00,67.02
660,1.83,2.84,10.62,-24.54,16.97,22.77
670,1.41,2.16,11.23,-36.25,15.56,8.18
680,1.29,1.65,11.37,-37.48,20.87,-1.95
690,0.89,1.13,10.90,-32.84,27.04,-8.36
700,0.66,0.56,10.27,-25.76,29.60,-10.80
710,0.53,0.01,9.82,-12.94,18.55,-9.46
720,0.34,-1.19,9.34,-4.76,11.54,-9.16
730,0.01,-1.78,9.09,4.52,4.94,-9.34
740,-0.30,-2.34,8.83,10.99,-1.34,-9.22
750,-0.42,-2.80,8.65,13.67,-4.82,-7.20
760,-0.51,-3.02,8.60,13.73,-5.25,-4.46
770,-0.43,-3.14,8.73,10.68,-4.33,-5.31
780,-0.42,-3.38,8.75,11.11,-3.72,-7.57
790,-0.44,-3.64,8.68,11.35,-2.50,-10.56
800,-0.50,-3.92,8.52,10.99,-0.92,-13.00
810,-0.54,-4.18,8.41,9.89,0.67,-14.71
820,-0.87,-4.46,8.48,4.70,1.40,-14.47
830,-0.58,-4.52,8.59,3.17,1.22,-12.51
840,-0.53,-4.50,8.69,2.08,1.71,-9.95
