timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.41,0.86,8.77,-151.31,-54.93,75.13
10,1.10,0.80,8.38,-160.22,-50.42,81.97
20,0.86,1.81,10.06,-168.21,-52.25,86.98
30,-0.03,2.76,12.01,-158.57,-57.92,89.29
40,-0.06,3.50,13.93,-133.06,-60.06,88.07
50,-0.36,3.37,15.27,-95.95,-57.74,78.00
60,-0.27,3.73,15.03,-31.92,-44.31,77.45
70,-0.83,3.53,15.18,-17.46,-29.36,75.38
80,-0.79,3.45,15.11,-17.70,-14.04,70.62
90,-0.97,4.00,15.09,-26.43,2.14,66.59
100,-1.07,4.68,15.37,-36.80,13.92,60.36
110,-1.13,5.81,16.04,-50.96,30.27,42.97
120,-1.35,6.45,16.46,-56.34,41.50,34.06
130,-1.47,7.42,17.23,-60.30,49.50,27.95
140,-1.51,8.34,17.40,-56.64,53.65,23.01
150,-1.19,8.08,18.52,-42.48,54.50,13.31
160,-1.43,7.54,17.73,-10.74,86.85,-7.02
170,-1.75,6.18,15.00,-1.95,103.27,-20.26
180,-1.98,5.31,13.27,0.24,112.30,-28.20
190,-1.77,4.62,12.08,-4.70,114.87,-34.55
200,-1.93,3.96,11.18,-15.32,114.07,-37.54
210,-1.84,3.65,10.85,-30.94,114.44,-41.50
220,-1.83,4.43,10.89,-53.53,115.84,-42.79
230,-1.59,4.86,10.97,-53.47,115.54,-45.53
240,-1.51,4.85,10.44,-46.88,117.19,-50.29
250,-0.21,5.48,11.24,-34.79,129.33,-61.34
260,-1.03,5.75,9.81,-22.89,135.93,-74.58
270,-0.74,6.11,7.57,2.93,148.74,-95.09
280,-0.89,6.59,6.83,9.16,147.28,-101.26
290,-0.62,7.20,6.58,15.63,143.49,-104.86
300,-0.31,7.50,6.38,29.30,139.53,-109.01
310,-0.30,7.38,5.90,51.39,133.97,-115.23
320,-0.71,4.69,2.92,97.60,115.66,-120.79
330,-0.61,3.30,1.96,107.73,115.23,-121.22
340,-0.67,2.43,0.87,107.06,114.75,-118.77
350,-0.61,2.05,-0.07,98.27,111.15,-110.47
360,-0.44,2.08,-0.72,82.46,104.55,-97.35
370,-0.22,2.33,-1.16,38.39,69.64,-71.23
380,0.84,2.79,-1.51,11.66,54.93,-65.61
390,1.00,3.01,-1.68,-18.31,46.88,-65.80
400,1.09,3.27,-1.79,-52.73,40.71,-68.24
410,1.21,3.79,-1.55,-87.40,33.08,-73.12
420,1.26,4.03,-1.04,-112.12,23.86,-90.64
430,0.83,2.58,-1.71,-132.08,-2.75,-99.55
440,0.53,1.41,-2.34,-150.70,-18.74,-102.36
450,0.52,0.48,-2.31,-175.72,-34.06,-99.73
460,0.79,-0.04,-1.72,-198.12,-50.90,-92.04
470,1.30,-0.52,-0.60,-208.68,-72.81,-81.36
480,2.45,-1.76,2.86,-181.58,-119.63,-64.03
490,2.38,-2.66,4.71,-148.13,-136.66,-59.51
500,2.72,-3.69,6.27,-109.31,-148.13,-54.08
510,3.24,-4.85,7.76,-69.76,-153.38,-46.88
520,3.71,-6.11,9.25,-32.04,-153.69,-38.88
530,4.10,-7.58,10.35,31.31,-148.25,-19.23
540,4.00,-10.25,12.31,48.83,-143.74,-6.04
550,3.42,-11.13,13.41,52.61,-137.08,11.35
560,2.71,-11.49,14.59,40.28,-130.80,34.00
570,1.63,-9.97,16.61,11.96,-124.94,60.97
580,0.35,-9.27,19.00,-56.09,-102.60,128.91
590,0.90,-2.63,24.51,-54.63,-66.59,142.27
600,0.62,0.55,25.23,-40.71,-37.54,152.89
610,1.46,3.36,24.69,-9.64,-9.89,152.28
620,1.74,5.24,22.26,24.17,19.84,141.17
630,1.25,6.38,18.97,48.46,41.93,111.57
640,0.66,8.40,14.68,40.53,55.97,112.43
650,0.74,9.99,13.97,21.00,61.40,111.88
660,0.72,11.98,13.36,7.63,72.14,111.08
670,0.99,14.06,12.58,2.08,85.75,106.81
680,1.26,15.60,10.96,4.52,100.40,95.76
690,1.23,17.87,5.15,14.95,119.38,60.18
700,2.02,18.21,3.12,17.46,103.70,39.98
710,2.71,17.98,2.37,16.91,74.22,17.46
720,3.11,17.48,2.28,13.55,50.29,-7.39
730,3.37,16.82,2.13,9.77,40.77,-32.65
740,3.36,15.70,1.62,7.57,33.75,-83.44
750,2.52,12.35,0.22,5.62,25.51,-105.59
760,2.03,10.61,-0.20,0.67,16.05,-123.23
770,1.61,8.87,-0.42,-6.84,5.25,-134.89
780,1.44,7.31,-0.48,-14.71,-5.98,-141.54
790,1.40,5.97,-0.42,-21.97,-17.09,-144.84
800,1.74,3.36,0.48,-32.59,-41.81,-143.92
810,1.74,2.04,0.77,-35.77,-53.41,-141.05
820,1.70,0.74,1.24,-37.11,-66.47,-134.95
830,1.68,-0.81,2.15,-34.97,-78.80,-127.69
840,1.10,-2.48,3.37,-28.75,-94.30,-116.70
850,0.06,-5.57,6.94,-11.11,-128.78,-78.49
860,-0.29,-6.78,9.16,-1.46,-141.72,-52.92
870,-0.50,-7.70,11.34,8.48,-149.23,-26.79
880,-0.85,-8.48,13.11,16.91,-152.10,-2.69
890,-1.15,-8.91,14.44,17.88,-150.15,20.20
900,-1.19,-8.93,17.30,-4.27,-127.75,62.56
910,-1.09,-7.18,18.45,-16.91,-108.95,80.51
920,-0.80,-5.70,19.23,-22.16,-86.55,94.48
930,-0.48,-4.17,19.38,-18.68,-65.00,104.37
940,-0.16,-2.80,18.83,-8.67,-45.84,111.21
950,-0.04,-1.38,18.02,8.18,-13.24,119.81
960,0.75,1.84,17.06,8.30,0.31,124.02
970,0.09,3.43,14.49,4.76,6.23,130.19
980,1.02,4.55,14.15,-0.24,21.30,130.31
990,1.38,6.37,13.58,-5.13,27.59,130.19
