timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.15,0.68,14.07,25.82,-83.92,76.42
10,-1.73,0.97,13.18,34.55,-69.70,45.10
20,-0.59,1.26,16.15,39.92,-75.99,37.72
30,-0.69,0.06,17.95,31.98,-76.23,37.29
40,-0.75,-0.41,19.91,11.05,-72.14,37.35
50,-1.37,-0.23,21.22,-15.01,-69.89,40.59
60,-1.99,0.76,22.04,-54.26,-41.56,53.16
70,-3.23,3.41,23.05,-46.39,-12.88,57.37
80,-4.10,4.12,23.54,-31.01,19.53,57.86
90,-4.37,4.67,24.03,-16.11,55.24,52.37
100,-4.43,4.55,24.36,-10.01,87.71,43.09
110,-4.08,4.30,24.07,-15.50,110.35,16.66
120,-2.63,3.74,21.84,-39.00,136.23,9.58
130,-1.88,3.60,20.30,-49.87,148.19,0.43
140,-0.89,3.39,18.82,-56.46,158.39,-5.43
150,-0.47,2.80,17.48,-58.72,164.25,-8.67
160,0.16,3.06,15.70,-61.65,169.13,-10.74
170,0.17,2.22,14.39,-54.02,173.10,-18.19
180,0.43,2.30,13.89,-54.81,179.81,-21.48
190,0.01,1.98,13.13,-55.85,179.32,-21.36
200,-0.53,1.45,12.78,-56.82,176.88,-20.87
210,-0.38,1.31,11.81,-59.02,176.82,-24.84
220,0.12,1.45,11.04,-47.61,176.33,-35.58
230,1.15,1.09,9.96,-35.71,177.61,-36.19
240,1.41,1.00,9.55,-30.03,181.76,-32.78
250,1.46,1.18,8.97,-26.43,184.75,-27.16
260,1.45,1.42,8.51,-24.17,186.40,-21.06
270,1.36,1.68,8.06,-23.01,187.07,-14.77
280,0.66,2.49,6.61,-25.63,185.12,-14.22
290,0.31,2.81,5.97,-28.08,180.48,-16.17
300,0.09,3.22,5.53,-31.31,171.63,-20.57
310,-0.31,3.77,4.80,-35.52,160.10,-26.18
320,-0.66,4.22,4.07,-37.66,149.90,-33.87
330,-1.52,4.63,2.82,-28.93,136.96,-57.37
340,-1.68,4.75,2.15,-22.03,131.96,-70.80
350,-1.95,4.68,1.74,-12.08,125.92,-83.74
360,-2.28,4.54,1.27,-0.49,120.30,-95.95
370,-2.34,4.26,0.76,11.05,116.03,-109.31
380,-2.29,3.73,-0.09,25.39,107.54,-130.07
390,-1.78,2.59,-0.56,24.60,97.84,-133.24
400,-1.70,2.28,-1.11,19.71,83.92,-132.08
410,-1.90,2.02,-1.68,14.40,69.03,-129.46
420,-2.14,1.59,-2.13,11.84,55.91,-128.66
430,-2.29,0.85,-2.30,15.32,35.95,-139.34
440,-2.66,-1.32,-2.19,19.23,26.25,-147.83
450,-2.59,-2.67,-2.04,25.94,16.48,-155.33
460,-2.06,-4.11,-1.99,33.14,6.96,-159.61
470,-1.58,-5.26,-1.73,37.35,-1.53,-158.63
480,-0.99,-6.31,-1.66,37.05,-9.52,-140.99
490,0.09,-7.66,-1.52,19.29,-29.11,-128.97
500,0.60,-7.75,-1.62,8.18,-41.32,-115.48
510,1.10,-7.74,-1.54,-0.18,-51.94,-101.07
520,1.57,-7.57,-1.11,-4.03,-60.91,-88.93
530,2.04,-8.09,-0.74,-3.78,-70.68,-78.19
540,2.15,-8.98,0.29,1.22,-90.52,-66.28
550,3.26,-9.95,1.54,3.54,-97.60,-62.62
560,4.38,-11.39,2.82,8.97,-110.17,-59.51
