timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.19,0.34,9.01,-49.26,-64.09,34.61
10,2.61,-0.26,8.61,-38.15,-65.43,32.29
20,1.47,-1.17,8.67,-19.53,-70.74,30.76
30,0.72,-2.04,8.84,-5.00,-82.40,24.17
40,-0.11,-3.67,10.30,12.70,-90.27,26.92
50,-0.91,-4.73,11.03,12.45,-88.26,23.68
60,-1.79,-5.61,11.66,1.16,-81.73,21.97
70,-2.61,-5.97,12.68,-16.05,-72.63,20.81
80,-3.40,-6.06,13.36,-33.63,-61.40,21.06
90,-3.81,-5.80,15.36,-66.59,-41.99,25.27
100,-3.86,-4.65,16.44,-79.10,-31.62,27.22
110,-3.89,-3.93,17.13,-85.33,-19.59,29.11
120,-3.68,-3.23,17.91,-88.07,-9.34,33.02
130,-3.33,-2.31,18.66,-88.87,-4.70,38.33
140,-2.83,-1.47,19.44,-84.84,10.01,44.68
150,-2.20,0.23,20.50,-81.85,23.86,42.24
160,-2.72,0.34,20.94,-78.31,39.43,36.01
170,-1.19,0.34,21.62,-75.74,54.99,27.71
180,-2.42,0.05,21.80,-70.13,78.37,22.71
190,-2.55,-0.49,20.95,-62.13,100.71,5.31
200,-2.81,-1.43,17.39,-56.82,143.13,-0.12
210,-2.47,-2.35,14.60,-65.31,162.23,-6.47
220,-0.93,-2.04,14.59,-83.25,198.06,-23.56
230,-1.48,-1.74,13.79,-103.76,228.70,-40.65
240,-1.71,-0.93,13.27,-117.25,253.05,-49.56
250,-3.32,1.47,12.96,-114.75,252.20,-38.57
260,-2.83,2.24,12.32,-92.65,219.06,-8.54
270,-2.18,3.07,10.86,-68.73,184.94,10.50
280,-1.81,3.79,9.64,-49.19,164.79,15.81
290,-1.44,4.50,8.32,-35.40,163.64,13.24
300,-0.60,5.07,6.95,-24.72,198.49,-22.28
310,-0.72,6.44,4.07,-26.73,209.23,-49.93
320,-0.72,6.39,2.68,-29.30,214.54,-78.12
330,-1.25,5.71,1.08,-31.62,215.39,-105.22
340,-1.83,4.95,-0.47,-34.91,215.15,-128.78
350,-2.15,4.47,-1.97,-40.04,204.65,-152.59
360,-1.66,4.21,-4.26,-48.40,189.03,-154.85
370,-1.24,4.33,-4.78,-48.22,169.49,-155.33
380,-0.69,4.49,-5.10,-41.63,147.34,-152.53
390,-0.12,4.47,-5.62,-26.86,123.29,-150.70
400,0.52,4.26,-6.07,-6.77,98.82,-153.32
410,1.13,2.96,-6.88,39.79,44.80,-172.00
420,1.01,1.70,-7.61,57.98,21.97,-182.80
430,0.92,0.48,-7.79,64.76,1.22,-190.31
440,0.96,-0.62,-7.28,61.40,-21.36,-193.54
450,1.14,-1.79,-6.39,56.82,-43.09,-194.89
460,1.13,-5.07,-4.30,59.69,-79.28,-201.54
470,0.34,-7.49,-3.00,63.17,-99.61,-204.35
480,-0.10,-10.38,-1.24,66.22,-117.68,-204.59
490,-0.86,-13.50,0.96,67.93,-133.79,-201.35
500,-1.68,-16.47,3.33,70.98,-146.79,-191.65
510,-2.69,-19.78,5.08,75.62,-159.91,-145.32
520,-4.32,-25.44,8.12,65.61,-164.31,-111.39
530,-4.59,-26.97,9.85,42.60,-162.84,-67.75
540,-4.86,-26.95,11.70,13.12,-155.33,-14.34
550,-4.99,-25.51,13.55,-12.27,-146.00,46.02
560,-4.82,-22.23,15.56,-28.87,-139.47,170.78
570,-3.61,-13.44,18.55,-29.11,-142.88,225.71
580,-2.32,-7.85,20.27,-21.00,-140.26,267.82
590,-0.90,-1.59,21.73,-13.92,-130.55,296.33
600,1.13,4.93,22.84,-7.32,-116.03,305.18
610,3.96,10.89,22.92,-1.34,-89.78,288.82
620,6.70,18.13,18.02,5.37,-17.27,189.58
630,7.55,19.40,16.49,-2.75,9.22,126.46
640,8.13,19.39,15.40,-11.96,28.02,63.05
650,7.60,18.32,13.50,-13.61,37.66,0.12
660,7.22,15.94,11.42,-9.28,65.00,-52.61
670,6.06,13.63,8.58,-2.62,97.90,-134.28
680,3.95,8.75,3.39,-1.28,91.92,-158.51
690,3.45,6.16,1.91,1.34,76.05,-173.03
700,3.01,3.74,0.83,7.51,57.31,-184.39
710,2.59,1.44,0.25,18.13,40.34,-194.03
720,2.30,-0.74,-0.02,46.75,6.35,-204.28
730,1.56,-5.23,-0.70,53.28,-13.55,-204.53
740,0.96,-7.25,-0.33,53.59,-33.33,-202.27
750,0.27,-8.93,0.82,48.89,-51.76,-198.00
760,-0.50,-10.47,2.48,46.14,-69.70,-191.65
770,-1.37,-12.06,3.99,48.58,-85.51,-184.63
780,-2.96,-14.78,5.48,55.11,-100.10,-163.39
790,-4.06,-16.06,5.91,49.56,-103.94,-144.35
800,-3.99,-16.86,6.76,43.40,-107.60,-124.27
810,-4.74,-17.36,6.90,38.02,-108.03,-104.74
820,-3.96,-17.29,7.35,34.61,-105.10,-80.26
830,-6.73,-18.68,7.37,27.59,-116.70,-23.19
840,-7.24,-18.72,8.01,14.71,-129.09,16.54
850,-7.54,-18.05,9.45,2.14,-139.89,61.34
860,-8.06,-17.03,11.03,-6.71,-149.29,108.64
870,-8.16,-15.75,12.39,-10.38,-159.18,162.96
880,-8.25,-13.68,13.90,-5.37,-178.10,273.62
890,-6.36,-5.40,18.69,1.46,-180.36,314.58
900,-3.76,-0.57,20.11,14.65,-166.87,332.76
910,-0.18,3.79,20.06,28.14,-137.88,317.87
920,2.56,6.60,18.30,34.67,-98.45,267.40
930,4.08,7.47,16.00,27.10,-19.35,112.24
940,3.81,5.53,13.98,-27.16,12.27,43.88
950,2.91,4.33,13.64,-47.12,35.03,-2.26
960,2.55,2.59,13.28,-51.82,49.56,-26.00
970,1.93,1.49,12.09,-41.50,51.03,-36.38
980,1.63,0.05,10.86,-21.24,52.19,-39.73
990,0.94,-2.69,8.14,13.98,32.47,-34.30
