timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.26,0.81,15.84,-25.45,-105.65,16.97
10,-3.51,1.10,15.77,-54.57,-106.26,-0.85
20,-2.26,3.75,16.83,-72.02,-113.59,-25.57
30,-2.37,2.49,20.35,-57.62,-96.80,-21.12
40,-2.10,1.50,22.92,-43.03,-77.88,-12.88
50,-1.94,2.14,24.66,-32.90,-56.03,2.14
60,-2.34,3.38,25.65,-23.68,-27.34,23.93
70,-3.15,4.70,26.20,-11.23,4.58,47.61
80,-3.89,6.29,27.23,6.84,69.27,41.99
90,-3.70,6.34,27.15,0.79,95.34,27.77
100,-3.14,5.73,26.19,-12.02,116.21,12.33
110,-2.43,5.27,24.72,-28.56,131.84,0.67
120,-2.08,4.58,22.53,-42.11,142.52,-5.92
130,-1.50,3.81,18.51,-50.17,163.57,-10.86
140,-0.84,3.74,16.72,-47.73,173.10,-9.46
150,-0.76,3.79,15.21,-45.35,182.62,-6.71
160,-1.37,3.77,13.98,-42.30,190.55,-5.43
170,-1.40,3.90,13.87,-38.45,185.00,-6.71
180,-1.07,3.26,11.74,-34.73,189.94,-6.53
190,-0.69,2.90,10.05,-43.52,200.01,-10.07
200,-1.34,3.14,8.92,-48.65,204.10,-18.19
210,-1.53,3.60,8.28,-45.59,201.72,-25.63
220,-0.63,3.84,7.56,-43.40,190.80,-30.09
230,-0.37,4.12,6.87,-40.53,163.88,-45.84
240,-0.88,4.09,5.45,-31.74,159.18,-52.86
250,-1.04,3.69,4.69,-28.93,159.24,-59.57
260,-1.16,3.58,3.75,-28.63,158.39,-65.12
270,-1.02,3.45,3.06,-25.45,155.09,-69.27
280,-0.74,3.34,2.62,-19.84,148.56,-72.20
290,-0.91,2.85,1.97,-12.21,130.31,-74.34
300,-1.11,2.74,1.47,-12.82,123.23,-74.58
310,-1.17,2.49,0.95,-16.42,116.33,-75.50
320,-1.30,2.31,0.40,-21.18,106.51,-77.94
330,-1.55,2.21,-0.28,-25.15,90.64,-82.28
340,-1.57,1.98,-1.97,-25.82,57.25,-93.69
350,-1.73,1.59,-2.27,-25.39,45.17,-100.77
360,-1.43,1.10,-2.90,-22.28,33.51,-105.83
