timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-2.74,-5.71,7.67,-91.74,-78.67,8.30
10,0.85,-4.16,9.69,-85.94,-87.40,24.90
20,1.21,-4.10,9.82,-37.66,-71.96,20.94
30,1.11,-4.01,9.20,-8.12,-71.66,16.48
40,1.24,-4.46,8.50,10.07,-67.93,14.59
50,1.50,-4.54,7.94,20.94,-58.53,6.90
60,0.34,-4.78,8.29,14.95,-25.21,-15.63
70,-0.03,-4.98,8.29,8.06,-10.80,-22.28
80,-0.34,-5.08,7.98,1.59,0.31,-27.77
90,-0.60,-5.49,7.44,-3.72,8.54,-31.43
100,-0.99,-5.75,7.56,-12.45,11.66,-32.53
110,-1.12,-5.80,8.76,-20.75,10.93,-25.39
120,-1.11,-5.70,8.82,-10.50,5.74,-19.41
130,-1.14,-5.80,8.35,5.86,-1.77,-12.88
140,-1.33,-5.97,7.77,21.48,-10.44,-5.86
150,-1.35,-6.19,7.49,32.65,-19.35,1.10
160,0.96,-5.45,7.08,35.34,-39.43,10.56
170,-1.35,-5.00,7.91,30.40,-33.57,13.06
180,-1.93,-5.30,8.10,28.69,-24.41,13.31
190,-1.70,-5.26,7.88,26.98,-18.92,7.14
200,-1.73,-5.34,7.72,15.14,-19.17,3.05
210,-1.52,-5.49,7.81,-2.14,-19.71,-15.08
220,-1.26,-5.18,8.54,-19.90,-17.27,-3.91
230,-1.43,-5.18,8.72,-21.48,-19.10,-4.03
240,-1.43,-5.13,8.93,-21.79,-22.83,-2.75
250,-1.27,-5.12,9.16,-20.32,-26.00,-0.31
260,-1.04,-5.10,9.16,-17.76,-28.93,2.26
270,-0.86,-5.40,8.81,-14.34,-30.40,3.11
280,-0.56,-5.93,8.60,-15.69,-31.49,0.73
290,-0.46,-6.59,8.74,-20.81,-32.78,-2.32
300,-0.47,-7.28,9.18,-26.43,-34.24,-3.97
310,-0.72,-7.92,9.99,-30.40,-36.62,-3.36
320,-0.50,-8.31,10.81,-28.14,-47.85,11.29
330,-1.74,-9.72,14.20,-25.45,-56.46,25.33
340,-2.32,-9.58,16.27,-28.44,-68.36,41.75
350,-2.78,-9.56,18.08,-32.29,-77.51,61.28
360,-3.33,-9.33,20.13,-36.50,-76.05,78.92
370,-3.93,-8.56,22.02,-40.59,-42.91,96.31
380,-4.95,-7.29,25.34,-51.15,-18.80,95.95
390,-5.20,-7.56,26.63,-59.81,7.39,90.64
400,-5.43,-7.71,26.86,-66.89,42.72,81.60
410,-5.77,-7.75,25.72,-68.12,87.22,73.06
420,-5.83,-7.69,23.62,-65.49,133.61,68.60
430,-5.87,-6.41,19.20,-64.39,208.50,72.69
440,-6.19,-5.05,16.12,-67.14,235.60,80.57
450,-3.97,-4.50,15.70,-57.56,274.66,86.36
460,-3.97,-2.91,14.60,-49.74,304.20,85.14
470,-4.36,-0.89,13.77,-56.34,309.75,78.37
480,-4.66,0.69,9.54,-62.26,293.15,68.66
490,-2.78,3.27,7.35,-44.92,311.89,54.50
500,-2.36,4.56,5.38,-34.48,330.69,34.73
510,-1.65,5.49,3.11,-36.74,341.55,11.84
520,-1.06,5.94,0.46,-49.74,346.01,-10.74
530,-0.48,6.26,-1.78,-82.64,333.98,-54.99
540,-0.31,7.42,-4.31,-88.32,318.12,-73.97
550,0.20,7.44,-5.51,-84.90,300.42,-88.93
560,0.53,7.15,-6.90,-74.52,280.76,-103.70
570,0.54,6.69,-7.87,-60.49,257.57,-120.30
580,0.62,5.90,-8.42,-44.86,228.21,-150.27
590,0.38,3.95,-9.11,0.55,150.39,-165.47
600,0.20,2.18,-9.78,33.87,104.19,-181.15
610,-0.18,-0.07,-10.84,67.38,57.80,-195.86
620,-0.62,-2.92,-11.63,90.76,12.76,-208.01
630,-1.01,-5.94,-11.23,96.56,-30.88,-215.82
640,-2.83,-11.97,-8.76,83.80,-107.30,-217.10
650,-4.15,-15.80,-7.88,77.64,-130.62,-213.20
660,-5.62,-19.82,-6.42,65.61,-142.52,-203.37
670,-6.74,-23.37,-4.46,46.45,-149.84,-178.89
