timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.68,-4.50,6.56,16.05,-146.06,75.68
10,1.40,-3.20,7.17,11.60,-145.63,74.34
20,1.92,-3.02,9.18,0.85,-136.66,69.34
30,1.85,-2.40,9.33,-8.85,-127.99,46.57
40,1.13,-2.76,10.45,-8.85,-117.00,33.94
50,0.82,-3.36,11.13,-9.52,-110.72,24.66
60,0.58,-3.72,12.17,-13.98,-106.38,20.02
70,0.21,-4.15,13.02,-15.14,-99.00,17.76
80,-0.25,-4.76,13.48,-14.04,-73.36,13.98
90,-1.66,-5.73,15.81,-24.54,-63.90,15.08
100,-2.21,-5.67,16.73,-33.57,-51.76,20.81
110,-2.51,-5.31,17.79,-41.87,-46.75,29.05
120,-2.47,-4.89,19.28,-47.79,-47.30,37.90
130,-2.32,-4.78,20.54,-50.54,-47.49,46.39
140,-2.40,-4.81,22.09,-55.42,-35.83,61.34
150,-2.83,-4.88,22.15,-57.86,-22.46,67.32
160,-3.20,-5.28,22.18,-60.49,-7.75,71.04
170,-2.40,-5.02,21.31,-68.30,11.41,71.72
180,-3.23,-5.27,21.11,-74.89,45.84,76.97
190,-3.88,-5.28,20.39,-84.84,104.61,66.04
200,-3.10,-5.39,20.17,-89.42,142.58,65.98
210,-2.49,-4.25,18.36,-87.77,188.78,61.89
220,-3.39,-5.03,17.49,-83.31,240.05,62.44
230,-3.17,-3.91,17.12,-87.52,289.00,62.01
240,-2.70,-1.70,17.72,-76.29,297.91,59.57
250,-4.95,1.63,15.25,-48.95,236.39,71.29
260,-4.97,2.30,10.39,-25.27,197.57,77.39
270,-3.86,2.45,7.20,-19.59,212.40,73.06
280,-3.03,2.99,5.06,-36.62,251.65,53.28
290,-2.91,4.01,3.30,-69.46,285.77,-7.02
300,-2.94,7.10,-1.74,-149.78,327.58,-34.42
310,-2.55,8.31,-3.60,-183.84,342.53,-65.61
320,-2.39,9.21,-5.28,-204.83,341.49,-100.95
330,-2.48,9.47,-6.78,-208.98,328.00,-138.12
340,-2.48,9.21,-7.67,-196.53,305.42,-174.07
350,-2.31,7.51,-8.20,-117.07,229.80,-236.69
360,-3.07,5.86,-8.98,-55.24,179.44,-261.84
370,-3.09,3.96,-10.24,7.93,129.88,-277.40
380,-2.96,2.07,-11.59,59.39,80.02,-286.62
390,-2.43,-0.16,-12.36,93.51,28.87,-291.75
400,-1.65,-2.70,-12.28,105.83,-54.26,-298.95
410,-0.96,-7.69,-11.16,89.97,-80.14,-302.73
420,-1.05,-10.16,-9.36,62.38,-99.43,-306.58
430,-1.43,-12.44,-6.46,32.71,-117.07,-310.12
440,-1.80,-14.78,-2.78,17.09,-134.46,-309.02
450,-2.50,-18.33,-0.61,18.74,-168.15,-279.17
460,-5.64,-25.19,3.94,40.47,-183.72,-248.72
470,-6.61,-28.96,5.71,38.15,-201.11,-187.13
480,-6.95,-30.91,8.60,21.00,-214.66,-98.75
490,-7.92,-30.28,11.83,2.99,-229.74,3.72
500,-8.33,-28.03,14.77,-5.80,-242.61,110.35
510,-8.07,-20.85,19.37,-8.36,-255.68,294.43
520,-8.33,-15.51,21.96,-15.38,-249.27,363.95
530,-7.70,-8.38,25.16,-28.56,-225.83,417.18
540,-4.45,0.11,28.24,-38.76,-184.14,447.39
550,0.66,8.23,29.25,-37.17,-127.93,439.70
560,5.65,13.19,22.77,-10.38,9.46,282.04
570,8.51,15.41,18.93,-13.73,71.53,166.32
580,6.75,14.78,16.18,-32.41,123.84,67.81
590,4.99,14.32,12.93,-53.65,159.97,4.03
600,4.54,13.77,10.02,-67.63,178.28,-30.15
610,4.52,13.32,7.51,-68.48,179.02,-84.29
620,4.05,11.63,2.46,-59.57,176.33,-115.42
630,3.95,10.23,0.03,-46.33,169.07,-146.18
640,3.38,8.43,-2.01,-27.22,154.48,-172.79
650,3.28,6.60,-3.97,-9.95,130.80,-192.99
660,3.67,4.92,-5.07,0.61,101.56,-219.30
670,3.22,1.51,-5.78,7.14,40.95,-236.88
680,2.69,-0.25,-4.69,9.03,10.56,-257.26
690,1.57,-2.24,-2.97,18.80,-24.84,-279.79
700,0.25,-4.56,-1.53,42.72,-61.34,-301.70
710,-1.19,-7.27,-0.82,75.87,-93.57,-320.07
720,-4.71,-13.11,-1.06,126.71,-151.00,-334.53
730,-5.87,-16.08,-0.86,129.52,-174.87,-326.42
740,-8.33,-19.48,0.17,115.60,-189.39,-310.61
750,-9.69,-22.18,1.74,80.57,-194.09,-280.33
760,-10.74,-23.61,3.60,35.10,-193.30,-230.16
770,-10.88,-26.10,7.05,-22.58,-179.44,-91.43
780,-11.26,-25.56,9.32,-28.20,-176.64,-16.66
790,-10.79,-24.22,9.83,-32.90,-175.35,60.49
800,-10.01,-22.40,10.52,-38.64,-179.87,130.49
810,-9.27,-20.10,11.87,-42.24,-188.60,188.29
820,-8.63,-17.65,13.33,-41.02,-203.55,277.34
830,-6.58,-10.31,16.76,-28.50,-199.28,306.64
840,-4.05,-5.85,18.29,-21.06,-180.97,318.73
850,-0.70,-1.83,18.69,-12.21,-150.76,305.66
860,2.15,0.66,17.75,-5.19,-110.05,267.64
870,3.55,1.90,15.81,-8.30,-62.26,210.69
880,3.25,2.02,12.27,-43.64,20.02,92.96
890,2.91,1.89,11.69,-64.64,39.98,56.70
