timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-3.29,-8.94,17.97,-66.16,-21.36,15.99
10,-3.20,-10.44,17.41,-61.04,-2.14,40.28
20,-2.42,-9.95,16.58,-57.56,-4.88,60.00
30,-3.06,-9.79,16.64,-54.69,-3.85,76.97
40,-2.31,-8.80,16.83,-52.92,2.08,83.68
50,-2.79,-8.12,17.07,-52.37,13.24,86.98
60,-3.07,-7.43,17.12,-53.41,26.79,90.64
70,-3.73,-5.80,16.84,-55.97,45.10,91.25
80,-4.23,-4.83,16.74,-51.88,54.75,92.71
90,-4.83,-4.05,17.04,-41.69,64.64,94.97
100,-5.26,-3.54,17.78,-26.86,73.55,95.58
110,-5.22,-3.24,18.74,-15.69,84.96,94.12
120,-5.21,-2.25,19.39,-20.51,110.17,98.45
130,-5.29,-1.46,19.02,-30.46,122.01,100.40
140,-5.25,-0.54,18.16,-40.71,133.00,99.06
150,-5.12,0.20,17.31,-47.36,143.43,94.30
160,-5.07,1.01,16.38,-50.23,152.40,88.20
170,-5.05,1.81,15.60,-48.83,165.95,73.67
180,-5.12,2.91,14.03,-46.69,170.23,66.04
190,-5.30,3.50,13.22,-47.06,182.56,52.92
200,-5.36,3.85,12.22,-44.56,188.60,39.25
210,-4.88,4.16,11.11,-39.67,191.35,24.29
220,-4.23,4.32,10.16,-30.88,193.30,-5.92
230,-2.77,4.14,8.77,-10.86,193.24,-17.15
240,-2.10,3.82,8.20,-3.48,193.48,-25.33
250,-1.60,3.57,7.36,1.59,191.59,-30.03
260,-1.18,3.24,6.62,6.41,188.66,-31.80
270,-0.92,2.90,5.99,12.21,185.24,-32.84
280,-0.14,2.29,5.23,20.75,179.50,-36.25
290,0.13,1.92,4.88,21.00,176.15,-38.82
300,0.34,1.64,4.35,18.80,172.18,-41.26
310,0.53,1.41,3.88,15.93,167.18,-43.64
320,0.61,1.13,3.37,14.40,160.64,-45.04
330,0.79,0.98,2.73,14.10,150.33,-44.98
340,0.80,0.94,2.24,11.11,145.51,-42.60
350,0.55,1.14,1.67,4.82,141.11,-40.83
360,0.46,1.43,0.96,0.79,135.19,-41.93
370,0.29,1.60,0.45,0.18,129.15,-45.35
380,-0.02,1.52,-0.09,11.29,115.84,-58.29
390,-0.30,0.99,-0.55,20.02,109.44,-66.83
400,-0.63,0.43,-0.67,24.90,103.64,-75.32
410,-0.75,-0.31,-0.72,24.41,96.74,-85.14
420,-0.85,-1.02,-0.83,18.37,87.95,-94.79
430,-1.10,-1.58,-1.13,8.91,78.67,-106.38
440,-1.80,-2.12,-2.52,-13.92,59.81,-107.85
450,-2.00,-1.86,-3.44,-21.55,48.10,-107.12
460,-2.10,-1.31,-4.25,-24.41,37.35,-104.19
470,-2.57,-1.05,-5.08,-21.00,27.71,-101.44
480,-3.22,-1.34,-5.73,-7.51,19.17,-103.94
490,-3.94,-4.05,-4.92,34.48,1.10,-128.78
500,-3.45,-6.34,-3.91,42.54,-8.97,-144.84
510,-2.79,-8.64,-2.91,37.72,-21.24,-157.84
