timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.15,-6.44,2.83,-6.71,-39.86,-4.88
10,-1.65,-6.87,1.88,2.62,-48.46,-3.30
20,-1.44,-6.79,2.63,17.52,-66.04,-7.51
30,-1.38,-7.81,2.82,30.82,-78.00,-11.96
40,-0.75,-8.88,3.36,34.06,-93.08,-11.17
50,-0.58,-9.60,3.97,31.07,-104.86,-5.07
60,-0.63,-10.24,4.89,26.43,-113.04,4.64
70,-0.87,-10.76,5.84,20.63,-116.82,26.98
80,-2.17,-11.53,8.32,-4.15,-111.82,36.32
90,-2.67,-11.58,9.83,-26.55,-106.87,42.97
100,-3.10,-11.68,11.40,-55.97,-103.64,47.12
110,-3.43,-11.69,12.94,-91.19,-102.11,49.44
120,-3.40,-11.67,14.51,-127.69,-99.30,50.23
130,-3.69,-10.93,17.79,-203.00,-89.78,57.19
140,-4.51,-9.57,18.86,-233.64,-82.52,65.49
150,-5.18,-7.96,19.48,-249.76,-71.35,75.68
160,-5.78,-6.32,20.06,-248.17,-54.32,86.30
170,-6.25,-4.54,20.32,-230.77,-32.59,95.58
180,-7.02,-2.96,21.02,-175.29,14.71,107.73
190,-6.38,-0.76,22.47,-153.99,39.73,105.22
200,-6.87,0.79,22.54,-141.85,62.74,97.78
210,-7.16,1.10,22.15,-138.00,86.85,89.60
220,-6.79,1.42,21.17,-134.28,109.19,75.62
230,-6.19,1.93,20.19,-133.24,142.82,34.55
240,-5.46,1.87,17.83,-124.63,154.85,15.44
250,-5.03,1.57,16.95,-119.26,166.93,-1.22
260,-4.30,1.03,16.22,-114.87,180.60,-14.59
270,-3.53,0.76,15.45,-112.73,192.57,-23.32
280,-3.05,0.46,14.31,-112.00,201.29,-25.94
290,-2.18,0.41,11.81,-103.64,212.89,-22.40
300,-1.75,0.63,10.54,-93.87,214.78,-17.33
310,-1.45,0.94,9.52,-81.42,214.72,-11.05
320,-1.32,1.34,8.80,-67.57,213.13,-5.07
330,-1.47,1.62,8.04,-57.56,210.27,-0.37
340,-1.53,1.91,6.88,-48.77,203.00,-2.08
350,-1.40,2.35,6.36,-50.90,196.96,-9.09
360,-1.29,2.35,5.85,-58.04,189.45,-19.10
370,-1.15,2.24,5.17,-68.79,180.85,-30.88
380,-0.93,2.08,4.27,-79.77,170.96,-42.30
390,-0.61,1.95,3.29,-86.36,148.99,-59.33
400,-0.02,1.71,1.63,-79.10,138.61,-62.93
410,0.29,1.61,1.03,-63.72,129.46,-63.48
420,0.44,1.55,0.69,-45.59,123.54,-60.91
430,0.37,1.53,0.36,-28.63,120.73,-56.52
440,0.23,1.58,0.01,-14.47,118.65,-48.34
450,-0.32,1.87,-0.30,2.50,112.12,-46.63
460,-0.60,1.95,-0.30,1.53,103.33,-47.42
470,-0.74,2.20,-0.69,-8.06,89.29,-51.64
480,-0.94,2.57,-1.41,-20.14,72.75,-59.39
490,-1.15,2.69,-2.15,-26.49,55.73,-69.40
500,-1.27,2.61,-2.98,-18.01,25.02,-93.14
510,-1.59,2.15,-3.02,-6.04,9.89,-105.35
520,-1.56,1.43,-2.89,8.73,-3.23,-115.97
530,-1.54,0.53,-2.54,21.48,-13.79,-122.80
540,-1.61,-0.44,-2.38,31.31,-23.93,-126.40
550,-1.53,-1.34,-2.30,43.15,-44.43,-128.42
560,-1.39,-3.45,-1.85,45.90,-56.95,-128.17
570,-1.05,-4.67,-1.36,49.62,-70.37,-128.17
580,-0.63,-6.05,-1.02,52.92,-82.34,-127.01
590,-0.43,-7.34,-0.48,52.67,-93.02,-124.02
600,-0.27,-8.82,0.35,50.84,-117.43,-114.26
610,0.52,-12.05,2.60,38.21,-128.30,-106.32
620,0.85,-13.45,3.88,26.12,-138.92,-94.67
630,1.15,-14.80,5.37,15.63,-147.89,-79.90
640,1.22,-16.06,7.13,8.79,-154.11,-62.38
650,1.42,-17.16,8.96,6.35,-156.43,-29.42
660,2.76,-18.75,12.68,3.36,-144.96,-7.14
670,3.31,-18.67,14.47,-4.15,-133.18,18.92
680,4.87,-17.57,15.49,-12.15,-115.91,51.64
690,4.67,-15.23,17.40,-21.67,-107.85,87.52
700,3.49,-12.45,18.63,-18.49,-112.85,119.93
710,2.38,-5.78,23.43,0.55,-111.15,163.82
720,-0.13,-1.48,26.36,10.19,-106.93,175.11
730,-1.69,2.23,29.08,17.58,-95.58,179.38
740,-2.64,5.56,30.80,19.53,-73.06,170.23
750,-3.14,8.51,31.44,12.63,-40.28,146.06
760,-3.46,10.24,30.43,-33.57,29.05,71.35
770,-1.90,12.13,22.72,-58.65,54.50,28.81
780,-0.84,11.91,17.12,-70.19,74.95,-7.63
790,0.20,10.90,11.19,-66.77,93.99,-37.48
800,1.78,10.47,4.20,-54.75,110.66,-58.11
810,3.12,10.06,-3.53,-41.99,140.14,-50.42
820,1.75,7.42,-14.31,14.71,107.60,-44.13
830,1.67,5.58,-14.78,72.33,54.69,-53.96
840,0.84,3.17,-12.53,114.56,-15.99,-83.19
850,-0.51,-0.37,-9.93,124.02,-75.07,-121.09
860,-1.01,-3.34,-7.23,100.34,-116.64,-158.57
870,-0.54,-9.39,-3.34,17.21,-185.24,-183.41
880,0.01,-11.51,-1.97,-24.96,-207.64,-164.00
890,0.44,-12.12,-0.51,-59.33,-222.53,-128.42
900,0.32,-11.98,1.00,-71.84,-227.48,-84.47
910,0.11,-11.31,3.72,-64.94,-221.31,-42.42
920,-1.43,-11.57,7.50,-36.01,-206.60,8.24
930,-1.55,-10.35,9.93,-22.52,-202.21,22.46
940,-2.09,-10.01,12.02,-14.71,-199.46,39.00
950,-2.94,-9.80,14.01,-10.86,-193.18,53.77
960,-3.42,-9.59,15.93,-6.53,-183.65,61.71
970,-3.71,-9.41,17.89,-8.42,-159.48,71.04
980,-4.40,-8.27,21.01,-13.67,-149.72,78.67
990,-4.87,-7.01,21.89,-17.21,-139.65,86.85
