timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.37,-1.24,9.53,24.11,3.72,17.70
10,-1.28,-1.66,9.19,27.95,2.08,11.90
20,-0.51,-1.85,9.77,26.98,-1.46,6.04
30,0.08,-2.05,9.86,27.59,-9.64,9.89
40,0.34,-3.11,11.08,24.66,-9.34,17.70
50,0.43,-3.17,11.76,20.32,-6.71,27.34
60,0.31,-3.10,12.65,16.48,-1.95,36.19
70,-0.05,-3.18,13.59,12.82,4.94,42.30
80,-0.55,-3.27,14.47,8.54,21.12,44.19
90,-1.36,-2.79,16.06,-4.64,28.38,41.44
100,-1.46,-2.66,17.04,-9.95,36.50,36.62
110,-1.44,-2.45,17.77,-15.93,45.10,31.31
120,-1.24,-2.21,18.37,-26.43,53.89,29.85
130,-1.13,-1.71,18.65,-40.28,62.81,31.80
140,-1.10,-0.22,18.02,-62.74,82.95,38.09
150,-1.25,0.55,17.38,-64.03,93.44,38.33
160,-1.54,1.20,16.90,-58.84,102.42,37.48
170,-1.68,1.92,16.30,-49.56,110.84,35.89
180,-2.64,1.85,16.25,-36.93,114.38,32.90
190,-2.56,2.71,14.98,-40.22,136.66,19.35
200,-2.58,3.96,14.00,-38.82,144.53,9.46
210,-2.51,4.05,13.17,-37.23,151.12,-0.67
220,-2.60,4.28,12.03,-36.44,154.72,-11.41
230,-2.76,4.49,11.07,-32.47,156.62,-22.64
240,-2.61,4.63,10.22,-15.63,161.19,-41.93
250,-2.30,4.68,8.43,-3.91,166.02,-50.48
260,-2.02,4.42,7.47,8.48,170.78,-58.23
270,-1.76,4.08,6.34,19.04,174.62,-64.58
280,-1.55,3.67,5.19,28.32,176.57,-69.21
290,-1.27,3.37,4.03,36.44,174.62,-73.85
300,-0.70,2.97,2.27,48.46,164.00,-74.16
310,-0.45,2.78,1.60,50.54,156.31,-74.10
320,-0.47,2.54,1.13,46.81,148.25,-74.65
330,-0.48,2.41,0.63,37.41,138.85,-77.94
340,-0.33,2.32,0.16,24.41,126.71,-83.37
350,-0.44,1.84,-0.70,-2.93,99.85,-98.82
360,-0.58,1.64,-1.17,-13.55,85.75,-108.15
370,-0.52,1.39,-1.57,-18.98,72.51,-117.61
380,-0.39,1.01,-2.02,-19.78,61.22,-124.88
390,-0.30,0.57,-2.48,-17.15,50.72,-129.58
400,-0.16,0.03,-2.61,-0.06,25.63,-131.90
410,-0.28,-1.53,-1.80,8.18,13.00,-131.65
420,-0.26,-2.16,-1.37,10.93,2.08,-132.26
430,-0.19,-2.74,-1.02,9.22,-6.96,-133.30
440,-0.10,-3.25,-0.69,3.42,-16.42,-134.70
450,-0.07,-3.67,-0.53,-5.31,-39.37,-138.12
460,0.64,-4.85,0.07,-20.32,-51.51,-137.27
470,0.99,-5.82,0.63,-23.62,-63.54,-134.34
480,1.19,-6.88,1.29,-22.83,-75.99,-130.92
490,1.51,-8.12,2.31,-17.03,-88.50,-126.83
500,2.40,-9.47,4.16,-7.14,-99.18,-120.06
510,3.09,-12.44,7.84,15.93,-117.13,-100.77
520,4.03,-13.37,10.47,22.40,-112.73,-91.25
530,4.89,-14.52,13.30,29.17,-106.99,-76.35
540,5.36,-15.53,15.90,32.35,-100.16,-54.26
550,5.35,-15.98,18.09,30.33,-89.72,-27.71
560,5.08,-13.75,20.58,16.42,-62.93,29.97
570,3.76,-11.31,21.02,13.85,-47.36,55.60
580,3.12,-9.00,21.36,16.78,-29.60,73.12
590,2.43,-6.93,21.23,22.95,-12.15,81.36
600,2.06,-5.09,20.67,27.83,3.23,80.81
610,2.02,-3.59,19.82,20.51,35.77,61.77
620,2.05,-1.63,16.90,8.85,47.97,47.00
630,2.24,-0.94,15.24,-4.64,56.88,31.49
640,2.24,-0.42,13.26,-17.33,62.44,16.17
650,2.38,-0.04,11.31,-26.06,66.89,1.65
660,2.44,0.11,9.41,-28.14,70.13,-21.73
670,2.63,0.40,5.98,-18.43,70.80,-30.70
680,2.39,0.33,4.41,-9.64,68.91,-37.41
690,2.31,0.37,3.16,0.00,65.00,-44.07
700,2.14,0.28,2.06,10.99,56.88,-50.96
710,1.77,0.08,1.11,22.09,47.49,-58.04
720,1.14,-1.03,-0.59,39.67,27.47,-79.04
730,0.94,-2.05,-1.30,46.88,15.08,-94.48
740,0.87,-3.21,-1.92,50.42,0.85,-111.57
750,0.95,-4.37,-2.32,47.97,-14.83,-126.22
760,1.37,-5.52,-2.38,38.76,-33.57,-134.89
770,1.53,-6.65,-2.70,5.07,-72.63,-129.15
780,2.58,-8.23,-2.81,-11.23,-89.78,-114.62
790,2.59,-8.98,-2.78,-22.40,-104.37,-94.73
800,2.28,-9.59,-2.63,-27.16,-116.58,-74.22
810,2.00,-10.07,-2.19,-24.66,-128.23,-55.36
820,1.79,-10.50,-1.52,-2.01,-149.84,-25.76
830,1.39,-11.59,0.19,8.91,-159.85,-11.35
840,1.14,-11.98,1.30,16.24,-168.33,2.99
850,0.59,-12.08,2.55,18.13,-177.00,17.64
860,-0.18,-12.08,4.12,12.33,-187.07,30.58
870,-1.08,-11.68,5.98,-1.40,-198.73,44.31
880,-2.79,-10.71,10.05,-44.56,-216.92,47.85
890,-3.24,-10.13,12.01,-66.89,-218.87,51.39
900,-3.95,-9.41,13.79,-84.41,-215.64,58.29
910,-4.65,-8.69,15.14,-91.37,-208.50,71.11
920,-4.66,-7.71,16.23,-81.54,-194.76,87.40
930,-4.82,-5.39,17.87,-25.63,-157.23,131.71
940,-6.03,-4.14,18.73,0.49,-140.75,155.09
