timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.72,-2.45,12.47,-49.07,-121.58,64.15
10,3.00,-3.93,11.24,-40.22,-103.21,68.60
20,1.95,-3.82,10.74,-38.33,-95.03,71.59
30,1.78,-3.99,10.50,-37.66,-98.33,69.40
40,1.66,-3.79,11.27,-26.43,-108.64,64.03
50,1.47,-4.68,11.80,-21.91,-110.11,55.18
60,0.66,-4.82,12.85,-27.10,-103.15,43.76
70,0.38,-5.09,14.11,-37.35,-91.98,34.79
80,-0.18,-5.40,15.27,-46.45,-77.58,26.37
90,-1.05,-5.96,15.94,-53.04,-62.13,14.22
100,-2.21,-6.95,18.15,-75.81,-38.64,14.77
110,-2.44,-7.24,19.23,-87.83,-25.39,18.74
120,-2.67,-7.38,20.03,-98.21,-10.44,24.35
130,-2.75,-7.34,20.70,-107.36,4.94,31.49
140,-2.77,-6.94,21.10,-112.37,21.36,39.06
150,-2.64,-5.68,20.48,-106.63,52.06,53.28
160,-2.57,-4.63,20.13,-100.10,64.94,57.31
170,-2.50,-3.67,19.36,-95.09,79.83,57.19
180,-1.74,-3.23,18.22,-88.99,105.41,48.10
190,-2.02,-3.61,18.81,-89.23,145.39,31.49
200,-1.37,-2.27,17.10,-102.05,215.39,5.19
210,-2.17,-1.72,16.66,-99.37,244.63,-2.93
220,-2.07,-1.14,16.74,-95.03,258.67,-2.99
230,-2.70,-0.25,16.55,-84.84,245.61,-3.11
240,-3.40,0.55,16.02,-61.46,226.62,4.82
250,-3.98,1.23,14.10,-30.94,221.50,30.52
260,-3.29,1.68,8.22,25.63,241.76,34.18
270,-3.05,2.47,5.01,29.97,261.90,28.32
280,-2.46,3.37,2.87,11.05,269.53,14.47
290,-1.82,4.08,2.24,-20.75,269.96,-5.68
300,-1.57,4.62,2.07,-52.98,266.36,-26.55
310,-1.60,5.52,1.94,-82.03,265.01,-69.46
320,-1.57,5.86,1.28,-78.55,265.14,-87.95
330,-1.62,5.98,0.10,-70.56,264.16,-105.65
340,-1.72,5.82,-1.50,-62.32,261.35,-124.27
350,-1.94,5.56,-3.45,-57.13,254.21,-141.85
360,-1.84,5.08,-5.72,-58.72,213.99,-167.91
370,-1.20,3.69,-6.51,-57.80,182.98,-177.19
380,-0.87,2.84,-7.08,-58.11,152.47,-183.65
390,-0.44,1.97,-7.35,-61.34,124.27,-188.35
400,-0.09,1.11,-7.56,-67.50,97.84,-192.75
410,0.22,-0.03,-7.57,-78.31,50.35,-201.11
420,0.46,-2.44,-7.62,-80.44,24.90,-202.03
430,0.87,-3.73,-7.50,-81.67,-5.98,-198.67
440,1.20,-5.01,-7.10,-82.09,-38.39,-194.15
450,1.31,-6.36,-6.19,-81.85,-68.42,-190.55
460,1.21,-8.00,-4.91,-80.38,-96.31,-185.36
470,0.04,-11.69,-0.76,-73.97,-141.54,-181.27
480,-0.89,-13.87,2.14,-65.86,-161.38,-173.46
490,-1.93,-16.35,5.16,-50.78,-178.83,-161.38
500,-2.93,-18.99,7.74,-32.29,-193.05,-143.07
510,-3.38,-21.38,11.08,-15.69,-200.38,-116.64
520,-3.88,-25.45,13.92,24.54,-197.39,-40.10
530,-4.44,-25.75,14.79,28.50,-187.13,5.07
540,-4.57,-24.78,15.91,21.79,-180.91,61.89
550,-4.41,-22.23,17.22,5.55,-177.00,131.41
560,-4.25,-18.05,19.46,-15.75,-176.03,206.42
570,-3.45,-12.55,22.31,-41.75,-151.86,330.81
580,0.42,2.21,26.56,-37.72,-117.80,362.49
590,4.36,9.08,26.10,-23.50,-75.68,362.30
600,7.06,14.36,23.71,-9.46,-43.15,324.34
610,7.97,16.29,18.18,4.21,-30.27,259.77
620,9.67,16.15,14.87,-6.71,41.44,78.49
630,7.38,14.93,12.19,-28.08,61.95,15.14
640,7.21,13.73,11.48,-44.68,79.04,-21.24
650,6.24,13.32,9.61,-54.26,86.67,-48.58
660,5.57,11.88,7.08,-53.65,91.98,-70.31
670,5.12,10.21,4.73,-51.76,99.85,-126.28
680,3.75,6.11,0.44,-56.34,98.69,-154.48
690,3.22,3.79,-0.80,-62.38,94.42,-175.84
700,2.69,1.57,-1.61,-67.02,85.75,-189.82
710,2.16,-0.05,-1.86,-69.27,72.45,-198.00
720,1.79,-1.21,-2.20,-67.57,55.73,-200.38
730,1.14,-2.98,-1.22,-54.57,7.69,-193.73
740,0.25,-3.36,0.00,-43.21,-24.96,-185.97
750,0.58,-3.89,1.37,-25.21,-60.49,-176.76
760,0.75,-4.59,2.79,-0.55,-91.19,-173.34
770,0.72,-5.50,3.89,26.73,-117.61,-173.10
780,0.89,-6.89,4.56,75.20,-156.92,-172.24
790,-0.32,-9.84,5.10,86.30,-171.20,-168.52
800,-1.19,-11.39,5.97,88.32,-185.00,-161.19
810,-2.32,-13.08,6.58,85.94,-196.17,-148.19
820,-3.69,-14.61,7.37,76.78,-201.84,-129.39
830,-4.91,-16.21,8.64,60.36,-205.44,-72.57
840,-7.94,-19.76,10.57,22.83,-205.75,-32.10
850,-8.88,-22.03,11.38,-2.08,-201.78,20.32
860,-9.90,-22.76,12.76,-33.51,-191.83,91.19
870,-11.35,-21.22,14.63,-62.62,-178.28,180.73
880,-12.13,-17.90,16.43,-78.00,-169.19,278.93
890,-9.05,-5.23,22.14,-51.45,-161.25,421.63
900,-4.73,0.77,22.47,-4.94,-152.22,431.27
910,-0.05,4.76,20.57,38.09,-134.64,390.99
920,2.77,6.34,17.70,55.91,-104.55,312.74
930,3.52,6.94,15.16,39.86,-61.83,219.73
940,3.45,6.51,13.57,-38.45,2.75,76.66
950,2.29,4.58,13.69,-73.61,18.43,40.04
960,2.12,4.10,13.61,-96.56,33.20,21.30
970,2.04,3.97,12.85,-105.53,47.00,12.27
980,2.20,3.86,11.76,-103.82,54.99,7.32
