timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-7.47,16.00,19.35,-44.31,27.53,27.83
10,-6.51,16.66,19.12,-43.27,46.14,10.31
20,-6.42,16.38,18.98,-35.16,58.11,-5.86
30,-5.84,15.88,18.63,-25.15,71.47,-24.66
40,-5.25,15.27,18.01,-18.74,84.23,-43.15
50,-4.77,14.33,17.20,-14.95,95.83,-69.15
60,-4.45,12.86,15.74,-10.13,110.29,-77.76
70,-4.29,12.50,14.73,-2.56,117.00,-86.18
80,-3.88,11.46,13.92,12.88,124.33,-94.73
90,-3.73,9.64,12.49,29.05,130.07,-101.50
100,-2.71,8.71,11.46,37.05,133.79,-104.98
110,-2.46,6.99,9.83,41.56,142.76,-92.47
120,-1.92,6.92,9.55,41.38,143.19,-83.68
130,-1.75,6.76,9.56,35.71,144.78,-75.62
140,-1.89,6.76,9.06,18.07,149.90,-70.13
150,-2.00,6.98,8.05,-4.94,155.21,-68.36
160,-2.19,6.99,5.56,-25.27,158.02,-75.68
170,-2.00,6.48,5.05,-23.07,156.19,-81.54
180,-1.53,6.12,4.68,-20.20,153.44,-86.91
190,-1.07,6.00,4.14,-21.79,150.09,-90.70
200,-0.45,4.91,3.50,-24.60,142.58,-92.83
210,-0.57,5.40,2.88,-35.71,131.23,-94.54
220,-0.14,4.75,2.24,-41.56,121.70,-93.75
230,0.37,4.98,1.63,-51.27,112.61,-88.68
240,-0.05,4.77,1.12,-57.86,108.34,-88.32
250,-0.15,4.56,0.51,-53.83,100.59,-87.83
260,-0.12,4.27,0.04,-47.61,88.99,-88.38
270,0.15,3.58,0.20,-29.72,72.45,-90.76
280,0.15,3.27,0.44,-20.57,64.51,-92.47
290,-0.12,2.56,0.28,-16.97,57.43,-93.87
300,-0.10,2.43,-0.10,-16.24,49.44,-94.91
310,-0.21,2.02,-0.18,-12.88,37.48,-96.19
320,-0.21,1.41,0.23,-5.00,15.44,-97.23
330,-0.10,0.89,-0.40,-0.98,2.32,-96.68
340,-0.02,0.57,-0.18,-1.89,-6.84,-95.21
350,-0.09,0.20,-0.52,-0.24,-15.44,-92.83
360,-0.04,0.25,-0.64,4.27,-21.79,-90.45
370,-0.03,0.05,-0.62,19.17,-33.02,-79.22
380,-0.17,-0.40,-0.54,21.12,-36.56,-73.73
390,-0.22,-0.60,-0.38,20.81,-40.22,-70.13
400,-0.23,-0.94,0.10,21.24,-47.18,-68.36
410,-0.20,-1.38,0.64,21.85,-58.11,-66.89
420,-0.01,-1.80,1.30,21.24,-75.56,-65.19
430,0.66,-2.75,2.70,13.43,-79.83,-61.83
440,0.95,-3.08,2.94,7.08,-82.03,-54.57
450,1.40,-3.20,3.20,1.83,-82.82,-44.25
460,1.71,-3.37,3.62,1.10,-83.13,-32.04
470,1.87,-3.56,4.33,3.48,-84.23,-20.02
480,2.14,-4.54,6.37,9.22,-91.74,-4.58
490,2.47,-5.17,7.61,11.96,-97.35,0.61
500,2.61,-5.59,8.74,14.34,-102.11,5.31
510,3.54,-6.39,10.50,12.27,-102.72,13.92
520,4.42,-6.51,12.32,8.12,-101.75,23.74
530,5.01,-6.57,16.35,-1.83,-99.49,44.49
540,8.00,-5.71,18.37,-4.76,-96.13,57.86
550,8.49,-5.68,19.25,-5.98,-96.19,76.54
560,8.23,-4.33,19.62,-11.35,-89.54,94.18
570,9.16,-1.88,20.92,-19.59,-65.06,105.65
580,9.79,0.41,22.15,-17.27,-33.20,132.63
590,7.88,5.63,21.91,-18.98,-18.55,147.22
600,5.72,8.64,21.35,-22.34,-0.06,158.75
610,3.55,12.05,20.76,-26.73,17.40,164.12
620,1.64,15.10,19.70,-34.30,28.81,160.89
630,-0.52,17.46,17.54,-45.29,36.25,128.78
640,-2.79,20.33,11.67,-51.94,57.37,97.53
650,-2.63,20.31,8.88,-37.96,65.37,59.45
660,-2.18,19.11,6.53,-17.27,67.87,21.24
670,-1.68,17.11,4.58,1.10,65.25,-10.01
680,-1.23,14.96,2.57,12.02,60.55,-34.55
690,-0.18,10.37,-1.52,30.46,43.33,-65.37
700,0.18,8.24,-2.24,45.29,28.93,-68.42
710,0.29,6.20,-2.10,57.92,12.21,-67.63
720,0.21,4.06,-1.29,65.31,-4.27,-68.97
730,0.07,1.62,-0.18,68.85,-20.08,-72.81
740,0.15,-0.67,0.76,62.81,-41.69,-75.93
750,0.70,-4.55,2.52,57.68,-46.33,-70.68
760,0.83,-6.51,2.04,56.58,-52.00,-59.08
770,1.10,-7.52,2.80,51.51,-52.12,-45.17
780,1.22,-8.42,3.62,45.65,-52.86,-30.64
790,1.22,-9.14,3.99,38.51,-63.48,-4.09
800,2.64,-9.11,5.25,29.79,-70.43,8.30
810,4.23,-8.50,6.38,28.75,-78.61,23.13
820,5.19,-7.78,7.72,24.90,-85.39,42.05
830,5.90,-6.42,8.98,18.74,-88.07,62.99
840,6.22,-4.06,10.11,9.28,-85.63,84.23
850,3.89,2.09,12.12,-6.16,-74.04,125.43
860,1.88,5.97,13.12,-13.06,-67.57,138.18
870,0.12,9.74,14.61,-20.81,-64.82,142.21
880,-1.98,12.48,14.62,-31.62,-68.12,135.62
890,-3.72,15.04,14.54,-45.23,-67.26,115.54
900,-3.79,16.56,13.64,-38.09,-49.38,61.95
910,-2.82,15.90,13.09,-21.79,-29.42,38.33
920,-2.06,14.73,12.60,-4.52,-13.49,19.96
930,-1.41,13.15,12.42,9.64,-5.49,6.59
940,-0.82,11.61,12.30,16.66,-2.75,-2.99
950,-0.05,10.24,12.18,15.50,-1.77,-15.08
960,0.99,7.72,11.34,12.82,-0.67,-18.86
970,1.38,6.56,11.07,12.51,0.73,-21.24
980,1.67,5.54,10.94,12.15,1.46,-22.22
990,1.86,4.75,10.77,10.19,1.16,-22.16
