timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.90,9.37,11.54,-45.65,29.17,108.64
10,0.84,9.39,9.59,-36.44,32.17,104.86
20,3.14,10.16,9.44,-33.75,27.83,92.16
30,2.85,11.02,9.29,-25.76,28.20,73.36
40,2.86,11.37,9.01,-15.69,31.19,54.26
50,2.73,11.43,8.20,-7.20,34.85,34.24
60,2.51,11.38,7.29,-2.93,41.02,-6.59
70,1.87,10.67,5.57,-5.98,41.38,-25.76
80,1.60,10.18,4.85,-13.37,42.79,-43.33
90,1.40,9.74,4.31,-23.01,44.80,-58.04
100,1.13,9.48,3.98,-31.31,44.68,-70.74
110,0.85,9.25,4.11,-34.36,41.56,-91.43
120,0.20,8.12,4.34,-12.51,28.50,-99.67
130,-0.15,7.28,4.08,6.35,21.00,-105.16
140,-0.46,6.44,3.59,24.35,11.72,-107.85
150,-0.41,5.53,3.02,37.84,1.34,-107.73
160,-1.80,5.40,2.98,43.46,-14.28,-106.93
170,-0.61,3.66,2.47,48.40,-29.17,-104.43
180,-0.32,3.10,2.45,46.26,-36.44,-104.37
190,-0.44,2.66,2.41,42.85,-43.52,-106.32
200,-0.63,2.34,2.40,37.84,-50.48,-108.40
210,-0.59,2.04,2.48,31.74,-57.19,-109.44
220,-0.46,1.78,3.34,19.90,-74.46,-113.71
230,-0.36,1.07,3.95,16.78,-83.07,-118.04
240,-0.37,0.64,4.44,15.56,-90.27,-121.46
250,-0.24,0.13,4.79,15.99,-96.80,-123.54
260,-0.01,-0.45,5.04,16.66,-103.70,-124.76
270,0.24,-1.20,5.27,1.22,-117.07,-125.55
280,0.35,-2.98,6.08,13.24,-123.60,-124.51
290,0.20,-4.03,6.78,11.66,-129.52,-122.92
300,-0.12,-5.13,7.36,13.00,-136.35,-120.48
310,-0.43,-6.34,8.01,15.44,-145.02,-115.30
320,-0.65,-7.64,8.81,17.52,-154.05,-97.29
330,-0.38,-10.52,10.74,22.46,-166.38,-84.41
340,-0.46,-11.65,11.46,24.17,-168.76,-68.18
350,-0.62,-12.23,11.98,23.86,-167.54,-46.63
360,-0.69,-12.33,12.38,20.14,-165.71,-19.53
370,-0.86,-11.72,13.43,11.66,-164.37,10.68
380,-1.18,-8.54,16.95,-7.63,-159.91,72.63
390,-0.68,-6.58,18.46,-10.74,-153.20,99.79
400,-0.02,-4.50,20.03,-8.24,-143.19,119.38
410,0.65,-2.46,21.27,0.12,-131.23,129.39
420,1.29,-1.01,21.55,11.23,-116.64,131.71
430,1.68,-0.01,21.49,13.85,-85.21,119.38
440,2.01,1.83,22.33,0.18,-68.18,108.40
450,2.10,2.70,23.28,-17.94,-48.95,94.91
460,1.97,3.30,24.15,-34.85,-26.37,79.22
470,1.68,3.68,24.70,-47.24,-1.10,64.03
