timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.53,7.93,4.27,-29.30,-7.51,-17.03
10,2.35,8.20,3.94,-28.02,-15.75,-11.72
20,3.23,7.85,3.82,-19.59,-22.03,-10.56
30,3.27,8.02,3.65,-13.98,-25.45,-9.95
40,3.40,8.16,3.61,-6.59,-24.35,-12.21
50,3.47,8.09,3.42,1.34,-22.64,-16.85
60,3.46,7.95,3.13,8.73,-21.48,-23.38
70,3.04,7.38,2.13,20.45,-22.58,-39.37
80,2.71,6.96,1.64,23.19,-25.33,-46.69
90,2.41,6.62,1.11,23.32,-28.99,-51.76
100,2.36,6.32,0.74,21.91,-34.00,-54.99
110,2.25,6.16,0.54,19.23,-40.28,-57.43
120,2.23,5.75,0.27,15.38,-54.26,-62.99
130,1.83,5.55,-0.01,14.40,-61.95,-66.47
140,1.58,5.09,-0.30,12.57,-69.95,-67.87
150,2.21,5.67,-0.62,10.13,-78.55,-67.99
160,1.57,4.19,-0.32,11.29,-90.03,-68.54
170,1.10,4.33,-0.71,6.35,-111.82,-58.78
180,1.33,3.46,0.17,11.29,-123.72,-53.28
190,1.77,3.10,0.79,18.98,-136.29,-48.65
200,1.36,2.68,1.52,30.03,-150.82,-39.25
210,1.13,2.14,2.12,40.47,-163.94,-29.66
220,0.79,1.54,2.79,49.74,-174.62,-13.98
230,-0.31,0.41,4.90,56.95,-194.76,-7.02
240,-0.69,0.07,6.46,52.80,-202.39,0.55
250,-1.02,-0.09,8.07,45.72,-205.51,9.28
260,-1.42,-0.08,9.80,37.48,-204.71,17.70
270,-1.80,0.00,11.67,29.48,-201.11,25.02
280,-2.62,0.42,15.64,17.46,-188.23,36.07
290,-2.87,0.68,17.35,14.22,-176.51,39.67
300,-3.21,0.97,18.73,12.94,-160.40,42.42
310,-3.40,1.24,19.59,13.24,-142.40,45.35
320,-3.36,1.43,19.76,14.22,-123.54,50.42
330,-3.23,1.65,19.62,15.20,-90.70,67.08
340,-2.43,1.82,19.09,15.38,-78.37,78.49
350,-1.56,1.79,18.71,14.59,-67.69,91.67
360,-1.15,2.11,18.12,11.60,-56.64,105.90
370,-1.14,2.81,17.55,4.82,-43.15,120.42
380,-1.43,4.08,16.97,-20.57,-10.74,151.31
390,-1.39,7.65,16.11,-25.21,5.00,166.26
400,-1.10,9.65,15.73,-30.88,19.23,176.88
410,-0.75,11.56,15.45,-32.04,29.42,181.46
420,-0.38,13.39,15.25,-28.26,36.50,178.04
430,-0.00,14.84,14.93,-21.73,42.66,151.86
440,0.40,16.86,14.31,-10.80,59.51,128.17
450,0.42,17.33,13.93,-6.04,70.50,101.07
460,0.20,17.51,13.55,-1.89,81.05,69.95
470,-0.26,17.39,13.15,1.53,89.23,37.35
480,-0.75,16.95,12.64,2.81,95.64,6.84
490,-1.26,15.58,11.48,-1.89,106.20,-40.28
500,-1.91,14.48,11.05,-6.41,109.99,-58.41
510,-2.15,13.61,10.69,-11.84,112.06,-74.10
520,-2.23,12.82,10.43,-16.97,114.56,-88.07
530,-2.17,12.12,10.22,-21.18,117.68,-101.01
540,-2.11,11.42,9.89,-18.01,125.49,-125.06
550,-1.96,9.80,8.70,-11.60,129.52,-135.07
560,-2.02,9.02,7.84,-4.39,132.02,-143.92
570,-1.96,8.28,6.93,2.14,133.06,-150.51
580,-1.96,7.57,5.93,7.26,133.00,-154.48
590,-1.94,7.00,4.91,10.13,126.34,-154.05
600,-1.39,6.08,3.45,10.13,120.61,-150.51
610,-0.92,5.60,2.91,8.97,113.53,-146.36
620,-0.51,5.16,2.52,8.36,104.68,-142.46
630,-0.20,4.73,2.22,7.39,95.28,-138.79
640,-0.05,4.32,1.88,6.59,85.88,-135.01
650,0.22,3.68,1.24,2.26,65.92,-126.28
660,0.45,3.41,1.10,-2.38,55.30,-120.79
670,0.74,3.09,1.09,-6.47,44.98,-114.75
680,1.04,2.68,1.18,-8.97,34.42,-108.58
690,1.24,2.29,1.28,-10.62,22.89,-101.62
700,1.52,1.91,1.87,-10.44,-0.31,-85.75
710,2.34,1.12,2.30,-8.85,-10.38,-77.94
720,2.77,0.71,2.85,-6.16,-19.41,-70.62
730,3.13,0.26,3.45,-2.75,-27.40,-62.99
740,3.42,-0.19,4.12,1.77,-34.30,-55.66
750,3.78,-0.58,5.04,10.31,-45.90,-40.22
760,4.03,-1.19,6.30,13.31,-49.26,-32.53
770,4.17,-1.23,7.10,14.89,-50.48,-24.66
780,4.18,-1.22,7.84,14.89,-49.50,-17.03
790,4.13,-1.12,8.47,14.47,-46.26,-9.70
800,4.03,-0.90,9.12,13.24,-41.63,1.89
810,3.83,-0.19,10.05,11.78,-33.26,6.77
820,3.69,0.32,10.24,10.19,-27.77,10.99
830,3.66,0.82,10.32,8.06,-21.36,15.32
840,3.75,1.34,10.32,6.41,-16.24,18.74
850,3.79,1.84,10.13,5.25,-12.02,21.18
860,3.93,2.78,9.64,3.97,-5.31,24.35
870,4.11,3.21,9.24,4.27,-3.23,24.78
880,4.17,3.55,8.84,5.13,-1.77,24.84
890,4.24,3.82,8.46,5.55,-0.43,24.72
900,4.25,4.08,8.12,5.37,0.79,24.66
910,4.25,4.35,7.80,3.72,2.69,24.17
920,4.41,4.82,7.44,2.50,2.62,23.56
930,4.46,4.96,7.34,2.20,2.20,21.73
940,4.43,5.07,7.24,1.65,1.89,19.10
950,4.40,5.15,7.21,0.67,1.77,16.60
960,4.39,5.21,7.20,0.43,1.46,11.84
970,4.28,5.21,7.22,0.00,0.67,9.89
980,4.18,5.23,7.25,-0.24,0.31,8.06
990,4.11,5.20,7.32,-0.73,0.18,6.65
