timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.72,3.73,7.82,19.41,11.23,8.79
10,3.24,3.56,6.81,9.83,13.55,0.37
20,3.29,4.12,6.75,5.07,5.98,-9.22
30,3.46,4.02,7.12,8.73,-2.38,-17.40
40,3.64,3.47,7.67,10.93,-9.64,-23.19
50,4.20,3.20,8.62,9.83,-9.03,-21.61
60,4.37,3.25,8.92,7.51,-5.98,-17.21
70,4.24,3.29,9.06,3.48,-2.81,-11.23
80,4.02,3.55,9.31,-2.01,0.92,-5.80
90,3.82,3.79,9.63,-7.63,4.82,-2.50
100,3.43,4.27,9.91,-21.30,9.89,-4.70
110,3.33,4.44,9.98,-28.69,12.15,-8.36
120,3.22,4.59,10.03,-36.32,14.04,-12.51
130,3.12,4.69,9.97,-42.79,15.38,-17.40
140,3.15,4.89,9.88,-47.42,16.78,-22.28
150,3.17,5.15,9.31,-51.88,21.06,-30.21
160,3.14,5.57,8.87,-51.33,24.84,-34.12
170,3.21,5.73,8.04,-49.13,28.63,-38.76
180,1.90,6.44,7.99,-43.95,24.66,-42.91
190,2.41,5.49,7.56,-37.78,27.10,-44.19
200,2.81,5.55,6.84,-37.29,34.24,-61.28
210,3.12,6.44,5.86,-37.48,34.97,-66.47
220,3.02,6.35,5.46,-37.17,32.53,-69.09
230,2.81,6.29,4.95,-38.15,25.70,-72.88
240,2.63,6.26,4.39,-40.10,17.09,-77.88
250,2.47,6.19,3.82,-41.26,7.93,-88.99
260,2.11,5.81,2.84,-34.73,-9.22,-95.21
270,1.83,5.39,2.53,-27.59,-17.40,-101.26
280,1.66,4.93,2.40,-19.78,-25.15,-107.30
290,1.50,4.37,2.37,-11.84,-33.45,-113.10
300,1.33,3.69,2.49,-4.76,-41.69,-117.98
310,1.23,2.19,3.02,9.16,-57.31,-124.76
320,1.23,1.41,3.40,14.77,-63.11,-126.10
330,1.30,0.65,3.76,19.71,-68.18,-125.67
340,1.39,0.04,4.05,23.32,-72.33,-123.54
350,1.44,-0.48,4.36,24.96,-75.07,-120.00
360,1.46,-1.03,4.69,23.74,-81.91,-109.56
370,1.38,-1.90,5.09,20.20,-86.12,-103.27
380,1.30,-2.38,5.48,16.24,-90.64,-96.86
390,1.27,-2.86,5.86,12.57,-96.68,-90.70
400,1.19,-3.21,6.09,8.54,-102.42,-84.59
410,1.31,-4.03,6.67,5.92,-114.07,-69.34
420,1.62,-5.04,7.44,2.20,-117.37,-61.58
430,1.92,-5.08,7.67,-2.32,-118.71,-51.15
440,2.06,-5.14,7.98,-6.53,-119.81,-37.66
450,1.85,-5.53,8.62,-7.45,-121.95,-22.83
460,1.63,-6.03,9.46,-6.23,-125.37,-8.97
470,1.59,-6.10,11.21,-6.84,-129.27,13.24
480,1.50,-5.57,12.16,-10.31,-131.77,26.49
490,1.20,-5.10,12.93,-14.65,-135.93,41.81
500,0.20,-5.25,12.75,-19.96,-138.18,56.70
510,0.44,-4.64,14.66,-29.17,-131.77,69.09
520,0.96,-4.15,16.49,-24.23,-123.41,81.67
530,1.19,-3.62,18.24,-20.20,-119.02,88.26
540,0.61,-3.26,18.08,-12.08,-118.04,94.60
550,0.59,-3.11,18.21,-7.63,-109.56,104.43
560,0.64,-2.78,18.41,-4.64,-90.58,113.34
570,0.58,-2.12,18.37,4.82,-56.58,128.54
580,0.31,-0.72,17.80,10.01,-46.45,136.78
590,0.04,-0.15,17.72,9.22,-36.87,143.68
600,-0.02,0.57,17.90,1.46,-28.81,147.09
610,-0.11,1.44,17.85,-10.74,-25.63,147.77
620,-0.27,2.48,17.32,-24.11,-26.43,144.84
630,-0.71,4.67,16.73,-44.01,-24.96,141.78
640,-1.15,5.43,16.38,-42.60,-26.92,134.83
650,-1.37,6.18,15.98,-32.71,-28.50,126.22
660,-1.54,6.79,15.68,-16.05,-23.62,117.55
670,-1.48,7.35,15.99,5.13,-11.17,110.05
680,-1.71,7.94,17.33,40.83,29.54,98.45
690,-1.98,7.97,17.46,46.63,51.94,93.44
700,-2.30,8.09,16.81,45.17,72.57,86.61
710,-2.62,8.10,15.88,40.65,90.64,77.94
720,-2.63,8.17,14.94,36.25,105.35,66.77
730,-2.46,8.26,14.05,29.60,121.52,39.55
740,-1.96,8.18,12.98,24.84,125.43,26.49
750,-1.83,7.76,12.15,18.43,125.49,13.37
760,-1.66,7.46,11.06,10.62,124.63,0.18
770,-1.42,7.32,10.01,6.53,122.44,-11.47
780,-0.95,7.19,9.42,7.57,115.54,-30.88
790,-0.25,6.76,8.46,14.47,114.50,-37.35
800,-0.15,6.63,8.15,14.47,114.81,-41.50
810,-0.05,6.59,8.34,12.63,114.01,-44.49
820,-0.29,6.31,7.93,8.36,108.70,-47.42
830,-0.50,6.26,7.24,-2.32,102.97,-52.43
840,-0.26,6.34,6.49,-25.39,102.42,-71.17
850,-0.15,6.08,5.64,-28.87,97.53,-82.34
860,0.01,5.96,4.87,-27.04,91.61,-93.81
870,0.29,5.74,4.36,-18.86,85.69,-103.27
880,0.58,5.49,4.15,-8.54,80.87,-110.23
890,0.79,4.80,4.07,5.92,72.51,-119.75
900,1.10,4.17,4.07,10.19,68.30,-123.29
910,1.09,3.58,3.99,12.94,63.54,-125.49
920,1.02,2.97,4.07,14.53,57.50,-126.89
