timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.01,8.58,7.29,-18.19,1.22,79.77
10,3.09,8.73,6.22,-20.87,-0.24,82.64
20,3.59,9.48,6.97,-26.49,-8.12,79.16
30,3.42,10.74,7.49,-26.06,-7.39,65.19
40,3.67,11.20,7.35,-16.72,2.26,47.73
50,3.60,11.13,6.48,-6.65,14.71,6.16
60,3.07,10.55,4.76,2.81,18.19,-13.37
70,2.81,10.11,4.15,2.14,19.65,-31.37
80,2.59,9.66,3.74,0.43,19.23,-47.00
90,2.45,9.16,3.55,-0.24,16.91,-60.12
100,2.29,8.65,3.39,1.28,13.00,-71.59
110,2.21,7.33,3.31,11.96,2.81,-90.82
120,2.31,6.62,3.23,18.68,-2.69,-98.94
130,2.21,5.95,3.02,25.57,-8.73,-106.81
140,2.12,5.26,2.79,31.13,-15.93,-113.95
150,1.99,4.54,2.60,34.61,-23.62,-119.45
160,1.75,3.87,2.57,34.61,-41.32,-126.83
170,1.35,1.07,3.55,34.97,-53.10,-129.58
180,0.74,1.75,2.91,31.49,-64.94,-132.02
190,0.59,0.53,3.00,31.37,-67.02,-128.05
200,0.45,-0.33,3.26,31.43,-76.05,-122.74
210,0.41,-1.41,3.49,29.97,-99.67,-112.61
220,0.19,-3.35,3.91,29.66,-109.01,-106.69
230,0.25,-4.39,3.78,28.20,-115.91,-100.22
240,0.30,-5.33,3.55,24.05,-120.97,-94.36
250,0.16,-6.11,3.61,16.60,-125.49,-89.11
260,0.01,-6.57,3.93,7.93,-129.82,-74.10
270,0.20,-7.31,5.15,-6.84,-140.75,-61.95
280,0.30,-7.46,6.02,-10.25,-146.85,-48.03
290,0.25,-7.59,6.87,-9.09,-153.32,-32.96
300,-0.32,-7.62,7.44,-5.55,-161.07,-18.49
310,-0.46,-7.34,8.17,-4.70,-169.07,-4.46
320,-0.38,-7.04,10.23,-7.81,-187.87,25.21
330,-0.34,-6.43,11.63,-13.37,-194.64,36.74
340,-0.35,-5.41,13.20,-20.02,-195.13,47.36
350,-0.33,-4.47,14.67,-25.45,-192.69,57.86
360,-0.17,-3.49,16.24,-29.72,-187.19,66.77
370,-0.03,-2.58,17.72,-35.22,-168.33,76.48
380,0.40,-0.40,20.93,-36.50,-153.75,76.90
390,0.64,0.65,22.58,-35.22,-136.29,75.01
400,0.84,1.64,24.12,-30.09,-118.10,71.23
410,0.96,2.35,25.49,-19.53,-100.04,65.31
420,0.79,2.89,26.60,-3.97,-64.39,50.05
430,0.44,3.00,27.02,26.00,-44.01,44.43
440,0.16,2.91,26.60,32.35,-20.81,40.53
450,-0.12,2.91,25.91,31.31,3.66,37.41
460,-0.36,3.05,24.92,24.60,29.66,35.10
470,-0.50,3.25,23.85,15.81,56.40,32.65
480,-0.20,3.63,21.32,1.59,102.54,23.56
490,-0.34,3.69,19.71,-1.53,120.48,15.32
500,-0.41,3.67,18.02,-2.01,137.82,6.47
510,-0.36,3.44,16.38,-1.89,152.95,-1.65
520,-0.49,3.32,14.84,-1.22,164.55,-10.13
530,-0.71,3.40,12.22,3.36,174.13,-25.33
540,-0.77,3.39,11.06,6.77,172.00,-31.19
550,-0.79,3.22,9.86,10.31,169.98,-37.05
560,-0.88,3.18,8.81,12.02,167.91,-43.52
570,-0.81,3.12,7.87,11.90,164.98,-49.26
580,-1.05,3.09,7.04,7.32,159.30,-57.37
590,-0.69,3.17,5.75,3.85,157.65,-59.81
600,-0.52,3.25,5.22,0.00,153.93,-62.26
610,-0.39,3.35,4.99,-3.17,148.44,-65.19
620,-0.16,3.45,4.88,-4.70,141.60,-67.69
630,-0.01,3.51,4.52,-3.17,134.58,-72.27
640,0.47,3.70,3.98,0.37,116.64,-75.20
650,0.72,3.51,3.83,1.46,105.41,-78.25
660,0.99,3.30,3.83,1.65,96.13,-81.60
670,1.23,2.97,3.73,1.83,88.75,-84.66
680,1.49,2.61,3.51,2.56,82.52,-86.79
690,2.10,1.59,3.33,5.55,66.35,-91.43
700,2.31,0.94,3.24,7.45,55.97,-93.26
710,2.44,0.24,3.21,8.73,46.08,-94.18
720,2.56,-0.52,3.15,9.40,37.60,-94.06
730,2.74,-1.43,3.21,9.22,29.85,-92.59
740,2.80,-2.45,3.12,3.66,14.22,-84.78
750,2.94,-4.18,3.77,-2.81,6.23,-76.11
760,3.14,-4.83,4.56,-6.96,-2.26,-65.25
770,3.35,-5.20,5.53,-7.75,-10.50,-54.38
780,3.62,-5.31,6.63,-4.03,-17.82,-44.25
790,3.96,-5.43,7.52,4.27,-24.60,-28.93
800,4.47,-5.44,8.46,25.70,-23.99,-24.72
810,4.29,-5.38,8.28,33.51,-20.81,-21.79
820,4.22,-5.23,8.20,35.16,-17.33,-18.37
830,4.29,-5.02,8.31,31.07,-15.56,-14.40
840,4.30,-4.73,8.60,24.48,-14.10,-11.41
850,4.24,-4.01,9.11,11.29,-8.06,-6.90
860,4.25,-3.65,9.20,6.90,-4.94,-5.00
