timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.25,8.75,4.26,59.88,34.79,18.68
10,1.62,7.61,4.24,60.79,44.31,13.73
20,2.64,9.25,4.68,52.00,48.28,8.85
30,2.46,9.32,4.44,49.07,39.49,7.02
40,1.48,9.43,4.55,31.13,31.62,1.59
50,1.63,9.98,4.36,20.39,25.88,-6.47
60,1.09,10.05,4.12,12.45,19.65,-15.50
70,0.81,10.06,4.13,4.82,15.56,-26.79
80,0.77,10.27,4.05,-4.64,13.43,-39.61
90,0.69,10.43,3.49,-21.12,13.18,-65.37
100,0.59,9.96,2.95,-23.50,9.46,-74.95
110,0.54,9.59,2.46,-21.97,2.62,-82.95
120,0.64,9.08,2.09,-18.01,-5.13,-88.81
130,0.57,8.47,1.90,-13.61,-12.76,-93.51
140,0.50,7.85,1.82,-5.68,-28.87,-103.09
150,0.67,6.34,2.03,-1.10,-38.27,-107.79
160,1.17,6.87,3.34,5.00,-52.31,-110.84
170,0.09,4.17,2.61,16.54,-68.48,-109.56
180,0.54,2.91,3.61,15.14,-61.71,-109.68
190,0.90,2.00,4.04,15.20,-72.69,-114.14
200,1.71,0.58,4.56,8.97,-76.17,-110.84
210,1.92,-0.07,4.74,8.12,-78.80,-104.31
220,2.10,-0.69,4.79,9.03,-81.60,-95.34
230,2.32,-1.19,4.68,11.41,-84.66,-86.55
240,2.59,-1.35,4.33,14.16,-87.34,-77.39
250,2.69,-1.99,3.86,19.41,-91.43,-53.96
260,2.69,-2.15,3.86,19.10,-94.24,-42.36
270,2.60,-2.28,4.08,15.81,-99.30,-29.66
280,2.38,-2.33,4.32,10.62,-106.93,-16.42
290,2.29,-2.26,4.83,4.46,-113.95,-4.70
300,2.15,-2.20,6.50,0.06,-130.19,12.63
310,1.75,-2.08,7.46,-1.10,-138.98,21.06
320,1.70,-1.68,8.79,-4.27,-145.45,30.82
330,1.74,-1.16,10.18,-7.32,-151.06,42.11
340,1.88,-0.54,11.64,-10.50,-155.58,53.28
350,1.79,0.29,12.85,-18.43,-153.32,69.89
360,1.57,1.94,14.69,-21.24,-143.55,74.16
370,1.74,2.61,15.73,-21.79,-130.98,74.34
380,2.30,2.94,17.46,-18.68,-122.92,73.18
390,2.05,2.82,17.60,-14.40,-128.17,71.17
400,1.79,3.93,17.71,-20.14,-110.41,69.40
410,1.40,4.35,19.67,-17.27,-89.54,67.81
420,1.95,4.23,21.03,-9.16,-65.67,59.63
430,2.82,4.26,21.85,-3.05,-44.62,53.34
440,3.47,4.65,22.02,-6.04,-25.51,55.11
450,3.56,5.11,21.41,-15.08,-9.58,63.11
460,2.73,6.02,19.57,-32.41,16.85,76.72
470,2.52,6.74,18.51,-40.41,28.81,79.04
480,2.26,7.53,17.38,-45.53,38.70,79.35
490,2.02,8.57,16.25,-47.12,47.61,77.82
500,1.61,9.52,15.14,-44.62,56.21,74.52
510,0.86,10.11,14.16,-29.85,74.89,61.40
520,-0.26,10.69,12.64,-22.83,83.74,51.09
530,-0.50,11.26,11.98,-17.94,89.72,38.21
540,-0.48,11.63,11.31,-13.73,92.77,24.66
550,-0.49,11.91,10.70,-10.56,92.59,10.74
560,-0.28,12.08,10.03,-10.25,89.54,-12.15
570,-0.57,11.91,9.17,-12.02,88.93,-22.64
580,-0.66,11.90,8.59,-13.37,88.56,-32.90
590,-0.68,11.83,8.03,-12.70,88.87,-42.24
600,-0.80,11.52,7.62,-10.31,90.33,-51.21
610,-0.98,11.03,7.28,-6.29,92.10,-70.68
620,-1.13,9.95,6.39,0.00,95.28,-80.02
630,-1.06,9.43,6.10,0.85,96.01,-87.71
640,-0.97,8.86,5.87,-1.34,94.67,-94.48
650,-0.88,8.43,5.38,-8.18,90.70,-100.52
660,-0.72,8.00,4.95,-19.41,86.06,-106.08
670,-0.54,7.00,3.81,-40.04,70.98,-117.37
680,-0.20,6.54,3.00,-42.97,61.95,-122.13
690,0.03,6.04,2.38,-39.79,54.81,-125.37
700,0.40,5.44,2.08,-33.87,50.96,-126.53
710,0.73,4.93,1.78,-27.22,47.36,-126.40
720,0.95,4.34,1.45,-13.37,40.47,-124.94
730,1.52,2.52,1.13,-6.96,37.05,-124.21
740,2.00,1.65,0.97,-1.28,32.29,-122.07
750,2.47,0.99,1.02,4.39,26.12,-117.92
760,2.75,0.28,1.41,9.46,17.88,-111.82
770,2.88,-0.55,2.08,13.55,-2.14,-98.75
780,3.51,-2.12,3.79,15.20,-9.77,-92.41
790,3.81,-2.60,4.61,10.99,-16.36,-83.62
800,3.96,-2.83,5.38,4.94,-21.79,-71.96
810,3.93,-2.87,6.24,-1.46,-26.00,-58.11
820,3.88,-2.71,7.04,-7.08,-28.69,-43.46
830,3.68,-1.59,8.25,-15.56,-30.76,-19.29
