timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.08,7.25,7.03,-34.85,7.75,21.61
10,3.87,7.78,6.43,-33.94,7.63,15.99
20,3.43,7.66,6.79,-28.02,6.84,7.08
30,3.29,7.48,6.61,-18.92,5.98,-3.11
40,3.06,7.14,6.06,-1.34,4.88,-19.78
50,2.96,6.92,5.43,6.53,4.46,-28.63
60,2.78,6.57,4.95,12.27,2.62,-36.93
70,2.68,6.28,4.74,14.95,-1.04,-45.23
80,2.58,5.87,4.58,15.99,-5.68,-53.22
90,2.28,5.30,4.32,15.08,-14.59,-67.99
100,1.80,4.52,4.16,11.90,-19.78,-72.14
110,1.66,4.24,4.24,10.13,-25.15,-75.44
120,1.60,3.88,4.33,9.77,-31.19,-78.86
130,1.53,3.48,4.32,10.19,-38.27,-81.91
140,1.54,3.03,4.24,10.74,-50.29,-85.21
150,1.75,1.87,4.48,11.96,-57.31,-86.91
160,1.72,1.87,4.04,9.22,-61.77,-84.90
170,1.30,1.62,4.35,8.73,-69.95,-86.06
180,1.28,1.09,4.27,9.28,-76.23,-88.20
190,0.99,0.65,4.33,8.85,-83.44,-88.44
200,0.94,-0.12,4.78,4.52,-95.46,-85.94
210,0.91,-0.69,5.10,3.66,-102.29,-84.96
220,0.71,-1.26,5.49,3.60,-108.76,-84.29
230,0.45,-1.93,5.94,4.09,-114.38,-82.52
240,0.29,-2.74,6.45,5.13,-120.30,-79.16
250,0.14,-3.39,7.55,5.37,-131.84,-66.53
260,0.49,-4.58,7.86,5.68,-135.86,-58.35
270,0.77,-5.32,8.36,6.90,-139.47,-50.90
280,0.73,-6.15,8.73,9.52,-142.21,-45.17
290,0.47,-7.07,9.05,11.78,-143.80,-39.98
300,0.17,-7.97,9.36,6.53,-148.32,-23.68
310,-0.15,-8.87,10.22,-2.38,-150.45,-9.83
320,-0.08,-8.66,11.00,-14.22,-151.73,7.93
330,0.18,-8.16,12.09,-25.63,-152.34,28.44
340,0.34,-7.43,13.12,-31.49,-152.59,48.40
