timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.46,4.54,8.36,-21.12,-13.67,77.70
10,4.30,6.39,8.22,-19.29,-7.08,68.79
20,3.43,7.78,8.37,-20.75,-8.12,57.25
30,3.15,8.28,8.13,-18.98,-6.77,44.74
40,3.33,8.83,8.14,-15.87,-3.23,33.69
50,2.98,9.45,8.01,-12.94,0.85,20.51
60,2.63,10.07,7.47,-10.01,9.03,-5.80
70,2.37,10.02,6.80,-7.26,14.47,-19.47
80,2.38,9.68,6.16,-5.86,18.49,-34.18
90,2.25,9.10,5.69,-6.59,19.84,-48.89
100,2.14,8.46,5.39,-6.77,19.90,-62.13
110,1.99,6.83,4.51,0.61,19.23,-82.46
120,1.66,6.36,3.75,6.96,15.81,-89.66
130,1.39,5.28,4.22,13.61,8.12,-95.83
140,1.69,5.14,2.36,17.15,-0.43,-101.26
150,1.48,3.99,2.87,24.23,1.04,-100.34
160,1.06,3.00,1.93,31.49,-8.42,-109.99
170,1.32,0.37,1.13,24.29,-29.36,-113.53
180,0.64,-0.58,1.57,14.22,-58.23,-113.53
190,0.41,-1.91,2.24,12.33,-80.14,-111.02
200,0.55,-3.74,2.62,19.96,-92.16,-107.48
210,0.48,-5.55,2.77,31.13,-99.49,-95.95
220,0.80,-9.09,2.74,38.15,-114.07,-86.79
230,0.85,-10.55,2.78,30.94,-122.25,-76.60
240,0.73,-11.63,3.24,14.95,-128.48,-63.96
250,0.94,-12.15,4.53,-5.98,-134.22,-48.40
260,0.15,-12.09,6.15,-25.57,-142.52,-29.05
270,0.23,-10.95,10.81,-42.54,-159.12,20.08
280,0.08,-10.01,12.98,-34.91,-167.66,45.78
290,0.04,-8.85,15.81,-22.95,-173.22,69.95
300,-0.37,-7.54,18.41,-5.86,-173.28,89.90
310,-0.75,-6.37,20.68,15.99,-165.10,106.38
320,-0.55,-5.25,22.48,41.99,-132.87,127.50
330,0.49,-2.66,24.83,38.82,-109.99,127.69
340,0.87,-1.05,25.24,27.22,-84.35,122.19
350,1.23,0.38,25.49,12.15,-59.20,113.16
360,2.27,1.60,25.97,-4.88,-39.18,99.55
370,1.84,3.45,26.21,-37.23,5.86,80.87
380,1.73,7.74,26.76,-35.40,34.12,74.16
390,2.12,9.98,25.52,-26.31,65.00,67.50
400,2.51,11.03,23.74,-9.03,90.70,54.99
410,2.62,11.41,21.77,8.00,105.96,36.74
420,2.47,11.53,19.20,19.71,115.23,-15.32
430,2.45,9.61,15.37,27.10,127.69,-25.76
440,1.87,8.55,13.54,23.80,133.67,-48.22
450,1.46,7.54,12.07,19.23,142.52,-66.04
460,1.06,6.39,10.52,14.89,148.62,-80.75
470,0.60,5.34,8.86,10.25,153.08,-93.44
480,0.49,3.93,6.28,-4.21,156.68,-106.45
490,0.67,3.57,5.39,-8.06,151.55,-108.15
500,0.91,3.36,4.58,-9.28,141.24,-105.77
510,1.05,3.46,3.70,-8.24,129.70,-101.44
520,1.03,3.54,2.95,-6.90,117.80,-95.89
530,1.06,3.39,2.20,-2.62,86.36,-83.80
540,2.00,2.55,2.15,1.71,68.85,-81.24
550,2.12,1.81,2.29,10.13,53.04,-82.15
560,2.01,0.78,2.13,21.36,39.18,-84.47
570,1.87,-0.62,1.73,29.91,27.10,-85.21
580,1.64,-2.31,1.65,33.02,4.21,-80.20
590,1.14,-5.67,2.26,21.67,-3.30,-73.91
600,0.88,-6.71,3.56,8.48,-3.54,-64.58
610,1.31,-7.56,5.70,-3.17,-2.69,-51.94
620,0.20,-7.64,6.48,-5.80,-7.75,-40.95
630,0.19,-7.58,7.42,-4.39,-10.13,-28.87
640,1.27,-7.04,8.23,-0.79,-3.54,-5.74
650,1.60,-6.33,8.28,-2.81,0.49,-0.12
660,1.97,-5.52,8.42,-6.90,3.36,4.76
670,2.39,-4.66,8.52,-11.35,4.46,9.22
680,2.83,-3.71,8.72,-14.22,5.00,12.88
690,3.21,-2.74,8.82,-10.25,4.82,18.37
700,4.07,-1.19,8.66,-5.43,2.26,20.75
710,4.37,-0.43,8.52,-1.65,-0.61,21.55
720,4.87,0.15,8.57,1.53,-1.95,20.51
730,5.07,0.57,8.46,4.21,-2.44,17.21
740,5.14,0.81,8.34,6.23,-1.10,8.61
750,5.18,0.92,8.28,5.80,-0.37,5.43
760,5.23,0.87,8.23,5.55,0.98,3.11
770,5.09,0.77,8.14,5.37,2.75,0.85
780,4.92,0.72,8.13,4.27,3.72,-0.92
790,4.88,0.64,8.24,3.85,2.50,-2.81
800,4.64,0.28,8.47,8.54,-3.91,-4.15
810,4.54,0.02,8.48,11.05,-5.98,-5.80
820,4.38,-0.30,8.38,11.54,-6.29,-7.32
830,4.27,-0.58,8.45,9.40,-4.46,-8.12
840,4.14,-0.79,8.54,7.08,-2.20,-8.79
850,3.98,-1.05,9.02,4.46,-2.81,-8.67
860,3.63,-1.21,9.19,4.52,-3.36,-6.96
870,3.54,-1.30,9.34,4.88,-3.23,-4.94
880,3.50,-1.20,9.39,5.13,-2.08,-2.69
890,3.52,-1.11,9.28,5.62,-1.04,-0.85
900,3.55,-0.97,9.09,3.78,-0.43,1.89
910,3.99,-0.57,9.02,1.71,-1.04,2.26
920,4.20,-0.41,9.12,1.16,-2.01,1.40
930,4.29,-0.33,9.12,1.71,-2.38,-0.43
940,4.37,-0.41,9.02,3.36,-2.08,-1.83
