timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,4.68,13.67,5.07,-123.23,22.40,46.02
10,4.04,14.81,4.21,-104.74,3.48,22.89
20,4.30,14.80,3.70,-80.75,-10.07,1.10
30,4.34,14.41,2.73,-52.92,-19.17,-17.21
40,4.31,13.63,2.14,-26.49,-19.10,-31.92
50,4.20,13.18,1.41,-8.00,-19.90,-50.05
60,3.95,12.51,0.60,16.17,-29.17,-85.88
70,3.20,11.11,-0.34,19.04,-36.07,-103.21
80,2.63,10.21,-0.66,17.94,-42.48,-120.30
90,2.07,9.25,-0.78,12.51,-50.05,-137.27
100,1.52,8.09,-0.79,4.27,-60.49,-154.72
110,0.65,6.59,-0.95,-23.62,-83.74,-186.04
120,-0.97,4.09,-0.10,-50.23,-94.79,-195.92
130,-1.71,2.89,0.86,-70.86,-106.87,-200.68
140,-2.22,1.93,0.89,-85.94,-119.81,-200.38
150,-2.87,0.01,3.37,-94.18,-134.83,-195.56
160,-3.10,-0.76,4.52,-99.06,-144.71,-180.30
170,-2.62,-4.06,7.32,-82.03,-173.03,-139.71
180,-2.29,-6.18,8.68,-64.09,-184.75,-115.84
190,-1.89,-8.39,9.89,-46.63,-197.27,-87.83
200,-1.57,-10.48,11.03,-29.48,-207.58,-57.01
210,-1.76,-12.00,12.36,-15.44,-212.46,-26.31
220,-2.18,-12.89,15.75,-1.28,-203.37,43.52
230,-3.03,-11.95,17.83,2.99,-192.20,86.98
240,-3.06,-10.21,19.76,10.38,-178.47,131.65
250,-2.87,-7.83,21.43,21.79,-163.33,173.95
260,-2.62,-5.20,22.70,37.05,-145.57,209.59
270,-2.19,-2.32,23.41,64.82,-104.06,251.34
280,-0.59,3.72,23.52,72.33,-80.08,257.93
290,0.86,6.35,23.37,76.78,-57.98,254.33
300,2.20,8.25,22.96,80.08,-39.55,240.60
310,3.27,9.42,22.50,81.36,-24.05,218.02
320,3.79,10.17,21.87,77.64,5.98,161.80
330,3.50,11.56,20.86,47.67,24.41,135.19
340,3.38,12.42,20.60,26.86,45.47,111.33
350,3.45,13.04,20.17,8.85,67.50,88.44
360,3.43,13.39,19.69,-3.23,90.27,64.70
370,3.31,13.69,19.10,-10.25,114.50,40.95
380,3.03,13.38,16.88,-7.20,158.63,-2.20
390,2.90,12.76,15.29,0.43,172.91,-21.79
400,2.66,11.91,13.58,7.69,180.24,-40.89
410,2.43,11.10,11.99,12.70,183.11,-58.72
420,2.37,10.24,10.37,14.95,183.65,-76.05
430,2.28,9.43,9.08,14.34,177.06,-111.82
440,2.02,8.25,7.48,12.39,171.45,-130.25
450,1.80,7.83,7.00,11.11,167.85,-148.80
460,1.44,7.21,6.26,10.68,166.56,-166.75
470,0.88,6.40,5.43,11.17,167.30,-182.43
480,0.32,5.59,4.39,10.68,158.45,-196.78
490,-0.10,3.83,2.10,5.43,147.09,-194.46
500,0.08,3.06,1.01,0.24,130.92,-188.23
510,0.38,2.06,-0.24,-4.46,111.21,-180.42
520,0.60,0.81,-1.38,-12.02,89.78,-171.81
