timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.76,3.36,7.81,52.37,40.47,19.90
10,2.02,2.93,7.25,48.28,42.72,8.97
20,2.72,3.15,7.51,21.91,33.87,-6.77
30,2.86,2.83,7.55,20.63,28.69,-9.16
40,2.77,3.07,7.27,12.08,26.18,-9.09
50,2.65,3.38,6.92,7.87,27.34,-8.30
60,2.42,3.81,6.52,7.39,30.46,-8.06
70,2.18,4.22,6.29,9.28,32.90,-9.46
80,1.53,5.00,5.86,15.38,32.47,-19.04
90,1.29,5.21,5.66,20.20,31.01,-26.79
100,1.16,5.21,5.36,25.76,29.11,-36.25
110,1.18,5.16,5.20,31.49,27.83,-46.81
120,1.24,5.03,5.18,35.89,26.00,-56.09
130,1.23,4.61,5.01,36.93,18.74,-68.79
140,0.87,4.56,4.90,34.61,13.73,-74.58
150,0.47,4.27,4.50,30.76,7.93,-81.73
160,0.59,3.31,2.39,26.31,1.40,-90.88
170,-0.21,3.75,4.78,21.42,-8.79,-100.46
180,-0.09,3.20,4.28,0.12,-22.16,-125.12
190,-0.69,2.14,4.28,-10.13,-31.01,-135.31
200,-0.95,1.65,4.32,-21.12,-41.02,-145.02
210,-1.13,1.05,4.10,-28.38,-51.82,-154.85
220,-1.05,0.46,4.21,-30.82,-60.91,-162.96
230,-0.95,-0.36,4.37,-28.87,-67.44,-171.26
240,-1.03,-2.26,4.57,-20.94,-79.16,-170.65
250,-1.00,-3.33,4.82,-13.43,-85.88,-168.40
260,-0.79,-4.35,5.29,-5.74,-92.59,-163.88
270,-0.80,-5.30,5.37,0.67,-97.35,-156.37
280,-0.53,-5.57,6.25,2.50,-97.78,-146.48
290,-1.37,-6.92,6.78,7.20,-104.68,-124.15
300,-1.60,-7.88,7.43,11.66,-106.81,-119.81
310,-1.54,-9.08,8.23,15.56,-106.87,-120.30
320,-1.64,-10.32,9.21,16.66,-109.56,-121.22
330,-1.62,-11.64,10.19,12.82,-112.73,-120.61
340,-1.47,-13.08,13.02,3.30,-117.00,-113.10
350,-0.97,-15.62,12.32,0.49,-124.88,-106.81
360,-0.91,-16.09,12.56,-4.94,-125.98,-95.70
370,-0.86,-16.96,13.27,-3.17,-116.03,-76.54
380,-0.49,-17.76,14.10,9.58,-109.19,-53.41
390,-0.74,-17.79,14.22,44.19,-99.12,-7.02
400,-0.68,-16.91,16.02,52.55,-91.74,18.62
410,-0.68,-15.86,17.35,44.98,-83.74,43.21
420,-0.51,-14.55,19.13,21.42,-74.58,64.58
430,-0.46,-12.78,20.30,-13.12,-69.27,81.24
440,-0.73,-10.88,20.71,-51.57,-66.04,101.62
450,-1.42,-6.51,22.20,-113.65,-42.91,106.93
460,-0.63,-4.32,22.97,-136.29,-24.17,103.09
470,-0.92,-1.82,21.95,-149.90,-17.21,100.28
480,-2.70,1.16,21.35,-147.22,-12.63,101.93
490,-3.05,3.12,21.34,-118.77,0.61,102.17
500,-2.89,6.29,20.73,-36.74,49.80,81.67
510,-2.47,6.97,20.43,-4.94,77.51,68.91
520,-2.24,7.01,19.68,18.25,96.74,55.36
530,-1.76,6.94,18.90,27.95,112.37,40.77
540,-1.62,6.50,17.08,27.34,124.63,25.39
550,-1.14,6.02,15.76,6.16,150.39,-8.42
560,0.06,5.04,12.50,-2.62,155.52,-23.62
570,0.47,4.53,11.01,-5.07,155.88,-34.55
580,0.71,3.95,9.99,-0.24,154.24,-41.38
590,0.94,3.23,9.16,11.05,151.73,-44.19
600,0.99,2.40,8.43,24.60,152.22,-40.89
610,1.17,1.16,7.19,40.83,151.61,-37.05
620,1.06,0.67,6.26,42.66,147.64,-33.08
630,1.08,0.55,5.64,40.77,141.30,-29.72
640,0.97,0.25,5.18,39.25,132.08,-27.04
650,0.69,-0.22,4.57,35.83,124.21,-26.79
660,0.54,-0.94,3.48,21.61,107.73,-32.90
670,0.56,-1.23,2.93,13.24,97.35,-37.35
680,0.46,-1.52,2.20,3.85,88.99,-42.72
690,0.27,-1.76,1.60,-6.65,83.25,-49.62
700,0.35,-1.79,1.16,-13.92,74.95,-56.46
710,0.53,-1.95,0.81,-18.13,52.55,-66.96
720,0.48,-2.34,0.79,-17.82,42.30,-70.56
730,0.48,-2.64,0.97,-15.81,32.71,-72.39
740,0.37,-2.99,1.34,-13.37,24.17,-72.69
750,0.28,-3.32,1.90,-10.68,15.50,-71.47
760,0.33,-3.49,2.54,-5.98,0.49,-63.17
770,0.28,-3.87,4.09,-2.81,-1.89,-57.01
780,0.18,-4.02,4.90,-1.46,-2.93,-50.72
790,0.54,-3.78,6.57,-1.22,-4.33,-44.68
800,0.10,-4.16,6.26,2.81,-9.89,-37.54
810,0.11,-4.26,7.23,3.85,-10.68,-26.06
820,-0.04,-4.41,8.13,-2.01,-2.38,-23.13
830,0.29,-4.31,8.55,-4.15,0.00,-22.40
840,0.89,-4.20,8.85,-4.09,-1.89,-22.16
850,1.30,-4.22,9.07,-2.56,-3.91,-21.67
860,1.64,-4.38,9.32,-0.31,-3.78,-20.94
870,2.34,-4.69,9.70,-0.55,-2.50,-17.58
880,2.56,-4.80,9.73,-4.64,-2.56,-15.63
890,2.77,-4.81,9.72,-9.22,-3.60,-14.47
900,3.04,-4.84,9.75,-11.78,-5.49,-13.49
910,3.25,-4.84,9.78,-13.24,-6.47,-11.66
920,3.32,-4.85,9.80,-13.92,-5.37,-6.90
930,3.50,-4.59,9.81,-12.63,-5.00,-4.46
