timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.72,5.75,16.23,-6.84,-148.13,165.65
10,4.44,8.06,18.36,-10.07,-127.69,157.47
20,4.42,9.67,21.31,-9.40,-104.92,139.89
30,2.80,11.11,22.77,-5.86,-87.71,111.27
40,1.85,10.97,24.84,-0.37,-44.74,53.89
50,1.34,10.91,25.01,-3.78,-18.68,30.03
60,0.70,10.88,24.21,-6.90,9.22,10.74
70,0.34,10.97,22.84,-8.85,33.75,-3.36
80,0.14,11.36,21.17,-9.52,53.53,-14.47
90,-0.06,11.83,19.41,1.89,80.87,-34.48
100,-0.08,12.11,14.75,13.92,87.65,-45.65
110,0.02,11.42,12.02,26.25,91.92,-57.92
120,0.27,10.40,9.45,35.83,94.06,-71.96
130,0.35,9.31,6.89,40.34,92.96,-86.67
140,1.82,7.78,5.48,39.06,70.50,-117.49
150,0.25,5.62,2.05,30.58,68.54,-129.70
160,0.47,4.28,0.67,25.27,63.29,-139.65
170,-0.08,3.09,-0.57,15.20,53.53,-149.54
180,-0.20,2.03,-1.24,2.99,42.91,-155.64
190,-0.53,1.08,-1.82,-8.97,30.15,-158.81
200,-1.54,-1.09,-2.76,-27.28,4.15,-161.44
210,-2.41,-2.15,-2.68,-33.14,-10.80,-158.33
220,-2.80,-3.33,-2.20,-33.20,-29.79,-150.39
230,-3.00,-4.55,-1.68,-26.31,-51.45,-138.49
240,-3.20,-5.63,-1.13,-16.42,-72.75,-124.82
250,-3.26,-7.67,0.32,7.26,-109.44,-91.74
260,-2.62,-9.31,0.78,17.64,-126.46,-74.83
270,-1.61,-10.69,1.31,23.25,-141.66,-58.35
280,-0.81,-12.01,2.30,25.09,-155.52,-44.13
290,-0.55,-12.97,3.47,24.66,-168.40,-30.94
300,-0.71,-13.56,5.03,19.10,-189.76,-1.53
310,-2.37,-13.38,10.74,17.64,-199.40,13.85
320,-3.18,-12.89,13.98,16.11,-205.63,30.21
330,-3.32,-12.01,17.24,11.96,-204.77,48.71
340,-2.88,-10.75,20.32,5.80,-194.09,69.40
350,-2.23,-9.12,23.10,1.65,-144.10,108.95
360,-0.75,-4.62,27.62,3.85,-134.28,123.96
370,0.14,-2.17,29.59,12.45,-112.85,133.73
380,1.07,0.63,32.03,23.99,-91.98,137.02
390,1.63,2.21,31.63,33.08,-74.52,136.05
400,2.55,3.73,31.33,40.47,-44.49,124.69
410,2.40,6.27,28.97,22.46,24.84,84.72
420,2.32,7.24,27.54,4.21,60.91,67.57
430,2.02,8.06,25.87,-11.90,91.25,51.09
440,1.72,8.57,24.17,-23.80,117.37,35.71
450,1.48,8.75,22.21,-32.17,139.47,20.45
460,1.21,8.65,20.25,-35.40,173.28,-11.78
470,0.42,7.56,15.90,-30.64,186.77,-29.24
480,-0.13,6.94,13.96,-25.09,195.68,-45.23
490,-0.56,6.27,12.36,-19.78,197.88,-58.59
500,-0.95,5.58,10.73,-14.71,196.41,-69.70
510,-1.31,4.84,9.05,-9.40,188.05,-86.30
520,-1.76,3.20,6.30,-3.48,177.86,-92.35
530,-1.79,2.27,5.11,-3.11,166.14,-96.44
540,-1.83,1.39,4.21,-4.82,155.15,-99.43
550,-1.89,0.70,3.47,-7.63,146.12,-101.50
560,-1.99,0.24,2.58,-10.74,137.94,-101.87
570,-1.87,-0.76,0.52,-18.25,116.33,-97.11
580,-1.77,-1.18,-0.09,-25.70,100.52,-93.26
590,-1.66,-1.74,-0.48,-32.47,83.86,-87.34
600,-1.44,-2.25,-0.53,-38.33,66.65,-79.83
610,-1.22,-2.72,-0.35,-40.77,48.65,-71.35
620,-0.90,-3.51,0.86,-31.68,8.67,-51.64
630,-0.06,-4.10,1.71,-21.55,-8.91,-41.50
640,0.51,-4.50,2.77,-8.67,-23.62,-31.49
650,1.30,-4.99,3.68,6.90,-36.44,-22.71
660,1.83,-5.45,4.38,22.34,-46.63,-15.44
670,2.12,-5.72,5.14,38.45,-55.97,-3.42
680,2.61,-5.66,7.15,38.02,-54.93,2.08
690,3.02,-5.35,8.15,35.22,-50.42,6.65
700,3.28,-4.92,8.98,31.56,-43.46,9.40
710,3.51,-4.36,9.76,27.16,-35.58,10.01
720,3.77,-3.71,10.54,24.35,-19.71,3.36
730,3.97,-2.73,11.04,25.33,-13.00,-1.53
740,4.00,-2.51,10.92,24.84,-6.04,-5.74
750,3.89,-2.31,10.78,23.32,-0.43,-9.28
760,3.71,-2.12,10.61,21.42,3.85,-11.90
770,3.57,-2.01,10.41,19.71,6.10,-13.12
780,3.50,-1.79,10.34,17.94,6.16,-11.78
790,3.52,-1.75,10.32,18.98,4.58,-10.07
800,3.53,-1.75,10.24,20.81,2.93,-8.18
810,3.54,-1.71,10.12,22.34,1.83,-6.04
820,3.61,-1.67,10.05,23.19,1.04,-4.33
830,3.63,-1.64,9.64,23.13,-0.49,-4.82
840,3.49,-1.78,9.57,21.73,-0.37,-5.62
850,3.40,-1.90,9.29,18.68,-0.12,-5.98
860,3.37,-1.96,9.21,13.85,-0.18,-5.86
870,3.35,-2.02,9.25,9.16,-0.61,-5.55
880,3.28,-2.08,9.39,3.85,-0.85,-3.97
890,3.20,-2.09,9.55,3.66,-0.24,-2.14
900,3.14,-2.08,9.49,4.27,0.37,-0.18
910,3.11,-2.01,9.42,4.88,0.85,1.89
920,3.14,-1.93,9.45,4.70,1.59,3.23
930,3.16,-1.83,9.35,4.39,2.20,3.54
940,3.15,-1.71,9.14,2.62,6.47,2.99
950,3.12,-1.72,8.98,1.65,7.69,1.89
960,3.10,-1.74,8.89,0.61,8.36,1.40
970,3.16,-1.77,8.82,-0.12,8.61,1.34
980,3.26,-1.85,8.73,0.00,8.06,1.28
990,3.32,-1.97,8.56,0.12,6.35,0.31
