timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,5.16,4.28,8.01,5.31,-19.71,9.09
10,4.99,4.97,7.94,8.97,-16.91,0.18
20,5.37,4.70,8.14,8.48,-6.84,-17.21
30,4.52,4.67,7.60,3.42,-5.07,-24.41
40,4.33,4.63,7.65,-3.72,-3.36,-28.14
50,4.21,4.62,7.82,-8.18,-1.28,-31.07
60,4.12,4.53,7.81,-7.14,-0.61,-33.20
70,4.18,4.13,7.82,14.95,-6.41,-33.02
80,4.21,2.18,7.78,15.93,-9.77,-31.68
90,4.92,1.96,7.63,14.83,-13.55,-29.05
100,4.75,1.87,8.49,10.56,-10.99,-21.55
110,5.00,1.70,8.13,14.28,-8.30,-19.78
120,4.86,1.68,7.80,17.15,-6.53,-17.64
130,5.04,2.02,7.70,14.95,-4.76,-13.92
140,4.96,2.16,7.70,12.57,-3.78,-14.47
150,5.03,2.32,7.87,8.79,-3.23,-14.65
160,5.25,2.48,7.99,6.16,-2.99,-14.34
170,5.42,2.54,8.16,6.10,-3.30,-14.71
180,5.68,2.40,8.24,15.56,-6.35,-18.01
190,5.59,2.04,8.13,21.73,-8.12,-18.62
200,5.24,1.75,7.85,26.25,-9.22,-18.13
210,4.94,1.55,7.72,26.37,-9.03,-16.48
220,4.98,1.49,7.54,23.99,-7.51,-13.61
230,4.94,1.34,7.41,15.99,-7.45,-8.67
240,4.90,1.26,7.33,10.56,-7.45,-6.71
250,4.75,1.52,7.29,5.62,-6.84,-5.80
260,4.76,1.72,7.18,0.98,-5.86,-5.13
270,4.70,2.31,7.10,-2.38,-5.49,-5.19
280,4.58,3.05,7.11,-2.87,-5.49,-8.61
290,4.36,4.25,6.43,5.62,-4.03,-12.39
300,4.38,4.69,6.21,9.58,-3.42,-16.05
310,4.22,4.84,5.48,14.47,-4.64,-20.75
320,3.89,4.92,4.77,17.58,-7.08,-25.94
330,3.66,5.05,4.32,16.17,-10.07,-30.58
340,3.09,5.71,3.28,12.94,-14.04,-38.70
350,2.75,6.03,2.35,12.82,-15.08,-43.03
360,2.54,6.21,1.53,10.93,-17.70,-48.03
370,2.24,6.65,0.87,6.65,-22.28,-54.87
380,2.23,6.85,0.56,3.11,-29.30,-63.42
390,2.23,7.01,0.42,11.47,-48.46,-87.83
400,1.88,5.80,0.87,25.82,-59.14,-101.87
410,1.36,4.24,0.95,46.02,-73.85,-116.03
420,0.06,2.83,0.89,63.42,-91.55,-128.48
430,-0.57,1.38,1.06,72.33,-106.02,-135.86
440,-0.78,-0.51,1.53,73.85,-125.06,-142.70
450,-1.63,-4.40,3.38,68.30,-132.93,-146.24
460,-2.05,-6.64,4.14,56.34,-139.16,-145.75
470,-1.88,-8.92,5.18,37.29,-141.36,-139.10
