timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.03,1.74,8.71,32.35,24.78,56.09
10,4.48,2.16,8.02,36.74,32.04,49.80
20,4.15,2.29,7.72,45.17,25.82,43.95
30,3.36,2.78,7.37,48.83,19.59,34.85
40,3.41,2.78,7.28,52.67,18.92,28.69
50,3.16,2.85,7.20,54.32,18.92,16.91
60,3.30,2.85,6.40,56.40,19.71,10.31
70,3.16,2.61,5.47,54.20,14.95,3.17
80,3.30,2.56,5.42,45.10,7.87,-2.69
90,3.24,2.55,5.74,37.41,1.40,-10.07
100,2.92,2.44,5.97,32.29,-2.14,-26.37
110,2.26,2.24,5.99,31.25,-0.67,-33.69
120,1.84,2.01,5.87,28.87,1.53,-41.38
130,1.40,1.72,5.87,24.96,4.76,-47.91
140,1.04,1.50,5.96,21.85,7.93,-52.06
150,0.89,1.39,6.07,19.04,9.22,-54.02
160,1.14,1.53,6.56,20.08,10.01,-55.54
170,1.31,1.53,6.38,24.17,11.23,-59.39
180,1.32,1.39,5.83,27.47,13.18,-65.43
190,1.32,1.26,5.57,28.32,14.53,-72.08
200,1.31,1.09,5.54,29.05,13.37,-77.94
210,0.78,-0.16,5.70,41.69,3.17,-88.50
220,1.61,0.76,4.69,44.13,-1.10,-93.44
230,1.42,0.33,4.79,47.24,-0.55,-95.76
240,1.50,0.22,4.01,47.61,-2.01,-102.42
250,1.48,-0.13,3.84,45.10,-3.42,-109.19
260,1.64,-0.45,3.61,40.59,-7.14,-122.07
270,1.50,-1.40,3.05,41.26,-10.13,-128.48
280,1.29,-2.09,2.62,42.18,-14.34,-134.70
290,1.06,-2.85,1.97,42.66,-19.96,-140.38
300,0.93,-3.78,1.42,40.89,-27.95,-145.51
310,0.95,-4.76,1.27,36.56,-50.54,-152.16
320,1.19,-6.78,2.00,30.52,-60.24,-153.63
330,1.22,-8.01,2.25,33.33,-68.85,-154.42
340,1.10,-9.24,2.37,38.57,-77.15,-153.87
350,0.79,-10.29,2.57,42.66,-85.39,-152.04
360,0.31,-11.37,2.95,45.90,-92.83,-149.23
370,-0.79,-13.82,3.64,53.53,-105.90,-142.64
380,-0.85,-14.88,4.26,54.14,-112.24,-134.16
390,-0.70,-15.88,5.04,53.41,-118.23,-123.05
400,-0.49,-16.79,5.82,51.82,-122.44,-112.18
410,-0.25,-17.61,6.61,49.56,-124.21,-101.62
420,-0.10,-18.43,8.34,44.07,-125.85,-81.73
430,-0.32,-19.81,9.27,39.73,-125.37,-70.07
440,-0.48,-19.94,10.23,33.33,-122.86,-55.18
450,-0.57,-19.60,11.23,26.61,-120.12,-37.23
460,-0.44,-18.81,12.30,20.26,-116.46,-16.36
470,-0.11,-17.61,13.49,11.29,-104.61,27.40
480,1.06,-14.96,15.76,7.26,-97.11,46.75
490,1.54,-13.56,16.82,3.42,-88.81,62.44
500,1.90,-12.36,17.75,0.85,-79.90,73.30
510,2.10,-11.23,18.72,-0.43,-70.68,79.16
520,2.05,-10.45,19.47,1.28,-42.72,79.10
530,1.29,-9.55,20.55,4.33,-25.94,76.97
540,0.80,-9.10,20.79,4.03,-8.06,75.87
550,0.12,-8.77,20.72,4.52,10.74,75.62
560,-0.45,-8.26,20.30,3.23,29.60,76.97
570,-0.02,-7.84,19.58,1.28,47.91,80.81
580,-1.41,-6.79,17.46,-4.58,83.44,84.72
590,-1.36,-6.35,16.24,-5.62,101.75,88.50
