timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.16,4.64,7.29,-2.93,-3.05,0.24
10,2.80,4.92,7.22,-5.37,3.23,-4.46
20,2.99,4.70,6.87,-1.22,-1.40,-10.80
30,2.52,4.68,6.71,1.59,-5.13,-17.46
40,2.38,4.57,6.52,3.72,-6.35,-22.77
50,2.27,4.46,6.33,4.58,-5.92,-27.89
60,2.01,4.41,5.84,4.70,-4.82,-39.98
70,1.87,4.27,5.66,4.27,-5.55,-45.47
80,1.93,4.08,5.50,2.99,-7.14,-50.72
90,1.73,3.95,5.42,1.77,-8.06,-55.91
100,1.58,3.77,5.45,0.49,-8.73,-60.85
110,1.42,3.56,5.56,0.18,-12.76,-67.26
120,1.18,3.15,5.56,1.71,-14.77,-70.50
130,1.07,2.86,5.43,4.33,-17.09,-73.55
140,0.96,2.59,5.17,6.59,-19.17,-75.99
150,0.72,2.30,4.78,7.75,-21.61,-77.51
160,0.59,2.17,4.49,6.65,-31.86,-77.51
170,0.79,1.74,4.43,4.39,-38.51,-75.62
180,0.61,1.87,4.67,3.72,-42.48,-72.20
190,0.90,1.70,4.77,8.18,-47.12,-72.02
200,0.85,1.35,4.76,13.67,-53.34,-72.08
210,0.82,0.99,4.78,19.29,-60.49,-70.98
220,1.02,-0.80,5.13,33.14,-75.07,-67.87
230,1.34,-1.69,5.60,35.46,-85.69,-68.18
240,1.48,-2.85,5.60,37.41,-99.61,-71.35
250,1.41,-4.72,5.22,40.71,-110.23,-73.12
260,1.32,-6.42,5.07,38.76,-116.82,-72.81
270,0.52,-9.05,5.70,23.68,-128.78,-67.26
280,-0.21,-10.18,6.77,14.10,-134.83,-60.73
290,-1.08,-10.77,8.07,6.71,-139.40,-49.50
300,-1.57,-11.42,9.72,2.50,-143.31,-34.06
310,-2.01,-11.78,11.48,3.48,-146.42,-14.40
320,-2.12,-12.04,12.90,22.95,-146.91,32.35
330,-1.80,-11.95,14.36,34.55,-144.84,58.41
340,-1.70,-11.29,14.96,44.07,-142.88,83.92
350,-1.71,-10.14,15.69,50.42,-142.03,109.01
360,-1.57,-8.71,16.27,51.57,-141.97,133.73
370,-1.10,-6.99,16.98,31.62,-134.70,172.67
380,-0.24,-2.40,19.92,26.18,-124.51,183.78
390,0.38,0.14,21.52,18.25,-111.21,188.66
400,0.98,2.51,22.86,16.11,-95.46,187.13
410,1.44,4.41,23.56,17.03,-78.61,178.41
420,1.77,5.87,24.02,18.31,-61.58,148.07
430,1.69,7.57,24.39,11.72,-23.62,125.31
440,1.39,8.15,24.54,5.25,-0.49,104.13
450,1.01,8.58,24.42,0.37,23.99,83.37
460,0.38,9.02,23.59,-1.77,48.16,65.49
470,0.49,8.70,23.34,-0.43,70.43,51.03
480,-0.05,8.09,20.84,5.07,99.24,25.63
490,-0.47,7.68,19.52,7.39,113.40,15.08
500,-0.51,6.90,18.00,7.57,126.89,4.58
510,-0.80,6.16,16.54,4.76,138.79,-6.53
520,-0.85,5.26,15.36,-0.18,147.22,-17.82
530,-1.16,4.58,14.40,-9.64,156.98,-37.35
540,-1.75,3.37,12.72,-11.96,160.95,-44.07
550,-1.88,2.95,11.84,-13.24,164.55,-48.34
560,-1.80,2.58,10.89,-13.61,167.05,-50.48
570,-1.52,2.39,10.11,-13.92,168.15,-51.88
580,-1.53,2.26,9.23,-14.53,166.81,-54.75
590,-1.23,2.34,7.80,-15.93,162.66,-56.03
600,-0.96,2.24,7.25,-16.48,157.17,-56.58
610,-0.72,2.16,6.77,-17.27,150.57,-58.84
620,-0.65,2.21,6.37,-18.86,144.78,-62.01
630,-0.58,2.45,6.19,-21.18,139.77,-65.31
640,0.14,2.45,5.71,-21.97,130.25,-73.91
650,0.32,2.29,5.18,-20.39,126.04,-80.69
660,0.45,2.14,4.74,-19.78,121.95,-87.65
670,0.72,1.90,4.36,-19.65,117.00,-92.59
680,0.92,1.64,3.96,-18.92,110.66,-96.44
690,1.04,1.39,3.54,-16.78,95.58,-102.36
700,1.44,0.51,2.96,-15.50,87.16,-103.21
710,1.68,0.15,2.80,-14.40,79.47,-102.29
720,1.99,-0.37,2.56,-12.94,72.81,-100.28
730,2.41,-1.04,2.40,-10.38,65.55,-98.21
740,3.00,-1.90,2.14,-3.97,45.35,-96.01
750,3.55,-4.06,1.89,-3.42,34.36,-94.79
760,3.73,-5.13,2.15,-3.23,24.78,-92.65
770,3.71,-6.18,2.52,-3.11,15.01,-89.84
780,3.41,-7.00,3.01,-2.56,5.68,-85.21
790,3.20,-7.63,3.66,-1.89,-1.95,-76.66
800,3.16,-8.08,5.05,-1.40,-15.56,-49.99
810,3.38,-8.06,5.86,-0.31,-21.97,-36.19
820,3.60,-7.80,6.83,1.34,-27.16,-24.17
830,3.86,-7.39,7.67,4.03,-29.72,-14.22
840,4.16,-7.01,8.16,7.08,-27.71,-6.59
850,4.23,-6.02,8.28,7.32,-16.17,0.18
860,4.28,-5.40,8.40,3.36,-10.86,2.62
870,4.41,-4.81,8.49,-1.89,-7.20,4.39
880,4.50,-4.19,8.61,-5.92,-4.58,5.98
890,4.58,-3.52,8.70,-8.54,-2.38,8.24
900,4.72,-2.82,8.62,-7.81,1.53,13.61
910,5.14,-1.58,8.26,-6.35,1.77,15.56
920,5.31,-1.09,8.06,-5.37,1.46,15.99
930,5.54,-0.76,7.88,-4.64,0.98,15.08
940,5.69,-0.57,7.75,-4.03,0.73,13.24
