timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.39,4.72,8.26,19.47,-0.79,-15.75
10,2.50,4.37,7.66,25.15,7.20,-21.18
20,3.38,5.04,8.49,36.74,21.61,-28.44
30,3.40,4.68,8.79,48.52,29.97,-23.38
40,3.43,4.42,9.27,52.31,39.43,-19.65
50,3.76,4.38,9.50,51.70,42.91,-16.36
60,4.02,4.64,9.62,49.13,43.33,-11.84
70,4.33,5.01,9.96,46.81,44.01,-7.57
80,4.79,5.34,11.41,43.27,46.94,-9.70
90,5.00,5.00,12.46,35.10,52.19,-13.67
100,5.38,4.77,13.37,21.12,57.62,-18.55
110,5.83,4.59,14.20,7.02,62.93,-23.32
120,6.03,4.55,14.80,-3.05,69.70,-26.67
130,5.64,4.87,15.53,-1.59,100.22,-30.70
140,5.38,4.92,15.73,6.47,120.67,-33.94
150,5.30,5.15,15.68,16.05,138.55,-38.39
160,5.36,5.39,15.43,24.90,156.19,-42.54
170,5.42,5.57,15.00,30.70,171.51,-44.98
180,5.16,5.45,12.82,33.02,190.49,-47.30
190,3.84,4.77,13.22,28.26,189.45,-45.29
200,4.65,3.79,12.92,25.39,201.97,-43.95
210,4.49,3.91,11.95,16.42,208.98,-45.84
220,4.27,3.84,10.71,11.23,214.72,-45.84
230,4.02,3.75,9.82,16.11,232.42,-40.28
240,3.61,3.82,8.06,25.57,243.35,-38.57
250,3.49,3.81,7.26,34.61,254.58,-38.33
260,3.56,3.75,6.41,42.72,266.11,-38.21
270,3.49,3.72,5.54,49.32,276.79,-37.78
280,3.35,3.51,4.67,55.30,284.61,-34.18
290,3.17,3.10,2.92,62.32,292.91,-32.84
300,3.15,2.96,2.01,63.35,295.90,-31.37
310,3.14,2.90,1.17,64.45,296.87,-29.11
320,3.15,2.98,0.40,65.06,293.88,-25.45
330,3.12,3.16,-0.34,66.71,288.57,-19.90
340,3.09,3.61,-1.99,66.41,273.07,-6.47
350,2.92,3.75,-2.65,64.82,265.81,-3.17
360,2.88,3.91,-3.15,63.35,258.91,-2.32
370,2.80,4.14,-3.60,60.12,249.21,-3.05
380,2.75,4.44,-4.12,58.04,220.83,-10.25
390,2.78,4.70,-4.62,65.37,210.94,-17.40
400,2.95,4.91,-5.42,74.04,200.26,-26.00
410,3.06,4.97,-5.58,82.46,190.92,-36.19
420,3.20,4.84,-5.75,90.45,180.91,-46.02
430,3.11,4.73,-5.78,95.70,170.17,-54.38
440,2.93,4.77,-5.85,98.57,147.16,-64.58
450,2.96,5.19,-5.73,110.29,137.27,-67.87
460,3.07,5.26,-5.32,115.48,128.23,-72.20
470,3.20,5.23,-4.96,114.07,117.55,-78.92
480,3.35,5.18,-4.90,104.00,102.84,-88.99
490,3.38,5.06,-5.00,88.87,85.69,-118.65
500,3.70,4.38,-5.31,59.94,47.49,-140.26
510,3.68,3.81,-5.07,47.61,28.44,-161.01
520,4.05,3.29,-5.46,37.72,8.54,-182.62
