timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.33,3.69,8.88,49.87,-94.97,-203.49
10,-0.47,2.41,9.02,48.52,-89.29,-201.05
20,-0.20,2.57,9.45,39.79,-86.00,-205.63
30,0.48,3.12,9.29,24.66,-75.68,-208.98
40,1.00,1.78,9.50,15.81,-70.92,-195.13
50,0.86,1.59,9.37,6.96,-74.22,-177.49
60,0.68,1.93,8.97,0.24,-81.60,-160.64
70,0.46,2.41,8.75,-2.26,-86.30,-146.61
80,0.01,2.84,8.67,-0.37,-87.10,-133.00
90,-1.17,2.60,9.10,11.41,-83.25,-134.52
100,-1.22,2.14,9.61,18.74,-78.25,-139.71
110,-1.30,1.49,10.18,27.65,-71.47,-145.87
120,-1.26,0.79,10.83,35.95,-62.01,-151.67
130,-1.27,0.09,11.42,39.73,-52.19,-157.10
140,-1.38,-0.87,12.01,36.13,-40.59,-169.68
150,-0.90,-1.57,12.18,29.72,-36.13,-173.10
160,-0.30,-2.42,12.62,23.32,-30.15,-174.68
170,-0.22,-2.86,12.91,17.15,-26.25,-178.59
180,2.75,-4.62,11.85,11.35,-25.63,-179.38
190,-0.17,-4.30,13.28,3.78,-29.79,-164.49
200,1.62,-5.37,13.42,-3.60,-23.13,-151.86
210,2.05,-4.86,12.85,-4.76,-24.23,-139.89
220,1.99,-4.47,12.36,-0.98,-25.88,-125.06
230,1.88,-4.46,12.08,6.96,-23.68,-107.79
240,1.65,-4.61,11.90,31.25,-13.73,-81.85
250,1.51,-4.72,11.69,45.65,-8.24,-74.10
260,1.45,-4.70,11.71,58.41,-4.21,-67.63
270,1.27,-4.82,11.90,67.44,0.24,-62.19
280,1.09,-5.03,12.23,70.62,4.58,-58.41
290,1.00,-5.18,12.45,67.50,8.00,-57.50
300,1.24,-4.95,12.77,44.19,11.84,-55.48
310,1.05,-4.93,12.71,27.28,9.03,-54.44
320,1.00,-4.68,12.30,9.95,4.46,-53.59
330,1.22,-4.37,11.88,-4.94,0.85,-51.88
340,1.48,-3.92,11.51,-14.65,-1.04,-48.89
350,1.63,-3.24,10.69,-17.52,-1.28,-36.32
360,1.58,-3.08,10.49,-10.80,1.10,-27.95
370,1.45,-3.02,10.44,0.12,4.52,-19.96
380,1.35,-3.17,10.56,12.63,8.54,-12.27
390,1.39,-3.57,10.86,25.70,12.15,-5.37
400,1.56,-3.88,11.10,40.65,21.48,9.58
410,1.83,-3.87,11.54,40.47,27.34,20.32
420,1.97,-4.31,11.73,35.64,31.74,34.00
430,1.96,-4.61,11.75,27.10,34.61,47.79
440,2.01,-4.68,11.71,17.33,37.54,61.95
450,2.18,-4.66,11.68,8.73,43.33,92.71
460,2.07,-4.04,11.07,-4.39,44.86,108.70
470,1.83,-3.64,10.74,-7.08,46.02,123.84
480,1.60,-3.37,10.49,-6.96,47.36,137.27
490,1.45,-3.03,10.30,-5.55,48.83,148.01
500,1.40,-2.59,10.16,-3.66,50.66,156.74
510,1.33,-1.98,10.12,5.80,54.44,172.42
520,1.45,-1.79,10.28,10.93,57.80,179.44
530,1.61,-1.65,10.45,14.16,62.93,186.77
540,1.82,-1.40,10.43,14.40,68.97,195.19
550,1.81,-0.97,10.30,10.99,75.50,204.83
560,1.67,-0.54,9.92,-1.83,84.59,224.79
570,1.40,-0.05,9.66,-8.54,85.33,233.15
580,1.27,0.15,9.37,-13.79,84.66,238.95
590,1.16,0.36,9.15,-16.97,83.25,242.86
600,1.26,0.41,8.95,-17.46,81.05,246.09
610,1.48,0.40,8.81,-10.93,82.21,253.30
620,1.51,0.76,8.85,-5.19,88.01,257.93
630,1.76,0.94,9.05,0.92,96.80,265.81
640,1.72,0.90,9.23,4.33,106.63,276.79
650,0.88,1.49,9.18,1.28,114.87,288.27
660,0.03,2.22,9.14,-8.06,139.16,305.18
670,-0.46,3.58,8.64,-29.72,126.28,306.95
680,-0.62,4.21,8.18,-39.86,118.23,302.31
690,-0.53,4.76,7.76,-48.10,106.93,291.38
700,-0.15,5.12,7.41,-52.61,96.56,279.05
710,0.18,5.44,7.04,-54.69,90.21,269.71
720,0.20,6.12,6.31,-53.53,86.43,261.41
730,-0.13,6.38,5.97,-49.50,86.61,259.46
740,-0.63,6.60,5.77,-43.58,88.07,255.86
750,-0.84,6.89,5.63,-35.95,90.39,248.60
760,-1.08,7.40,5.37,-27.16,93.57,239.87
770,-1.27,7.97,5.08,-15.87,99.55,216.67
780,-1.72,8.79,4.74,-13.67,98.82,201.42
790,-1.87,9.17,4.62,-14.40,94.91,185.30
800,-2.01,9.45,4.54,-16.17,88.07,169.68
810,-2.08,9.69,4.31,-17.03,78.92,154.30
820,-2.17,9.98,4.06,-17.33,59.08,126.16
830,-2.56,10.56,3.72,-13.55,48.95,111.57
840,-2.77,10.74,3.62,-9.52,39.25,95.89
850,-2.85,10.97,3.54,-5.92,30.40,79.47
860,-2.78,11.11,3.50,-1.95,22.22,63.05
870,-2.56,11.33,3.52,3.17,14.83,30.76
880,-2.41,10.95,3.59,17.64,1.34,10.56
890,-2.29,10.58,3.53,21.73,-3.72,-7.75
900,-2.06,10.28,3.50,22.34,-8.54,-25.57
910,-1.59,10.03,3.45,22.52,-15.14,-41.26
920,-1.10,9.87,3.47,23.80,-23.56,-54.50
930,-0.76,9.23,3.67,28.14,-37.90,-76.35
940,-0.41,8.93,3.82,30.46,-41.93,-84.59
950,-0.13,9.06,4.11,33.63,-45.53,-91.19
960,0.03,8.95,4.26,39.37,-50.17,-98.27
970,-0.11,8.61,4.65,42.85,-54.93,-105.96
980,-0.13,8.77,4.95,38.82,-66.16,-129.88
990,-0.60,8.70,5.46,32.59,-70.50,-147.77
