timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.22,1.89,9.47,-12.57,14.83,16.78
10,-0.01,0.77,8.63,-14.71,24.41,18.98
20,0.81,2.27,8.50,-10.86,18.92,18.43
30,0.79,1.93,8.62,-4.33,14.77,22.09
40,0.52,1.68,8.46,3.11,8.24,23.01
50,0.83,1.72,8.74,10.80,0.00,22.09
60,1.02,1.80,8.99,16.36,-16.42,28.63
70,0.54,2.58,9.48,22.34,-22.28,31.56
80,0.35,2.86,10.33,25.57,-24.41,29.97
90,0.35,3.05,11.40,27.04,-23.62,23.56
100,0.47,3.28,12.22,26.00,-20.39,13.98
110,0.66,3.39,12.75,25.45,-16.42,4.09
120,1.10,3.39,13.74,28.20,-7.69,-9.03
130,1.27,3.25,13.97,30.58,-3.23,-14.34
140,1.48,3.29,14.36,31.74,2.32,-19.04
150,2.11,3.23,13.03,30.82,6.96,-23.86
160,1.13,3.09,14.60,30.21,7.20,-27.95
170,1.40,2.42,15.52,16.72,23.74,-38.21
180,1.52,2.46,15.39,8.85,29.48,-45.10
190,1.46,1.86,15.64,-1.95,38.64,-51.76
200,1.50,1.71,15.16,-8.61,45.53,-56.09
210,1.53,1.62,14.68,-10.01,54.08,-60.49
220,1.99,1.75,14.21,-6.23,70.50,-63.96
230,2.60,1.83,13.65,-4.09,76.66,-59.63
240,2.53,1.70,13.41,-1.89,81.79,-52.92
250,2.37,1.69,13.41,-0.61,86.98,-46.08
260,2.02,1.51,13.07,0.73,90.88,-40.65
270,1.75,1.47,12.64,2.44,92.96,-37.90
280,1.91,1.48,12.21,3.23,97.96,-38.02
290,2.01,1.31,12.04,0.67,100.04,-37.05
300,2.11,1.02,11.99,-4.03,101.62,-35.89
310,2.07,0.63,11.98,-8.48,102.48,-34.24
320,1.93,0.12,12.15,-11.23,104.13,-32.29
330,1.35,-1.22,12.84,-16.72,112.79,-25.27
340,0.98,-1.92,13.01,-23.32,118.96,-20.39
350,0.71,-2.49,12.97,-32.17,126.53,-14.77
360,0.48,-2.84,12.52,-41.02,134.77,-8.85
370,0.25,-3.05,11.76,-46.88,143.07,-3.36
380,0.13,-3.35,11.02,-47.55,158.94,6.16
390,0.01,-3.93,9.23,-46.88,165.10,10.68
400,-0.00,-3.98,7.97,-46.39,168.64,15.69
410,0.18,-3.85,6.73,-42.91,168.09,20.32
420,0.48,-3.70,5.63,-37.35,164.43,26.18
430,0.80,-3.58,4.73,-15.69,152.89,42.18
440,0.98,-3.58,2.98,-21.06,146.12,50.84
450,1.09,-3.48,2.02,-14.59,139.83,58.47
460,1.35,-3.36,1.22,-6.29,134.34,65.31
470,1.68,-3.12,0.79,3.05,128.05,72.27
480,1.88,-2.79,0.06,12.08,118.47,79.90
490,2.10,-1.52,-0.91,21.06,98.14,96.19
500,2.20,-1.12,-1.35,23.86,85.88,104.31
510,2.05,-0.35,-1.55,27.65,70.80,109.07
520,2.19,0.64,-1.65,32.35,52.55,110.90
530,2.55,1.51,-1.50,36.80,33.08,113.16
540,2.74,2.83,-0.73,38.88,-5.13,114.99
550,3.16,3.40,-0.23,39.12,-22.09,112.18
560,3.57,3.98,0.32,38.88,-36.93,109.50
570,3.78,4.36,1.02,38.27,-50.17,108.28
580,3.86,4.66,1.73,36.93,-62.19,107.30
590,3.85,5.01,2.46,31.49,-84.11,104.92
600,3.64,6.12,4.35,29.66,-93.81,105.71
610,3.41,6.92,5.12,26.79,-102.84,108.09
620,3.09,7.95,6.18,23.01,-107.06,110.96
630,2.67,8.91,6.91,22.52,-107.06,112.24
640,2.24,10.09,7.24,25.09,-104.00,104.00
650,1.64,12.37,8.00,41.81,-80.20,96.01
660,1.22,13.22,8.68,49.26,-64.70,86.49
670,0.70,13.61,9.12,52.06,-54.81,74.89
680,0.09,14.23,9.55,50.54,-50.78,59.02
690,-0.46,14.62,9.80,45.29,-51.51,38.57
700,-1.88,14.97,10.27,25.57,-66.83,-10.74
710,-2.44,15.11,10.30,16.66,-76.60,-40.47
720,-2.48,14.88,10.72,13.79,-82.15,-70.62
730,-2.55,14.06,11.34,13.31,-83.56,-97.78
740,-2.60,12.91,11.88,13.06,-81.85,-121.34
750,-2.23,11.47,13.43,16.72,-65.67,-160.71
760,-0.66,7.04,14.08,18.43,-53.16,-173.71
770,0.29,4.43,14.93,17.94,-39.06,-181.27
780,1.78,1.46,15.94,14.77,-24.17,-181.58
790,3.19,-1.25,16.75,5.98,-9.58,-174.19
800,4.50,-4.05,17.17,-18.37,18.07,-143.74
810,7.13,-8.16,17.02,-29.60,31.92,-120.42
820,7.91,-8.65,16.18,-34.24,46.02,-92.29
830,8.14,-8.98,15.18,-31.56,62.68,-62.50
840,7.93,-9.25,14.08,-24.11,81.12,-36.44
850,7.72,-9.24,12.93,-15.26,98.14,-0.61
860,7.07,-8.11,9.99,0.55,117.07,14.71
870,6.59,-7.29,8.62,5.37,121.70,29.72
880,6.04,-6.30,7.34,8.24,123.17,43.03
890,5.37,-5.34,5.88,9.40,121.09,54.08
900,4.88,-4.33,4.62,9.22,115.72,62.74
910,4.54,-2.25,2.67,13.92,98.21,75.68
920,3.92,-1.29,2.00,19.53,87.59,82.58
930,3.51,-0.41,1.35,26.79,77.15,88.75
940,3.24,0.39,0.91,36.25,66.96,92.90
950,3.16,1.20,0.71,47.42,56.34,94.85
960,3.08,2.01,0.71,67.63,36.25,95.21
970,2.81,2.87,0.99,73.73,26.79,93.93
980,2.58,3.41,1.24,74.52,15.32,87.83
990,2.73,3.81,1.65,70.62,0.12,80.14
