timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.62,-4.99,17.62,119.87,-204.35,-63.60
10,-0.14,-5.20,17.35,141.54,-212.59,-53.89
20,1.55,-8.83,18.27,178.59,-195.98,-45.65
30,1.58,-10.83,18.10,204.28,-168.09,-50.29
40,-0.53,-10.52,17.95,223.94,-103.21,-64.09
50,-1.65,-12.56,16.86,219.67,-77.33,-56.09
60,-1.73,-13.67,16.38,200.20,-51.21,-52.00
70,-2.17,-14.21,17.01,169.01,-21.24,-52.86
80,-2.62,-14.53,18.09,138.18,12.39,-54.69
90,-2.97,-14.95,18.72,102.66,82.34,-49.01
100,-3.35,-15.04,18.09,96.07,107.48,-40.10
110,-3.48,-13.96,17.11,95.58,126.46,-26.79
120,-4.07,-14.19,15.34,95.58,137.94,-5.37
130,-4.11,-13.58,13.74,95.70,144.35,13.98
140,-4.10,-12.85,12.41,91.74,148.68,43.64
150,-4.32,-11.43,10.21,75.13,146.06,52.98
160,-4.63,-10.90,8.71,79.28,160.83,59.57
170,-4.31,-10.88,7.61,79.71,168.09,70.25
180,-3.95,-10.84,6.01,78.61,170.72,78.86
190,-3.79,-10.87,4.40,75.68,171.87,85.21
200,-3.94,-9.98,2.04,54.50,172.00,96.68
210,-4.15,-9.51,1.37,41.87,169.43,104.06
220,-4.17,-8.93,0.82,33.02,164.73,111.88
230,-4.12,-8.43,0.23,28.56,157.71,119.45
240,-3.91,-7.96,-0.37,26.98,148.50,126.34
250,-3.68,-7.54,-1.03,23.74,122.56,136.96
260,-3.55,-6.44,-2.08,18.55,107.30,140.81
270,-3.35,-5.82,-2.36,10.93,91.55,145.26
280,-3.14,-5.20,-2.53,2.32,76.42,149.78
290,-3.00,-4.56,-2.80,-7.14,62.07,153.38
300,-2.77,-3.80,-2.98,-17.52,35.64,158.26
310,-1.95,-2.68,-2.47,-38.51,23.86,158.45
320,-1.63,-1.85,-2.09,-48.58,10.80,157.35
330,-1.37,-1.02,-1.96,-57.13,-3.30,153.87
340,-1.17,-0.16,-1.57,-64.09,-17.46,148.07
350,-0.87,0.91,-1.25,-70.25,-34.85,140.99
360,-0.08,1.55,-0.38,-57.50,-59.33,124.08
370,0.16,1.47,-0.53,-46.39,-71.59,113.59
380,0.05,1.45,-0.62,-37.84,-84.66,102.48
390,0.01,1.60,-0.56,-34.97,-99.55,93.99
400,0.14,1.63,-0.24,-35.22,-115.48,87.77
410,0.32,2.02,0.92,-41.75,-147.46,77.15
420,0.77,2.90,1.68,-46.14,-161.19,72.45
430,1.14,3.82,2.76,-51.88,-173.16,65.55
440,1.83,4.83,3.85,-56.64,-183.78,56.88
450,2.68,5.64,5.51,-58.41,-193.54,44.86
460,2.90,6.29,5.85,-51.21,-210.82,9.34
470,3.10,6.22,6.59,-46.39,-215.52,-9.03
480,3.05,5.79,7.97,-43.64,-221.98,-28.20
490,2.82,5.33,9.79,-40.10,-229.61,-45.29
500,2.52,4.94,10.82,-36.19,-239.38,-59.14
510,2.18,4.46,12.75,-33.20,-262.88,-82.34
520,0.78,3.69,16.77,-12.94,-258.91,-92.65
530,-0.01,3.66,18.73,6.16,-259.09,-101.87
540,-0.23,3.98,21.22,28.75,-256.16,-111.69
550,-0.91,3.41,22.73,61.77,-248.90,-123.11
560,-1.81,2.02,23.30,100.83,-234.31,-134.89
570,-4.07,-1.48,21.56,148.13,-192.75,-154.79
580,-5.04,-3.59,21.05,147.46,-162.41,-160.28
590,-5.59,-5.73,21.55,131.84,-123.35,-163.15
600,-6.37,-7.48,22.21,110.84,-79.04,-165.59
610,-7.29,-8.89,22.97,91.37,-33.14,-166.75
620,-7.86,-9.98,23.75,62.93,39.37,-156.07
