timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.57,0.58,10.58,29.05,-8.61,-11.35
10,-0.62,0.64,10.44,26.98,-2.99,-9.52
20,-0.79,0.96,10.27,21.36,-2.87,-7.39
30,-1.18,0.41,10.26,19.71,-4.70,-0.79
40,-1.38,0.28,10.26,15.81,-3.91,3.30
50,-1.29,0.42,9.85,11.84,-3.17,0.98
60,-1.20,0.33,9.66,14.47,-2.75,-0.37
70,-1.11,0.32,9.67,20.51,-3.17,-0.61
80,-1.00,0.33,9.92,29.85,-3.85,0.12
90,-1.08,0.31,10.35,38.94,-1.95,1.65
100,-1.01,0.00,12.12,50.66,9.28,2.87
110,-1.33,-0.27,12.57,46.14,11.90,3.78
120,-1.30,-0.16,12.77,39.55,10.25,1.71
130,-1.04,0.11,13.17,33.87,8.85,-2.81
140,-0.91,0.24,13.36,29.60,9.77,-7.87
150,-0.80,0.32,13.39,34.61,21.67,-20.14
160,-0.25,-0.37,14.38,44.49,31.01,-29.24
170,-0.09,-0.63,14.92,48.65,38.88,-37.90
180,-0.10,-1.30,15.02,50.54,45.72,-40.71
190,0.13,-2.23,15.28,50.11,55.05,-41.44
200,0.38,-2.97,15.22,48.16,63.17,-35.89
210,0.38,-3.99,14.68,49.07,79.83,-31.19
220,0.68,-4.14,14.77,54.75,86.18,-25.70
230,0.60,-4.42,14.86,56.76,90.94,-18.07
240,0.38,-4.61,14.78,53.41,95.83,-10.19
250,0.19,-4.56,14.54,46.69,99.61,-4.39
260,0.18,-3.87,13.57,34.06,105.41,3.05
270,0.10,-3.66,13.23,31.74,109.74,7.26
280,-0.01,-3.68,13.14,29.54,113.89,11.60
290,-0.30,-3.85,12.97,25.63,117.19,14.95
300,-0.39,-4.08,12.84,20.87,120.54,16.17
310,-0.17,-4.55,12.78,9.95,130.80,17.64
320,0.35,-5.69,12.14,1.71,137.63,23.80
330,0.12,-6.10,11.16,-5.49,142.76,31.92
340,0.29,-6.03,10.18,-8.97,145.26,41.38
350,0.56,-5.85,9.45,-7.20,145.75,52.19
360,0.73,-5.74,8.83,-3.42,149.60,77.82
370,0.51,-5.42,7.19,-1.16,151.25,90.64
380,0.28,-5.08,6.22,-1.83,151.00,101.44
390,0.16,-4.63,5.38,-2.50,148.01,109.68
400,0.09,-4.07,4.51,-4.27,142.09,116.15
410,-0.04,-3.50,3.51,-8.79,133.54,120.79
420,0.18,-2.27,1.68,-20.81,114.01,123.72
430,0.32,-1.41,0.53,-26.37,101.75,124.76
440,0.48,-0.38,-0.61,-28.02,87.65,126.46
450,0.73,0.52,-1.55,-23.01,73.12,128.85
460,1.02,1.27,-2.10,-12.27,60.30,131.84
470,1.27,2.52,-2.09,9.52,38.70,137.15
480,1.95,3.61,-1.68,16.36,25.76,139.04
490,2.07,4.43,-1.13,19.53,10.19,139.53
500,2.02,5.17,-0.51,19.71,-6.04,136.41
510,1.92,5.80,0.22,19.84,-22.95,128.17
520,1.74,6.36,0.93,22.03,-52.12,101.50
530,1.03,7.50,3.22,26.06,-63.05,86.49
540,0.68,7.89,4.96,31.74,-71.11,71.59
550,0.46,8.37,6.80,37.60,-75.32,55.30
560,0.31,9.03,8.49,44.01,-76.42,38.39
570,0.15,9.63,10.08,50.60,-73.49,9.22
580,-0.61,10.44,13.11,50.54,-60.12,-3.97
590,-0.93,10.87,14.24,43.03,-53.89,-20.45
600,-1.14,11.05,15.29,33.08,-48.34,-41.20
610,-1.46,10.75,15.98,19.10,-44.98,-64.09
620,-1.64,10.24,15.86,3.60,-42.54,-89.78
630,-1.15,8.76,14.43,-13.61,-30.70,-143.01
640,-0.71,6.96,13.85,-10.68,-20.45,-166.50
650,0.04,4.45,13.51,-3.11,-9.22,-188.17
660,0.92,1.28,13.54,3.48,2.08,-205.38
670,1.61,-2.45,13.72,3.23,11.84,-216.19
680,3.00,-6.01,13.75,-12.70,24.17,-215.94
690,6.40,-12.61,13.40,-25.45,28.69,-196.59
700,7.53,-14.65,12.79,-37.84,29.91,-164.37
710,8.10,-15.71,12.03,-43.03,29.36,-126.10
720,8.52,-15.98,11.12,-39.37,32.53,-88.38
730,8.82,-15.82,10.36,-20.14,54.26,-19.23
740,8.37,-14.89,8.78,-14.34,62.68,11.72
750,7.87,-13.76,7.67,-12.08,63.72,38.39
760,7.42,-11.84,6.06,-12.33,59.45,61.10
770,7.11,-9.75,4.87,-12.08,59.14,83.13
780,6.51,-7.99,3.72,-8.36,59.08,124.57
790,4.93,-4.62,1.65,8.54,47.30,138.31
800,4.48,-3.02,1.18,21.00,36.68,148.19
810,3.76,-1.76,1.17,31.37,26.18,155.21
820,3.06,-0.64,1.42,34.85,16.30,157.10
830,2.52,0.31,1.46,29.91,4.52,153.81
840,2.31,2.38,1.51,10.25,-25.21,137.21
850,1.91,3.50,1.57,3.91,-43.03,127.26
860,1.79,4.52,1.73,-0.12,-58.84,117.74
870,1.63,5.44,2.04,-2.69,-72.51,107.67
880,1.51,6.35,2.38,-3.23,-84.72,96.62
890,1.38,7.11,2.77,-1.40,-102.23,74.28
900,0.82,8.85,3.28,-1.22,-108.52,67.69
910,0.03,9.55,3.73,0.06,-115.97,67.32
920,-0.78,10.16,4.17,3.66,-124.57,69.40
930,-1.82,10.69,5.18,11.17,-129.58,68.18
940,-3.08,11.09,6.40,22.03,-134.46,40.89
950,-4.78,10.89,9.21,41.93,-132.93,8.48
960,-5.06,10.57,10.56,46.02,-129.21,-31.25
970,-5.10,9.92,12.09,43.64,-125.49,-69.09
980,-4.94,8.91,13.33,35.52,-124.21,-101.56
990,-4.15,7.77,14.80,23.62,-125.06,-129.76
