timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.95,-10.85,9.62,-25.63,-6.96,-11.72
10,1.92,-10.17,8.97,-22.09,-3.72,-1.59
20,2.52,-10.80,8.96,-12.21,-1.77,14.47
30,2.15,-10.31,8.03,-0.73,-2.50,21.97
40,2.19,-10.09,7.58,4.33,-1.83,32.04
50,2.27,-9.83,7.12,7.63,0.37,42.11
60,2.19,-9.53,6.42,9.16,3.85,51.33
70,1.96,-9.24,5.79,6.96,6.77,60.67
80,1.93,-8.21,5.44,-4.15,8.97,79.35
90,1.79,-7.69,5.55,-6.35,8.36,86.73
100,1.44,-7.26,5.68,-6.10,5.62,93.99
110,1.11,-6.82,5.84,-2.75,1.65,103.09
120,1.12,-6.56,5.94,3.17,-2.87,113.77
130,0.66,-6.18,5.35,15.20,-14.83,134.09
140,-0.20,-5.63,6.19,17.40,-22.34,145.45
150,0.04,-4.87,4.99,16.85,-28.44,155.15
160,-0.44,-4.53,5.15,16.17,-27.65,167.66
170,-0.47,-4.07,4.96,13.79,-29.91,176.15
180,-0.92,-3.48,5.03,5.37,-37.11,191.22
190,-1.75,-0.38,5.78,-2.01,-39.67,203.80
200,-1.70,1.65,6.38,-8.00,-41.93,218.63
210,-1.06,3.33,7.07,-9.28,-47.42,232.67
220,-0.32,4.55,7.43,-3.85,-55.42,240.60
230,0.44,5.21,7.61,6.65,-62.68,231.63
240,0.78,5.76,6.98,27.89,-80.99,219.73
250,0.66,6.15,6.53,32.29,-90.76,209.35
260,0.73,6.60,6.29,32.04,-97.90,202.39
270,0.95,7.20,6.43,28.56,-101.56,196.04
280,1.10,8.01,6.88,24.17,-101.75,188.72
290,1.68,9.77,7.71,19.59,-100.22,169.43
300,2.05,10.60,7.77,19.29,-100.65,156.80
310,2.47,11.18,7.90,19.10,-101.68,143.25
320,3.06,11.51,7.95,21.12,-102.54,128.85
330,2.65,12.08,8.27,26.79,-103.21,114.56
340,3.05,12.61,8.67,36.80,-111.08,74.83
350,3.05,12.88,9.26,41.81,-114.75,52.73
360,2.92,12.97,10.01,43.64,-119.08,32.35
370,2.59,12.80,10.54,42.85,-125.00,14.47
380,2.72,12.58,12.28,41.75,-130.68,-2.26
390,1.49,12.88,11.38,39.31,-137.94,-27.28
400,1.64,11.53,12.58,38.51,-126.34,-37.54
410,1.52,11.52,12.77,31.07,-116.09,-51.88
420,1.89,11.49,12.99,25.09,-104.98,-69.76
430,1.93,11.31,13.28,21.00,-91.37,-89.23
440,1.89,10.87,13.67,19.96,-88.62,-111.39
450,1.30,8.87,14.06,30.33,-86.36,-151.18
460,0.86,7.68,14.31,35.03,-82.82,-166.26
470,0.41,6.55,14.79,37.35,-77.21,-177.49
480,0.04,5.15,15.50,39.49,-72.20,-186.34
490,-0.26,3.75,16.04,42.11,-67.93,-193.66
500,-0.54,0.71,16.39,47.00,-51.82,-200.32
510,-0.65,-0.97,16.25,45.41,-39.86,-198.30
520,-0.86,-2.84,15.77,40.28,-27.77,-193.97
530,-1.10,-4.68,15.51,27.22,-15.32,-188.17
540,-1.24,-6.26,15.91,6.41,-2.50,-180.18
550,-1.35,-7.87,16.50,-36.62,24.35,-156.37
560,-2.05,-10.09,18.24,-55.85,39.92,-139.34
570,-2.29,-10.38,19.04,-67.38,54.44,-117.25
580,-2.41,-10.45,19.61,-68.42,67.38,-90.94
590,-2.20,-10.33,19.52,-58.65,77.82,-64.21
600,-1.87,-10.04,18.58,-42.85,85.51,-13.12
610,-0.48,-8.92,15.36,-18.86,95.76,9.95
620,0.32,-8.05,13.97,-16.66,99.55,30.46
630,0.96,-6.97,12.85,-18.92,103.21,45.96
640,1.42,-5.78,12.08,-23.80,106.81,56.70
650,1.75,-4.63,11.83,-29.60,109.19,64.51
660,2.12,-2.23,12.39,-35.89,113.71,70.37
670,2.15,-1.22,12.53,-32.10,119.63,68.91
680,2.05,-0.37,12.37,-25.27,127.44,65.25
690,2.07,0.38,11.94,-18.74,135.62,61.10
700,2.23,1.09,11.59,-13.18,142.27,58.04
710,2.44,1.74,11.54,-0.43,144.10,51.70
720,2.67,2.49,11.36,8.79,143.37,46.39
730,2.44,2.48,11.07,18.13,144.41,39.12
740,1.98,2.40,10.78,25.57,147.03,30.70
750,1.51,2.19,10.25,31.19,151.98,22.58
760,1.15,1.86,9.42,35.16,163.57,12.51
770,0.69,1.34,7.86,33.63,166.69,10.99
780,0.73,1.06,7.19,32.17,167.91,11.41
790,0.76,0.91,6.04,32.04,166.93,13.49
800,0.77,0.69,4.90,31.98,161.74,16.24
810,0.82,0.38,4.12,30.03,150.15,19.41
820,0.74,0.24,3.11,24.29,126.77,28.32
830,0.82,0.49,2.72,23.99,120.48,34.18
840,0.99,0.77,2.10,23.86,112.79,40.59
850,1.26,1.05,1.54,23.50,102.78,45.96
860,1.60,1.28,0.98,22.40,92.10,51.03
870,2.03,2.20,0.37,13.98,69.64,59.39
880,2.89,3.04,0.59,8.18,59.57,62.68
890,3.61,3.82,0.85,5.07,51.21,64.09
900,4.27,4.38,1.03,5.49,42.48,62.74
910,4.69,4.87,1.21,7.26,32.84,58.53
920,4.97,5.31,1.58,6.96,15.14,47.49
930,5.42,5.76,2.83,6.53,8.00,41.32
940,5.65,5.77,3.56,6.29,2.14,35.03
950,5.76,5.79,4.24,7.26,-1.95,28.93
960,5.83,5.70,4.84,8.91,-4.76,22.83
970,5.90,5.52,5.38,10.93,-8.85,12.27
980,6.13,4.95,6.36,12.88,-10.07,7.45
990,6.20,4.71,6.70,13.43,-10.56,3.23
