timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,7.04,4.71,5.26,-0.79,6.47,-3.66
10,5.62,5.24,4.87,7.14,10.62,-7.45
20,6.62,4.05,4.47,2.14,2.50,-8.85
30,6.39,4.01,4.53,-1.95,-2.87,-8.54
40,6.54,4.08,4.75,-4.21,-3.11,-4.70
50,6.53,4.11,4.73,-2.32,-3.97,-1.95
60,6.45,4.10,4.66,2.14,-4.70,14.83
70,6.38,3.88,4.10,11.96,-6.71,2.50
80,6.50,3.84,3.84,14.59,-6.53,3.11
90,6.41,3.74,3.53,16.30,-5.68,1.89
100,6.25,3.65,3.26,16.54,-4.52,-0.12
110,6.15,3.58,3.03,17.33,-4.58,-1.65
120,5.93,3.20,2.71,18.55,-8.24,-1.89
130,5.30,2.93,2.46,19.41,-12.15,0.31
140,5.02,2.77,2.14,20.39,-16.05,4.09
150,5.25,2.60,0.85,19.53,-22.22,9.34
160,3.61,2.79,1.84,17.40,-36.25,14.28
170,3.93,3.16,1.71,17.82,-49.99,28.32
180,3.41,3.15,1.61,20.14,-57.98,33.08
190,2.64,3.14,1.74,22.89,-66.59,36.38
200,2.20,3.33,1.68,25.21,-75.20,37.60
210,2.24,3.41,1.58,27.10,-84.05,39.37
220,1.70,3.67,1.71,28.44,-100.46,54.38
230,0.75,4.43,2.50,26.06,-109.68,61.77
240,0.10,4.40,3.08,23.86,-120.24,68.42
250,0.21,5.80,3.73,18.13,-130.43,81.12
260,0.79,6.85,4.82,23.93,-140.81,95.83
270,1.17,7.80,5.11,40.10,-148.62,95.09
280,1.69,7.91,5.23,70.98,-157.10,58.11
290,1.73,7.84,5.35,79.96,-163.94,39.31
300,1.36,8.01,5.72,86.49,-173.83,24.96
310,1.07,8.00,6.01,90.52,-186.89,12.45
320,0.30,8.25,6.43,91.37,-198.30,-0.43
330,0.51,7.82,8.32,76.97,-191.96,-27.04
340,1.35,7.90,9.52,71.72,-181.88,-32.96
350,0.76,8.12,10.58,64.70,-179.38,-39.37
360,1.38,8.48,11.69,56.95,-172.91,-48.40
370,1.36,9.08,13.01,52.98,-167.66,-56.15
380,0.95,9.18,14.03,52.49,-155.58,-82.03
390,0.78,8.36,14.91,51.88,-143.37,-97.05
400,0.80,7.59,15.31,46.88,-133.30,-110.84
410,0.74,7.07,15.93,39.98,-126.16,-123.35
420,0.79,6.53,16.42,34.24,-118.84,-133.00
430,0.19,6.60,16.74,27.22,-110.90,-143.62
440,0.85,6.59,17.37,8.42,-87.71,-145.08
450,1.16,6.89,17.84,-0.61,-74.89,-149.05
460,1.52,7.07,18.16,-6.16,-62.99,-155.09
470,2.10,6.81,18.42,-9.70,-51.21,-161.68
480,2.51,6.45,18.75,-11.78,-39.06,-170.17
490,2.31,4.68,18.84,-14.34,-12.57,-189.45
500,2.17,3.76,18.80,-18.19,2.38,-198.43
510,2.04,3.02,18.53,-24.48,18.92,-204.47
520,1.84,2.43,18.27,-33.39,36.07,-208.86
530,1.80,1.87,18.27,-44.86,51.51,-212.04
540,1.77,1.42,18.33,-59.27,77.94,-215.27
550,1.66,0.60,18.54,-57.01,89.17,-212.52
560,1.48,-0.04,18.25,-48.46,98.94,-207.64
570,1.05,-0.89,17.29,-37.11,107.97,-201.78
580,0.72,-1.27,16.84,-28.32,117.37,-195.37
590,0.22,-1.99,15.54,-21.24,127.01,-177.80
600,0.32,-2.71,14.07,-27.83,133.12,-168.03
610,0.64,-2.75,13.51,-32.78,140.50,-158.51
620,1.02,-2.98,12.71,-33.51,145.87,-148.93
630,1.22,-3.03,12.07,-30.64,151.12,-142.46
640,1.24,-3.17,11.37,-26.25,154.66,-136.90
650,0.81,-3.73,9.79,-16.72,152.22,-115.72
660,0.93,-4.01,9.17,-14.47,151.06,-102.42
670,1.05,-4.08,8.68,-12.70,150.63,-89.54
680,1.16,-4.03,8.21,-10.25,149.35,-76.54
690,1.32,-3.94,7.80,-6.77,146.55,-62.81
700,1.45,-3.87,7.05,4.09,140.56,-35.77
710,1.77,-3.79,6.65,10.19,138.12,-23.93
720,1.75,-3.76,6.28,16.60,135.19,-13.92
730,1.64,-3.85,5.78,23.19,130.80,-5.43
740,1.43,-3.99,5.03,27.71,126.95,2.38
750,1.31,-4.08,4.50,27.28,121.09,20.57
760,1.00,-3.96,3.61,23.68,118.29,30.52
770,0.84,-3.70,3.00,19.53,116.33,41.69
780,0.79,-3.32,2.44,14.77,114.38,54.44
790,0.75,-2.86,1.95,10.38,110.66,68.18
800,0.88,-2.43,1.52,7.32,104.61,94.12
810,1.29,-1.47,1.21,5.86,90.21,105.10
820,1.37,-1.08,1.28,9.34,82.89,114.75
830,1.36,-0.81,1.26,16.11,75.38,122.50
840,1.39,-0.65,1.07,24.60,67.99,129.82
850,1.37,-0.34,0.65,31.56,60.67,138.06
860,1.31,0.62,0.21,34.12,49.56,159.30
870,1.33,1.22,0.38,33.26,41.69,171.14
880,1.28,1.77,0.65,34.06,33.33,181.34
890,1.29,2.17,1.04,36.07,25.02,189.21
900,1.29,2.49,1.41,38.82,17.58,195.07
910,1.27,2.61,1.69,45.53,5.68,202.33
920,1.10,3.06,1.88,45.65,1.22,206.60
930,1.13,3.57,2.19,44.19,-2.81,211.61
940,1.03,4.32,2.36,43.21,-8.24,215.70
950,0.92,5.29,2.56,41.32,-13.49,220.70
960,1.14,6.24,3.12,39.25,-21.18,232.36
970,1.56,7.83,4.35,42.85,-26.37,233.70
980,1.75,8.51,4.87,46.08,-28.63,230.65
990,1.93,9.05,5.48,49.26,-29.36,225.46
