timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,0.52,-1.84,14.06,100.46,-80.87,-53.89
10,2.57,-0.89,15.92,78.92,-67.32,-36.32
20,2.24,-0.88,16.09,55.79,-67.87,-16.05
30,0.98,-1.24,16.64,33.63,-68.85,13.92
40,-0.20,-0.64,17.60,-0.43,-61.89,53.28
50,-1.90,0.09,21.98,-5.31,-55.54,58.47
60,-2.54,0.08,24.45,-5.86,-44.86,52.12
70,-2.96,-0.07,26.08,-3.91,-25.82,34.18
80,-3.00,-0.72,27.16,-0.79,4.15,12.33
90,-2.40,-1.38,27.55,1.65,71.90,-15.87
100,-0.97,-2.29,25.77,5.55,103.27,-19.10
110,-0.83,-2.59,24.05,7.75,125.61,-17.88
120,-0.96,-2.75,21.62,9.52,143.74,-14.04
130,-0.96,-2.60,19.18,13.06,159.12,-11.29
140,-0.74,-2.36,17.24,20.87,172.49,-9.46
150,-0.19,-1.59,14.66,38.45,193.85,-6.10
160,-1.19,-1.68,14.45,45.10,191.89,-6.90
170,-1.24,-2.28,13.13,50.72,191.04,-3.78
180,0.28,-1.46,12.49,39.61,200.87,-5.37
190,-0.27,-0.92,10.94,42.11,193.85,-16.17
200,-0.12,-1.69,10.58,55.66,198.97,-23.07
210,0.02,-2.14,8.62,61.52,198.30,-25.45
220,0.97,-2.12,8.35,69.15,195.31,-22.03
230,1.61,-2.23,8.22,78.00,187.44,-13.73
240,1.57,-2.21,8.06,85.45,176.15,-6.65
250,1.49,-2.42,8.32,89.29,168.82,9.03
260,1.43,-3.33,9.11,70.43,168.46,17.09
270,1.19,-3.47,8.81,49.44,165.65,22.28
280,1.18,-3.45,8.21,30.40,161.74,23.50
290,1.28,-3.42,7.49,16.66,157.35,22.64
300,1.46,-3.60,6.90,7.08,152.40,22.22
310,2.12,-3.70,5.59,-2.14,141.78,28.56
320,2.23,-3.41,4.73,-1.10,139.22,36.32
330,2.20,-3.06,3.93,4.88,138.24,46.20
340,2.36,-2.64,3.40,16.42,137.02,56.88
350,2.35,-2.33,3.03,28.75,134.46,67.87
360,2.06,-1.78,1.60,42.24,124.94,83.07
370,1.86,-1.53,0.97,44.80,118.65,85.39
380,1.91,-1.40,0.48,45.72,108.89,84.53
390,1.94,-1.38,-0.01,46.88,96.62,81.12
400,2.04,-1.33,-0.44,45.53,83.80,75.93
410,2.16,-1.21,-0.77,35.95,56.64,69.03
420,2.56,-0.82,-1.39,28.93,41.63,68.97
430,2.78,-0.41,-1.69,21.67,26.92,71.04
440,2.85,-0.00,-1.94,17.03,12.63,75.01
450,2.91,0.10,-1.97,17.82,-0.55,78.74
460,3.09,0.26,-1.99,22.83,-20.51,83.86
470,3.51,0.88,-1.43,33.87,-28.14,88.26
480,3.62,1.10,-1.00,37.96,-37.29,93.81
490,3.66,1.38,-0.52,40.59,-46.63,97.90
500,3.63,1.95,-0.04,41.87,-55.73,99.98
510,3.59,2.55,0.37,42.54,-64.82,101.20
520,3.56,3.47,1.29,45.72,-79.53,98.75
530,3.61,4.03,1.98,45.23,-84.11,96.37
540,3.60,4.62,2.63,41.63,-89.54,95.64
550,3.56,5.34,3.30,35.28,-96.50,95.21
560,3.46,6.35,4.11,25.45,-103.45,95.03
570,3.30,7.38,5.25,1.16,-120.48,94.24
580,2.61,9.90,5.74,-5.31,-127.44,88.75
590,2.22,11.17,6.32,-2.44,-131.10,79.04
600,1.69,11.88,7.40,8.36,-130.43,65.61
610,1.15,12.37,8.72,19.84,-126.83,47.67
620,0.89,12.83,9.98,22.46,-117.37,5.43
630,0.51,13.81,12.08,13.43,-116.21,-15.87
640,0.37,14.21,12.44,1.89,-116.70,-37.96
650,0.23,14.25,12.71,-7.81,-115.54,-63.60
660,-0.02,13.59,12.95,-12.70,-112.92,-92.90
670,-0.19,12.43,13.30,-13.06,-108.52,-157.90
