timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.55,0.02,9.71,4.58,0.67,-1.89
10,-0.22,0.32,10.61,2.62,3.17,-2.01
20,-0.47,0.20,9.78,3.48,0.43,-1.95
30,-0.42,0.17,9.81,3.48,0.00,-2.01
40,-0.35,0.19,10.10,2.87,-0.73,-1.95
50,-0.35,0.23,10.01,3.05,-1.40,-1.83
60,-0.35,0.15,10.01,2.93,-2.01,-1.89
70,-0.35,0.27,9.81,2.69,-2.75,-1.77
80,-0.06,0.68,11.16,2.38,-3.11,-1.77
90,-0.46,0.73,8.99,-0.92,-2.44,2.75
100,-0.54,-0.14,9.82,2.69,-2.14,1.77
110,-0.44,0.19,9.81,2.08,-1.46,-0.92
120,-0.43,0.19,9.87,2.81,-1.22,-1.83
130,-0.41,0.23,9.81,2.69,-1.16,-1.77
140,-0.41,0.23,9.90,2.87,-0.98,-1.77
150,-0.43,0.20,9.85,2.75,-1.46,-1.34
160,-0.45,0.16,9.85,2.81,-1.28,-1.34
170,-0.43,0.16,9.86,2.62,-1.16,-1.40
180,-0.42,0.21,9.83,2.75,-1.10,-1.71
190,-0.42,0.18,9.90,3.11,-1.22,-1.71
200,-0.43,0.22,9.91,3.05,-0.98,-1.95
210,-0.42,0.25,9.81,2.56,-1.10,-1.95
220,-0.42,0.18,9.91,2.93,-0.98,-1.83
230,-0.43,0.23,9.82,2.62,-1.10,-1.83
240,-0.42,0.19,9.89,2.99,-0.92,-1.83
250,-0.42,0.22,9.85,2.69,-0.85,-1.83
260,-0.42,0.21,9.85,3.36,-0.85,-1.89
270,-0.42,0.23,9.86,2.93,-0.85,-2.01
280,-0.43,0.20,9.85,3.05,-0.98,-1.95
290,-0.42,0.22,9.88,2.81,-1.10,-1.77
300,-0.42,0.21,9.84,3.11,-0.79,-1.89
310,-0.42,0.20,9.87,3.05,-1.10,-1.89
320,-0.44,0.23,9.83,2.93,-1.04,-1.77
330,-0.41,0.20,9.89,3.11,-0.98,-1.89
340,-0.42,0.24,9.82,2.69,-1.16,-1.89
350,-0.43,0.19,9.89,2.93,-0.92,-1.83
360,-0.43,0.19,9.90,3.30,-0.98,-1.95
370,-0.43,0.23,9.83,2.99,-1.04,-1.89
380,-0.44,0.19,9.88,2.87,-0.98,-1.83
390,-0.43,0.23,9.84,2.93,-1.04,-1.83
400,-0.42,0.20,9.87,2.99,-0.85,-1.95
410,-0.43,0.21,9.84,3.17,-0.85,-1.89
420,-0.43,0.22,9.81,2.75,-1.04,-1.89
430,-0.41,0.19,9.92,2.93,-1.10,-1.95
440,-0.43,0.23,9.81,3.05,-0.98,-1.89
450,-0.41,0.17,9.92,3.05,-1.04,-1.95
460,-0.42,0.23,9.84,3.30,-0.79,-1.95
470,-0.42,0.23,9.82,2.99,-0.98,-1.95
480,-0.42,0.19,9.89,3.17,-0.92,-1.95
490,-0.43,0.22,9.83,2.87,-1.04,-1.89
500,-0.43,0.20,9.87,3.05,-0.85,-1.89
510,-0.42,0.22,9.87,2.93,-0.92,-1.89
520,-0.43,0.20,9.83,2.87,-0.98,-1.83
530,-0.42,0.23,9.88,2.81,-1.04,-1.83
540,-0.42,0.20,9.82,2.93,-0.98,-1.89
550,-0.42,0.22,9.90,2.81,-0.98,-1.95
560,-0.44,0.21,9.81,2.99,-1.16,-2.01
570,-0.40,0.21,9.78,3.42,-1.40,-1.83
580,-0.43,0.18,9.91,2.99,-1.10,-1.95
590,-0.43,0.24,9.81,2.93,-0.98,-1.89
600,-0.42,0.18,9.90,3.11,-0.85,-1.95
610,-0.43,0.23,9.83,3.11,-1.16,-1.95
620,-0.44,0.19,9.87,2.93,-1.10,-1.89
630,-0.42,0.21,9.86,2.56,-0.92,-1.77
640,-0.42,0.20,9.87,2.87,-0.98,-1.89
650,-0.42,0.22,9.83,2.75,-1.22,-1.77
660,-0.43,0.20,9.90,2.93,-0.85,-1.83
670,-0.44,0.22,9.82,2.87,-1.04,-1.89
680,-0.43,0.22,9.83,2.75,-0.92,-2.01
690,-0.42,0.20,9.89,2.87,-1.04,-1.89
700,-0.41,0.22,9.85,2.69,-1.10,-1.83
710,-0.42,0.20,9.87,2.93,-1.04,-1.83
720,-0.41,0.22,9.84,2.93,-1.22,-1.83
730,-0.43,0.22,9.85,2.93,-1.22,-1.83
740,-0.43,0.20,9.86,3.11,-1.10,-2.01
750,-0.42,0.21,9.85,3.11,-1.22,-2.01
760,-0.42,0.21,9.86,3.05,-1.28,-1.83
770,-0.43,0.21,9.86,2.87,-1.10,-1.83
780,-0.42,0.20,9.87,3.05,-1.16,-1.89
790,-0.43,0.20,9.86,2.99,-1.16,-1.89
800,-0.45,0.21,9.84,3.11,-1.22,-1.89
810,-0.42,0.21,9.87,3.05,-1.10,-1.89
820,-0.43,0.21,9.85,3.17,-1.16,-1.77
830,-0.42,0.21,9.87,2.99,-1.28,-1.83
840,-0.42,0.20,9.86,2.99,-1.22,-1.83
850,-0.43,0.20,9.85,2.99,-1.22,-1.89
860,-0.43,0.20,9.85,2.87,-1.10,-1.95
870,-0.43,0.21,9.85,2.99,-1.10,-1.89
880,-0.43,0.20,9.87,3.42,-0.92,-1.83
890,-0.43,0.21,9.86,2.87,-0.85,-1.89
900,-0.43,0.21,9.84,2.75,-0.98,-1.89
910,-0.42,0.21,9.86,2.81,-0.85,-1.95
920,-0.44,0.21,9.88,2.75,-0.79,-1.95
930,-0.43,0.20,9.84,3.11,-0.92,-1.95
940,-0.43,0.22,9.90,2.69,-0.67,-2.01
950,-0.44,0.20,9.85,2.81,-0.98,-1.89
960,-0.44,0.20,9.84,2.87,-0.79,-1.83
970,-0.42,0.21,9.91,2.56,-0.79,-1.89
980,-0.43,0.21,9.87,3.05,-0.98,-1.95
990,-0.43,0.20,9.85,2.75,-0.92,-1.89
