timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.50,0.31,10.06,-1.28,-4.46,-1.77
10,-0.31,0.37,9.86,2.26,-2.20,-1.83
20,-0.26,0.28,9.90,3.05,-1.53,-1.89
30,-0.27,0.28,9.90,2.99,-1.34,-1.89
40,-0.27,0.27,9.88,2.75,-1.28,-1.89
50,-0.27,0.28,9.87,2.87,-1.10,-1.89
60,-0.26,0.28,9.88,2.93,-1.04,-1.83
70,-0.26,0.28,9.88,2.69,-0.79,-1.89
80,-0.26,0.27,9.90,2.75,-0.79,-1.83
90,-0.27,0.29,9.87,2.69,-0.73,-1.83
100,-0.26,0.27,9.89,2.50,-0.79,-1.89
110,-0.30,0.33,9.81,2.81,-0.49,-1.95
120,-0.61,1.40,8.79,1.40,-0.61,-1.53
130,0.07,-0.12,10.19,4.03,1.83,-1.59
140,-0.74,0.88,9.40,1.28,-0.61,-1.77
150,-0.05,-0.00,10.07,7.93,3.42,-2.14
160,-0.29,0.35,9.82,3.05,-0.73,-1.95
170,-0.26,0.32,9.88,2.44,-1.16,-1.83
180,-0.28,0.34,9.87,3.54,-0.49,-1.89
190,-0.49,0.70,9.81,5.49,1.10,-1.77
200,-0.65,1.13,9.81,8.18,3.30,0.73
210,-0.58,1.05,9.85,14.47,7.45,17.94
220,-0.22,0.12,9.92,13.92,7.26,24.35
230,0.02,-0.15,9.91,12.57,5.74,25.94
240,0.26,-0.41,9.90,9.03,3.36,23.62
250,-0.02,-0.18,9.87,2.62,-1.34,19.78
260,0.04,-0.25,9.86,2.75,-1.46,7.63
270,-0.15,0.12,9.87,2.87,-0.92,3.11
280,-0.24,0.28,9.87,2.50,-1.16,1.83
290,-0.33,0.44,9.88,2.81,-1.04,2.56
300,-0.32,0.39,9.85,2.75,-1.16,5.13
310,-0.09,-0.01,9.90,3.66,-0.73,5.74
320,-0.66,0.56,9.82,2.93,-1.16,5.25
330,-0.35,0.24,9.88,3.78,-0.31,6.65
340,-0.34,0.14,9.89,3.30,-0.67,7.26
350,-0.66,0.35,9.85,4.46,0.24,5.92
360,0.07,0.03,9.90,4.27,-0.24,3.54
370,-0.02,0.41,9.83,3.48,-0.73,0.79
380,-0.01,0.26,9.90,2.50,-1.40,3.30
390,-0.13,-0.10,9.88,3.72,-0.31,6.84
400,-0.26,0.22,9.85,1.28,-1.89,7.51
410,0.37,-0.27,9.90,1.95,-1.89,8.79
420,0.26,-0.27,9.87,1.22,-2.20,1.59
430,-0.30,0.35,9.84,0.98,-2.26,-1.53
440,-0.14,0.12,9.89,3.48,-0.73,-1.83
450,-0.18,0.17,9.88,3.72,-0.37,-1.83
460,-0.16,0.16,9.87,2.93,-0.92,-1.83
470,-0.19,0.20,9.87,2.62,-0.98,-1.89
480,-0.17,0.17,9.88,2.99,-0.98,-1.83
490,-0.19,0.18,9.87,2.87,-1.22,-1.89
500,-0.18,0.17,9.88,3.05,-1.10,-1.95
510,-0.17,0.17,9.88,3.05,-1.04,-1.89
520,-0.18,0.17,9.88,2.87,-1.10,-1.89
530,-0.17,0.17,9.87,2.81,-0.98,-1.89
540,-0.18,0.17,9.89,2.44,-1.16,-1.89
550,-0.18,0.17,9.87,2.69,-1.22,-1.89
560,-0.18,0.17,9.87,2.62,-1.40,-1.89
570,-0.17,0.17,9.87,2.75,-1.34,-1.89
580,-0.18,0.18,9.88,2.81,-1.04,-1.95
590,-0.17,0.18,9.87,2.62,-1.16,-1.83
600,-0.17,0.18,9.87,2.69,-1.22,-1.95
610,-0.18,0.19,9.88,2.75,-1.28,-1.89
620,-0.18,0.17,9.86,2.87,-1.22,-1.95
630,-0.18,0.18,9.87,2.81,-1.04,-1.83
640,-0.18,0.18,9.88,2.81,-0.98,-1.83
650,-0.18,0.18,9.88,2.69,-1.04,-1.89
660,-0.18,0.19,9.87,2.75,-1.04,-1.83
670,-0.18,0.18,9.87,2.69,-1.22,-1.83
680,-0.19,0.18,9.89,3.17,-0.98,-1.83
690,-0.19,0.18,9.87,2.99,-0.85,-1.95
700,-0.18,0.18,9.88,3.05,-0.92,-1.89
710,-0.19,0.18,9.87,2.81,-0.92,-1.89
720,-0.18,0.18,9.88,2.93,-0.98,-1.83
730,-0.18,0.18,9.88,3.36,-0.98,-1.95
740,-0.19,0.19,9.88,3.05,-0.79,-1.95
750,-0.17,0.17,9.86,3.17,-0.67,-1.95
760,-0.18,0.18,9.87,3.30,-0.92,-1.95
770,-0.19,0.17,9.87,2.99,-1.10,-1.89
780,-0.19,0.19,9.87,3.17,-0.98,-1.89
790,-0.18,0.18,9.88,2.69,-1.04,-1.83
800,-0.18,0.18,9.89,2.62,-1.04,-1.83
810,-0.18,0.18,9.89,2.87,-0.92,-1.83
820,-0.18,0.17,9.90,2.87,-0.98,-1.83
830,-0.18,0.19,9.86,3.05,-1.04,-1.95
840,-0.17,0.18,9.87,3.05,-0.98,-1.95
850,-0.18,0.17,9.88,2.87,-0.85,-2.01
860,-0.17,0.17,9.88,2.87,-0.79,-1.89
870,-0.18,0.17,9.90,2.93,-0.85,-1.95
880,-0.18,0.17,9.87,3.05,-1.04,-1.83
890,-0.18,0.17,9.87,2.93,-1.04,-1.77
900,-0.18,0.18,9.87,2.81,-0.98,-1.89
910,-0.17,0.17,9.87,2.75,-1.04,-1.83
920,-0.17,0.18,9.87,2.81,-0.79,-1.83
930,-0.17,0.17,9.87,3.05,-1.10,-1.71
940,-0.17,0.17,9.88,3.11,-0.92,-1.89
950,-0.18,0.17,9.87,2.93,-1.10,-1.83
960,-0.18,0.18,9.87,2.93,-1.04,-1.89
970,-0.18,0.17,9.87,2.81,-0.92,-1.83
980,-0.19,0.17,9.86,3.11,-1.16,-1.89
990,-0.18,0.16,9.87,2.99,-1.16,-1.89
