timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,2.41,-1.75,0.58,-219.06,193.66,262.76
10,2.86,-2.03,-1.04,-132.08,158.02,244.26
20,4.30,-0.64,-0.03,-86.73,145.94,246.40
30,4.40,-0.87,1.24,-53.65,130.92,256.77
40,3.98,-0.20,2.15,-40.34,110.72,266.60
50,3.81,0.59,2.79,-37.29,92.04,267.46
60,3.91,1.13,3.19,-38.82,78.55,251.34
70,4.79,1.18,3.03,-32.78,67.75,244.08
80,5.45,1.22,2.79,-24.11,68.85,238.04
90,6.05,0.77,2.70,-13.98,65.43,238.83
100,6.11,-0.11,3.32,-0.06,61.77,251.89
110,5.80,-0.43,4.15,9.22,67.02,276.79
120,5.88,0.27,3.96,-5.92,70.13,330.08
130,3.62,0.36,3.39,-13.49,57.80,344.42
140,2.54,1.11,2.67,-13.49,38.82,345.70
150,0.85,2.41,1.61,-6.59,14.89,336.61
160,0.02,3.14,1.37,1.34,0.00,323.55
170,0.22,4.21,1.46,28.02,-5.74,293.27
180,0.36,5.61,1.70,47.30,-6.35,282.47
190,0.52,6.01,2.63,69.21,-7.51,273.19
200,0.58,6.32,2.14,85.45,-4.82,264.59
210,0.49,7.16,2.31,86.49,-1.04,254.82
220,-0.06,7.43,1.97,82.95,-28.38,245.36
230,-0.76,8.70,1.47,84.84,-49.74,242.92
240,-1.86,9.19,1.76,95.64,-74.52,242.43
250,-3.08,9.50,2.09,110.11,-98.51,241.70
260,-4.46,10.16,2.69,122.56,-113.53,236.76
270,-5.92,11.25,3.78,135.44,-120.61,223.45
280,-8.54,13.50,5.85,178.65,-123.11,174.07
290,-9.02,13.62,7.35,202.45,-110.05,136.29
300,-9.03,13.18,8.97,215.45,-94.06,93.38
310,-8.80,12.50,9.99,209.78,-80.93,50.60
320,-8.76,12.19,9.98,188.60,-69.70,10.74
330,-8.74,12.04,9.20,165.41,-50.23,-61.58
340,-7.48,11.73,9.50,175.35,-50.29,-97.72
350,-7.04,11.42,9.83,187.50,-55.05,-131.90
360,-6.61,10.79,10.72,198.43,-51.39,-162.96
370,-6.33,9.86,11.40,200.62,-44.56,-194.34
380,-6.73,8.97,11.35,190.67,-36.62,-254.76
390,-5.95,7.89,10.31,206.12,-28.32,-287.11
400,-5.21,7.25,10.27,232.24,-12.70,-318.24
410,-4.48,5.92,10.46,259.77,7.69,-344.48
420,-4.22,4.17,10.39,279.60,29.24,-364.32
430,-4.02,2.91,9.76,292.91,48.03,-394.78
440,-2.65,1.78,7.02,346.13,75.01,-399.54
450,-2.42,0.53,6.29,380.68,87.95,-405.82
460,-2.29,-0.73,5.29,410.10,96.13,-410.03
470,-2.25,-2.00,4.58,435.42,95.89,-409.12
480,-2.23,-3.66,3.71,458.74,88.26,-407.35
490,-2.26,-6.13,3.98,469.18,69.89,-406.43
500,-2.76,-6.75,4.33,455.38,58.29,-408.08
510,-3.31,-7.17,4.53,434.69,43.64,-409.85
520,-3.45,-7.52,4.59,413.70,29.05,-408.75
530,-3.37,-7.76,4.51,398.86,14.22,-402.28
540,-2.92,-7.91,4.11,401.12,0.85,-380.31
550,-5.14,-10.31,3.49,407.29,12.21,-371.52
560,-6.13,-11.17,3.36,404.05,32.29,-365.66
570,-6.28,-11.81,3.86,392.40,50.96,-356.63
580,-5.40,-12.46,4.76,364.62,60.18,-342.65
590,-4.85,-13.50,5.59,228.64,43.46,-289.43
600,-4.22,-13.72,5.71,145.57,16.91,-250.55
610,-4.28,-14.30,4.30,84.11,-10.38,-205.44
620,-4.62,-14.72,3.05,38.76,-19.35,-165.53
630,-4.81,-14.57,2.62,16.97,-5.13,-136.29
640,-5.45,-13.71,2.71,7.08,19.29,-114.32
650,-5.79,-12.50,2.85,10.44,52.06,-63.66
660,-5.31,-12.78,4.10,13.06,60.67,-40.89
670,-5.49,-12.76,4.80,17.40,64.39,-19.65
680,-5.57,-12.14,5.75,16.48,73.12,-1.65
690,-5.63,-12.14,7.01,12.57,91.49,19.35
700,-5.30,-13.65,8.84,-2.01,157.96,65.73
710,-4.20,-13.36,8.96,-26.86,196.17,90.70
720,-3.77,-12.92,8.37,-58.72,224.73,118.77
730,-3.56,-12.46,7.89,-88.13,244.14,146.61
740,-3.53,-11.61,7.30,-111.08,257.02,169.43
750,-3.51,-10.78,6.27,-143.37,279.60,205.26
760,-3.63,-9.79,5.60,-158.87,290.34,221.01
770,-4.38,-10.04,4.88,-177.98,292.60,232.12
780,-4.33,-10.16,4.68,-196.11,299.68,233.89
790,-3.82,-9.89,4.92,-215.82,309.94,230.53
800,-3.13,-9.81,4.99,-234.01,299.26,227.84
810,-1.89,-9.86,4.48,-258.24,300.29,229.92
820,-1.34,-9.64,4.21,-267.52,282.41,232.42
830,-0.84,-9.31,3.88,-271.12,260.74,231.93
840,-0.48,-8.81,3.51,-270.08,238.59,229.31
850,0.52,-8.14,3.29,-266.11,218.14,225.28
860,2.04,-6.15,3.07,-253.66,190.25,218.99
870,2.86,-5.67,3.01,-247.07,185.18,222.41
880,3.30,-4.85,2.79,-242.98,182.74,232.48
890,3.45,-4.09,3.02,-239.99,182.74,249.15
900,3.67,-4.15,3.07,-236.08,183.47,270.02
910,3.26,-4.04,2.68,-234.07,166.69,311.52
920,3.46,-3.22,1.49,-226.14,154.24,329.53
930,3.51,-2.34,1.28,-210.51,145.81,342.83
940,3.76,-1.64,1.33,-188.54,139.77,355.04
950,3.46,-0.97,1.47,-161.07,128.66,368.84
960,2.79,-0.18,2.05,-101.62,104.19,392.94
970,2.56,1.90,3.65,-89.54,94.73,396.67
980,2.76,2.76,4.13,-74.16,85.75,397.83
990,2.86,3.61,4.15,-62.26,77.33,401.18
