timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.94,-7.60,10.02,17.82,-6.16,-49.74
10,3.72,-7.63,9.38,9.09,1.40,-48.89
20,3.62,-8.40,10.16,3.48,10.25,-42.48
30,3.27,-8.54,10.01,-1.77,10.56,-21.12
40,2.88,-8.72,9.32,2.38,26.25,-19.41
50,3.13,-8.51,8.77,4.09,33.75,-7.57
60,3.24,-8.49,7.86,5.68,39.18,1.59
70,2.85,-8.66,6.81,3.42,41.20,10.31
80,2.52,-8.65,6.26,-5.55,41.02,21.91
90,2.40,-7.70,6.71,-26.92,37.78,48.22
100,2.14,-7.61,6.90,-30.40,35.58,58.23
110,1.78,-7.34,7.01,-29.72,33.20,67.63
120,1.46,-7.11,6.97,-25.76,31.13,78.06
130,1.15,-6.84,6.79,-19.96,28.08,90.27
140,1.59,-6.10,5.28,-6.96,12.33,117.49
150,-0.09,-5.46,6.06,3.23,9.28,131.04
160,-0.09,-4.73,6.25,10.50,5.19,147.28
170,-0.20,-4.26,5.80,15.38,-1.04,162.84
180,-0.48,-3.52,5.81,19.17,-5.98,175.96
190,-0.48,-2.64,5.86,19.41,-8.97,197.39
200,-0.75,-1.41,5.09,21.00,-13.24,204.83
210,-0.90,-0.72,4.68,19.41,-16.85,211.73
220,-1.03,0.16,4.53,14.47,-22.58,219.73
230,-0.98,1.27,4.59,8.61,-28.93,229.25
240,-0.78,2.58,4.74,5.25,-34.85,238.71
250,-0.14,5.54,5.59,9.40,-50.35,252.14
260,0.25,6.75,5.91,19.10,-61.77,254.39
270,0.79,7.63,5.83,32.65,-72.63,251.65
280,1.27,8.09,5.39,45.10,-80.81,244.32
290,1.37,8.62,5.10,52.43,-86.12,231.69
300,1.33,9.30,4.95,50.17,-93.99,203.98
310,1.49,10.20,5.37,46.63,-100.04,188.29
320,1.39,10.66,5.90,42.54,-105.90,170.65
330,1.41,11.06,6.41,38.02,-108.83,154.30
340,1.49,11.61,6.75,34.91,-110.47,139.28
350,1.65,12.11,7.05,32.53,-115.97,108.52
360,2.40,12.90,7.80,31.92,-120.42,91.86
370,2.44,13.24,8.13,31.37,-126.83,75.13
380,2.69,13.14,8.58,32.78,-132.20,57.50
390,2.50,13.13,9.56,36.07,-135.31,38.82
400,2.27,13.16,9.89,38.15,-144.96,4.94
410,2.41,12.81,12.16,38.88,-137.08,-7.81
420,2.68,12.73,12.64,36.44,-130.49,-22.28
430,2.65,12.60,13.78,34.06,-117.31,-37.84
440,2.46,12.60,14.66,31.62,-112.37,-55.24
450,2.11,12.04,15.29,35.10,-108.83,-72.94
460,1.84,10.08,16.18,45.23,-101.01,-106.26
470,1.08,8.95,16.58,50.60,-93.26,-121.89
480,0.62,7.84,16.97,54.02,-84.23,-135.19
490,0.23,6.67,17.25,57.62,-73.97,-145.08
500,0.01,5.28,17.36,60.49,-63.48,-151.37
510,0.01,3.90,17.22,57.86,-45.35,-161.19
520,-0.13,1.22,16.44,47.18,-32.17,-164.31
530,-0.14,0.17,16.48,31.62,-14.53,-165.83
540,-0.22,-0.60,16.42,17.46,3.23,-165.77
550,-0.27,-1.23,16.14,7.20,19.47,-163.64
560,-0.24,-1.89,16.02,0.55,45.78,-151.43
570,-0.34,-3.03,15.70,-0.61,55.48,-142.09
580,-0.25,-3.49,15.38,1.77,63.17,-131.41
590,-0.08,-3.93,14.96,4.58,68.79,-119.08
600,0.05,-4.26,14.60,7.75,72.75,-105.22
610,0.25,-4.44,14.25,10.19,76.66,-90.15
620,0.68,-4.54,13.32,14.47,84.53,-59.39
630,0.89,-4.45,13.00,14.22,87.04,-46.88
640,1.10,-4.30,13.08,12.82,88.38,-36.68
650,1.17,-4.18,13.36,13.31,90.64,-28.81
660,1.16,-4.04,13.37,16.48,94.48,-22.22
670,1.09,-3.97,13.08,27.53,104.61,-8.24
680,1.10,-3.90,13.02,37.48,108.76,-1.46
690,1.10,-3.99,12.62,51.64,111.57,6.96
700,1.13,-4.13,11.83,66.65,112.00,16.85
710,1.20,-4.19,11.05,78.12,110.66,27.34
720,1.11,-4.02,10.44,92.10,106.63,46.81
730,0.86,-3.53,10.18,103.39,105.71,56.46
740,0.63,-3.10,9.71,122.19,104.31,68.42
750,0.58,-2.46,8.64,143.98,98.82,81.60
760,1.09,-1.83,7.50,158.26,89.05,94.79
770,1.82,-1.52,6.56,161.93,79.22,104.68
780,2.39,-0.96,6.46,151.92,69.76,100.10
790,2.23,-0.87,6.09,148.38,71.59,95.15
800,1.96,-0.77,6.28,146.97,74.40,92.65
810,1.55,-0.40,5.64,150.39,72.08,92.77
820,1.32,-0.17,4.04,152.83,64.94,97.17
830,1.61,0.59,2.36,122.50,39.31,106.69
840,1.91,1.03,2.79,93.44,26.37,107.91
850,2.20,1.55,3.27,67.20,20.45,104.98
860,2.49,2.19,3.58,43.58,21.85,99.00
870,2.81,2.80,3.86,23.07,25.63,91.00
880,3.08,3.43,4.12,-7.63,29.85,70.98
890,3.78,4.14,4.75,-17.52,29.91,60.12
900,3.98,4.25,5.03,-22.71,28.26,48.71
910,4.13,4.21,5.19,-24.23,25.76,38.64
920,4.33,4.03,5.33,-25.76,22.64,30.64
930,4.50,3.84,5.42,-27.65,17.52,17.46
940,4.90,3.50,6.40,-28.75,14.71,12.27
950,5.11,3.13,6.89,-22.34,9.95,8.36
960,5.22,2.61,7.19,-13.18,3.17,5.00
970,5.24,2.06,7.38,-4.70,-2.81,2.20
980,5.24,1.53,7.53,1.34,-6.77,-15.20
990,5.17,0.74,7.63,4.39,-9.16,-1.65
