timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,3.62,-0.39,4.76,-0.61,-58.72,-64.27
10,3.76,-0.38,4.82,8.48,-67.57,-64.45
20,3.14,-1.59,5.05,19.53,-75.99,-60.85
30,2.19,-1.64,4.85,24.41,-81.42,-58.72
40,1.80,-1.77,4.83,26.73,-77.03,-46.81
50,1.21,-2.18,4.33,19.96,-78.43,-41.08
60,0.86,-2.58,4.20,7.63,-76.48,-36.32
70,0.75,-2.30,4.91,-13.06,-71.41,-30.40
80,1.01,-1.39,5.90,-35.77,-63.66,-23.50
90,1.69,-0.40,6.68,-53.77,-43.88,-23.13
100,1.68,0.75,7.37,-66.28,-39.86,-29.66
110,1.25,1.04,7.47,-63.72,-41.50,-33.51
120,0.76,1.20,7.37,-57.19,-46.20,-32.29
130,1.87,0.79,5.91,-51.70,-53.34,-25.63
140,0.58,2.03,7.48,-53.65,-69.64,-18.19
150,1.06,2.43,7.67,-39.25,-75.07,-0.12
160,1.23,2.45,7.83,-38.45,-83.68,4.94
170,1.34,2.68,8.00,-38.27,-90.64,7.93
180,1.58,3.01,8.64,-36.07,-94.54,7.57
190,1.86,3.16,8.98,-31.62,-98.94,2.38
200,1.78,3.21,9.31,-18.80,-106.75,-16.66
210,1.09,3.05,9.53,-14.04,-110.29,-27.65
220,0.72,2.76,9.67,-9.64,-112.12,-36.80
230,0.53,2.43,9.77,-7.63,-112.79,-43.33
240,0.60,1.97,10.03,-8.30,-112.79,-46.26
250,0.70,1.53,10.50,-14.65,-114.32,-44.98
260,0.65,1.13,12.52,-16.42,-113.04,-42.91
270,0.70,1.40,14.06,-13.67,-110.60,-40.47
280,0.86,1.64,14.84,-3.11,-107.12,-38.82
290,0.88,1.50,14.99,14.16,-101.87,-39.06
300,0.66,1.40,14.88,29.54,-97.47,-45.17
310,0.46,1.38,14.94,37.84,-90.70,-49.62
320,0.41,1.26,15.12,33.57,-83.56,-56.09
330,0.20,1.21,15.61,25.33,-72.94,-65.31
340,-0.10,1.33,16.44,16.05,-59.94,-75.93
350,-0.31,1.48,17.30,9.52,-46.33,-85.21
360,-0.35,1.33,18.12,9.34,-22.83,-99.49
370,-0.44,1.14,18.08,11.41,-13.79,-104.61
380,-0.48,0.97,18.28,11.72,-5.19,-109.31
390,-0.57,0.88,18.49,13.24,3.85,-113.89
400,-0.68,0.66,18.41,16.85,15.20,-118.10
410,-0.81,0.36,18.05,18.49,42.42,-126.04
420,-1.02,-0.17,17.57,13.24,56.76,-130.86
430,-1.08,-0.55,17.43,6.71,72.20,-137.39
440,-1.30,-0.91,17.18,1.10,88.32,-145.87
450,-1.69,-1.37,16.87,-2.08,103.76,-154.60
460,-2.13,-1.93,16.50,-2.50,126.28,-164.43
470,-2.74,-3.39,15.28,0.55,134.89,-163.09
480,-2.97,-4.00,14.30,3.72,142.15,-157.71
490,-3.02,-4.65,12.99,7.08,146.61,-148.74
500,-2.85,-5.31,11.70,8.12,147.52,-136.72
510,-2.61,-5.79,10.50,5.43,145.20,-106.99
520,-1.86,-6.41,9.05,-4.27,138.55,-92.29
530,-1.38,-6.31,8.87,-7.32,135.44,-78.55
540,-1.21,-6.52,8.02,-7.51,132.45,-65.55
550,-0.88,-6.30,7.67,-6.04,132.26,-54.87
560,-0.85,-6.32,7.24,-5.86,129.64,-44.86
570,-0.74,-6.05,6.67,-6.59,121.46,-25.21
580,-0.42,-5.81,6.51,-7.02,115.91,-15.01
590,-0.34,-5.72,6.32,-6.59,110.53,-6.53
600,-0.22,-5.75,6.09,-4.46,107.48,0.06
610,-0.16,-5.77,5.80,-1.71,106.51,5.86
620,-0.19,-5.64,5.47,1.89,108.15,17.09
630,-0.29,-5.39,4.76,3.17,109.01,23.56
640,-0.29,-5.25,4.53,5.19,109.01,30.82
650,-0.42,-5.00,3.99,7.57,107.06,38.88
660,-0.43,-4.91,3.51,9.52,103.58,47.79
670,-0.46,-4.79,2.94,11.90,83.25,65.92
680,-0.75,-4.47,1.87,11.17,84.96,74.89
690,-0.90,-4.36,1.55,5.62,76.35,84.17
700,-1.12,-4.10,1.36,-2.08,68.42,93.32
710,-1.31,-3.85,1.23,-10.62,61.52,103.03
720,-1.50,-3.46,1.08,-19.96,56.03,112.92
730,-1.56,-2.62,0.86,-40.47,43.09,134.52
740,-1.48,-2.20,1.53,-49.07,31.01,146.36
750,-1.38,-1.70,2.30,-53.53,12.21,158.51
760,-1.27,-1.22,2.67,-50.96,-8.36,171.45
770,-1.13,-0.74,2.97,-44.74,-27.34,185.91
780,-0.89,-0.34,3.64,-37.41,-66.89,218.87
790,-0.56,1.47,3.97,-37.66,-86.73,235.29
800,-0.18,3.16,5.48,-38.45,-104.80,249.82
810,0.48,5.28,7.73,-39.06,-123.05,263.06
820,1.53,7.37,9.99,-34.67,-136.41,272.40
830,3.01,8.77,11.75,3.36,-133.67,261.54
840,5.17,11.06,13.18,25.45,-116.58,237.67
850,5.53,11.71,12.54,39.43,-98.94,207.09
860,5.31,12.65,11.81,43.09,-80.69,174.01
870,5.01,13.07,11.55,36.50,-64.94,143.80
880,5.02,13.00,11.35,25.02,-53.53,96.01
890,4.76,12.91,11.61,2.38,-40.89,75.68
900,4.56,12.61,12.01,-3.85,-36.19,57.68
910,4.27,12.16,12.28,-6.04,-31.56,42.60
920,3.92,11.69,12.25,-3.78,-26.37,30.15
930,3.63,11.00,12.22,2.62,-20.63,20.63
940,3.22,9.74,11.37,18.31,-16.42,10.01
950,2.71,9.06,10.97,24.05,-17.09,8.12
960,2.67,8.44,10.71,26.92,-17.88,7.63
970,2.60,7.90,10.67,26.67,-18.43,7.02
980,2.24,7.72,9.82,23.25,-21.00,6.23
990,2.42,7.19,9.71,20.45,-16.24,6.90
