timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.77,-3.39,6.30,-57.31,-19.90,-247.99
10,1.51,-4.97,7.04,-47.12,-22.28,-231.45
20,1.12,-6.19,7.82,-38.51,-23.50,-193.66
30,0.96,-8.48,9.56,-26.98,-15.93,-179.20
40,0.83,-9.89,10.19,-23.99,-7.93,-172.36
50,0.47,-11.81,10.45,-23.62,4.64,-170.59
60,-0.01,-13.81,10.54,-29.42,20.75,-167.79
70,-0.59,-15.37,10.51,-40.59,39.49,-158.81
80,-1.13,-16.86,11.01,-61.04,74.10,-119.32
90,-1.13,-17.05,10.64,-60.79,85.94,-91.80
100,-1.14,-16.63,9.94,-54.99,95.64,-60.12
110,-0.81,-15.83,9.33,-44.86,102.78,-26.31
120,-0.21,-14.81,8.56,-31.92,106.26,5.68
130,0.23,-13.94,7.49,-3.72,104.13,58.59
140,0.62,-11.54,5.95,8.24,102.23,79.10
150,-0.02,-10.12,6.84,19.84,96.01,99.43
160,1.38,-9.74,5.00,32.17,90.76,116.88
170,1.09,-8.37,4.64,44.07,88.62,132.57
180,1.13,-7.48,4.08,54.57,77.21,158.26
190,1.39,-6.12,3.09,64.94,68.24,172.18
200,1.59,-5.63,2.56,65.43,58.72,186.34
210,1.51,-5.00,2.24,62.93,48.58,199.83
220,1.50,-4.32,2.16,59.20,38.45,213.01
230,1.42,-3.62,2.12,55.79,27.47,243.23
240,1.22,-2.07,2.25,54.87,4.21,258.85
250,1.04,-1.24,2.35,55.11,-7.81,277.77
260,0.64,-0.36,2.52,55.66,-19.65,299.87
270,0.02,0.77,2.73,55.18,-29.42,324.28
280,-0.44,2.14,3.03,53.59,-35.28,350.34
290,-0.95,6.36,3.43,47.12,-43.76,398.68
300,-0.33,8.59,3.28,44.49,-46.51,412.29
310,1.07,10.49,2.90,44.19,-50.11,411.32
320,3.56,11.96,2.43,46.45,-58.59,389.89
330,4.88,12.30,2.13,55.91,-75.44,353.03
340,3.69,12.30,1.90,92.10,-126.22,237.12
350,2.73,11.08,3.08,105.29,-156.19,180.97
360,1.18,10.53,3.65,108.70,-176.45,147.83
370,0.36,10.30,4.40,102.60,-184.81,131.47
380,0.42,9.90,5.04,92.96,-186.22,123.78
390,0.38,9.71,5.60,84.72,-182.43,110.60
400,-0.33,9.97,6.87,80.14,-174.07,104.13
410,-0.73,10.63,7.92,82.40,-182.25,99.67
420,-1.42,11.36,7.45,85.02,-206.36,97.96
430,-0.59,12.16,8.44,84.53,-215.52,94.48
440,-0.10,12.72,9.08,76.54,-212.65,85.51
450,0.85,14.03,9.84,56.34,-189.88,37.60
460,0.86,14.64,10.28,50.29,-173.83,3.97
470,0.67,14.73,10.43,51.21,-169.07,-30.70
480,-0.09,14.12,10.13,59.45,-173.65,-64.39
490,-0.95,13.21,9.97,65.92,-178.34,-93.14
500,-1.70,12.17,10.82,53.83,-169.92,-125.49
510,-2.22,11.23,11.49,40.34,-162.72,-132.02
520,-2.01,11.37,12.47,30.03,-156.37,-137.33
530,-1.61,11.74,13.17,25.94,-151.55,-144.41
540,-1.31,11.82,13.86,29.17,-147.09,-155.09
550,-1.14,11.94,14.66,39.49,-129.64,-186.40
560,-1.16,11.00,15.98,47.55,-116.15,-205.81
570,-1.36,10.25,16.06,53.59,-99.85,-224.85
580,-1.33,9.48,15.94,57.19,-83.01,-240.91
590,-1.16,8.48,15.84,59.14,-68.91,-254.27
600,-1.00,7.45,16.06,59.94,-57.25,-280.03
610,-0.25,5.40,17.07,59.94,-27.83,-293.27
620,-0.32,4.17,17.34,64.88,-8.61,-308.47
630,-0.28,3.04,17.65,70.25,9.52,-323.12
640,-0.35,1.88,17.87,76.17,27.65,-334.41
650,-0.60,0.66,17.64,82.34,48.34,-343.20
660,-0.47,-0.77,16.62,85.33,93.20,-351.81
670,-0.77,-3.65,16.37,87.16,114.93,-343.63
680,-1.58,-5.07,15.69,76.66,135.38,-332.76
690,-1.46,-5.86,15.38,54.14,151.55,-320.37
700,-1.51,-6.88,15.19,34.42,163.27,-301.33
710,-1.52,-7.66,14.95,-0.06,180.48,-261.66
720,-1.40,-8.77,14.76,-6.71,191.35,-244.14
730,-1.68,-9.36,14.38,-7.69,199.28,-226.62
740,-1.85,-9.87,13.73,-5.98,205.51,-207.46
750,-1.92,-10.27,13.04,-2.26,210.27,-186.04
760,-1.83,-10.67,12.26,2.26,214.36,-138.98
770,-1.52,-10.76,10.43,6.90,214.60,-115.11
780,-1.51,-10.56,9.67,8.30,215.03,-90.58
790,-1.40,-10.16,9.14,9.22,214.54,-65.92
800,-1.14,-9.78,8.60,10.68,210.08,-41.26
810,-0.95,-9.39,7.77,14.40,202.88,-18.13
820,-0.51,-8.33,6.69,19.23,193.79,24.84
830,-0.30,-7.76,6.29,20.75,188.72,45.59
840,-0.18,-7.14,5.91,23.25,182.31,65.61
850,-0.14,-6.58,5.50,26.92,176.21,84.35
860,-0.12,-5.87,5.20,31.31,170.78,101.44
870,-0.11,-5.16,4.56,42.42,157.59,134.77
880,-0.02,-3.89,4.21,49.50,151.18,150.51
890,-0.01,-3.23,3.82,56.21,144.65,165.34
900,-0.05,-2.67,3.41,63.05,138.43,179.14
910,-0.10,-2.07,2.94,68.97,132.08,192.50
920,-0.14,-1.55,2.49,78.06,119.87,217.41
930,-0.33,-0.25,1.81,83.07,111.15,229.25
940,-0.38,0.45,1.57,87.04,100.95,240.91
950,-0.37,1.15,1.39,89.84,90.21,252.56
960,-0.41,1.95,1.05,90.82,79.04,263.98
970,-0.34,2.69,0.79,89.72,69.40,279.85
980,-0.11,5.03,0.90,84.17,49.07,283.14
990,0.68,5.89,1.01,87.83,37.96,283.02
