timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1.05,7.49,11.30,35.77,101.99,130.07
10,1.67,8.02,10.30,30.33,109.99,135.62
20,2.31,8.68,10.78,21.24,117.68,136.41
30,1.90,9.53,10.26,10.62,115.66,113.46
40,1.88,10.42,10.07,-0.31,122.13,98.02
50,1.70,10.57,10.14,-3.91,123.66,82.28
60,1.47,10.89,10.40,-6.23,126.34,67.50
70,1.53,11.03,10.54,-5.19,130.62,54.38
80,1.65,11.17,10.45,-2.32,136.05,41.02
90,1.63,11.41,10.00,5.98,153.26,9.52
100,1.37,11.45,9.59,10.38,159.36,-6.35
110,1.32,11.50,8.91,13.24,162.35,-20.45
120,1.55,11.38,7.95,14.59,163.57,-33.33
130,1.77,11.16,6.94,13.37,163.94,-47.42
140,1.82,10.86,6.04,2.14,158.51,-80.63
150,1.80,9.85,5.21,-11.35,150.15,-96.19
160,1.42,9.41,4.48,-14.89,151.12,-110.60
170,1.35,8.99,4.21,-20.20,148.44,-123.35
180,1.32,8.34,3.73,-23.56,141.85,-133.06
190,1.22,7.79,3.11,-24.84,121.52,-144.04
200,0.86,6.67,2.32,-24.84,111.51,-146.48
210,1.13,6.14,2.14,-25.21,101.26,-147.71
220,1.51,5.60,1.82,-25.94,91.00,-148.44
230,1.41,5.21,1.35,-29.48,79.96,-148.32
240,1.38,4.88,0.90,-35.34,68.73,-148.38
250,1.91,4.13,0.55,-51.82,41.81,-147.40
260,2.03,3.76,0.56,-60.55,26.37,-148.01
270,2.15,3.37,0.71,-68.85,12.51,-148.80
280,2.20,2.94,0.84,-75.32,1.04,-149.72
290,2.14,2.45,0.91,-80.02,-8.24,-150.39
300,2.08,1.35,0.92,-85.14,-26.12,-149.84
310,1.94,0.90,1.02,-87.34,-36.62,-147.40
320,1.93,0.43,1.19,-89.11,-48.34,-143.01
330,1.86,-0.07,1.37,-89.42,-59.57,-137.21
340,1.83,-0.55,1.67,-89.54,-70.86,-130.68
350,1.79,-0.97,2.13,-90.64,-94.48,-111.88
360,1.67,-1.60,3.36,-91.43,-107.73,-99.85
370,1.81,-1.87,4.12,-92.29,-121.34,-86.06
380,1.95,-2.06,4.85,-92.77,-133.48,-71.53
390,2.16,-2.17,5.51,-93.26,-143.07,-57.37
400,2.34,-2.15,6.12,-93.20,-148.80,-33.33
410,2.62,-2.16,6.90,-88.07,-157.17,-24.66
420,2.66,-2.33,7.29,-84.11,-163.33,-18.13
430,2.92,-2.17,7.69,-80.51,-169.98,-11.90
440,2.77,-2.73,8.42,-75.56,-174.74,-4.21
450,2.27,-3.15,9.10,-71.59,-177.86,3.11
460,2.37,-3.22,10.78,-67.14,-179.93,18.62
470,2.35,-3.54,11.66,-61.34,-179.44,28.63
480,2.34,-3.64,12.61,-56.09,-178.16,38.45
490,2.40,-3.64,13.48,-50.90,-175.66,48.34
500,2.58,-3.52,14.32,-42.48,-169.74,57.86
510,2.68,-3.37,15.33,-20.20,-150.45,72.33
520,2.85,-2.72,15.71,-7.93,-137.82,77.21
530,2.93,-2.41,15.49,5.13,-123.17,81.36
540,2.96,-2.27,15.13,15.81,-107.18,85.21
550,2.93,-2.13,14.82,23.68,-93.02,88.81
560,2.78,-1.93,14.61,32.35,-74.22,97.60
570,2.69,-1.73,14.14,33.69,-68.24,104.37
580,2.71,-1.70,14.06,33.75,-63.60,112.12
590,2.75,-1.66,14.13,32.65,-60.18,119.87
600,2.70,-1.58,14.26,31.49,-56.88,128.17
610,2.46,-1.36,14.48,30.46,-52.25,146.97
620,1.67,-0.43,14.97,27.59,-44.92,160.83
630,2.12,0.09,15.33,28.81,-32.35,170.59
640,2.15,0.67,15.31,28.81,-14.59,173.95
650,2.32,1.39,15.43,30.46,7.02,171.51
660,2.10,2.03,14.94,32.17,26.25,165.95
670,1.75,3.13,14.21,36.87,54.75,156.68
680,1.09,3.47,13.80,39.49,62.01,157.17
690,0.88,3.69,13.27,40.71,65.31,160.83
700,0.81,3.87,12.89,38.64,68.18,166.20
710,0.82,4.27,12.75,33.75,71.23,170.84
720,0.85,4.81,12.81,22.22,78.00,173.16
730,1.01,5.79,13.15,18.13,83.92,169.74
740,0.98,6.18,13.27,17.21,91.98,163.09
750,0.80,6.57,13.38,18.37,100.77,154.48
760,0.69,6.94,13.29,20.45,107.67,145.26
770,0.65,7.19,12.70,23.25,119.08,128.78
780,0.79,7.33,12.10,28.81,125.92,121.95
790,0.80,7.45,11.91,31.07,130.80,116.70
800,0.75,7.62,11.66,32.10,132.63,113.28
810,0.73,7.73,11.42,30.46,132.63,109.99
820,0.74,7.87,11.15,25.02,132.51,105.16
830,0.74,7.89,10.70,2.14,135.25,89.48
840,0.72,7.94,10.68,-14.04,138.55,78.31
850,0.84,8.05,10.72,-30.76,143.43,65.98
860,0.93,8.22,10.81,-42.48,150.51,52.98
870,0.86,8.52,10.84,-47.18,158.51,39.49
880,0.78,8.90,10.36,-38.51,169.86,13.92
890,0.72,9.51,9.63,-28.32,171.94,2.93
900,0.88,9.73,8.83,-18.19,172.12,-7.69
910,1.15,9.86,7.83,-10.19,169.92,-19.41
920,1.34,9.91,6.64,-6.10,166.63,-32.84
930,1.49,9.80,5.28,-10.07,161.19,-62.38
940,1.63,9.29,3.40,-16.97,154.54,-77.94
950,1.68,8.88,2.70,-25.27,142.64,-92.47
960,1.68,8.41,2.15,-34.06,128.78,-105.59
970,1.83,7.86,1.99,-42.30,116.82,-117.31
980,1.71,7.42,1.37,-48.40,106.26,-135.56
990,1.62,6.62,1.40,-63.54,86.73,-139.77
