timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-1.10,0.06,13.78,25.39,-32.47,-64.94
10,-0.47,0.02,13.85,34.73,-21.12,-67.93
20,-0.27,0.13,13.73,42.72,-15.81,-72.14
30,-0.21,-0.60,14.04,56.40,-14.28,-70.62
40,-0.02,-1.10,14.49,64.94,4.03,-64.09
50,0.41,-1.76,15.61,73.06,15.01,-58.65
60,0.33,-1.91,16.15,70.80,25.02,-51.70
70,-0.05,-2.03,16.36,66.77,33.81,-44.43
80,-0.50,-2.20,16.60,66.41,41.69,-40.41
90,-0.62,-2.63,17.25,68.42,51.51,-38.64
100,-0.67,-3.12,18.70,65.31,79.04,-34.97
110,-0.81,-3.13,18.86,57.98,89.90,-30.52
120,-0.88,-3.12,18.63,50.54,97.72,-25.02
130,-1.14,-2.96,18.33,44.19,103.45,-19.29
140,-1.18,-2.67,17.96,39.49,107.54,-14.04
150,-1.28,-1.98,16.87,33.81,120.00,-2.44
160,-1.75,-1.57,16.38,32.41,128.66,3.60
170,-2.11,-1.34,15.54,32.23,136.66,8.85
180,-2.63,-0.79,15.83,34.55,140.14,11.47
190,-3.38,-1.73,14.32,41.63,146.42,12.70
200,-2.51,-1.97,13.74,36.87,167.66,8.12
210,-2.29,-2.33,11.81,34.36,178.41,9.58
220,-1.75,-2.57,11.38,28.44,185.85,12.94
230,-1.92,-2.78,10.35,19.53,185.67,16.54
240,-1.88,-2.99,9.44,9.03,182.50,21.55
250,-1.60,-2.86,8.54,1.04,177.61,31.43
260,-1.48,-2.93,7.04,2.99,168.70,35.58
270,-1.40,-3.32,6.78,10.01,167.79,39.55
280,-1.16,-3.88,6.76,17.58,167.54,43.88
290,-0.79,-4.20,6.55,22.64,166.75,48.83
300,-0.35,-4.25,6.16,23.38,167.48,57.43
310,-0.08,-4.05,4.97,20.20,167.42,83.92
320,-0.34,-3.96,4.16,20.69,164.25,95.95
330,-0.50,-3.88,3.54,24.96,159.97,103.70
340,-0.25,-3.84,3.26,31.74,153.63,107.48
350,-0.19,-4.07,3.02,38.51,145.14,109.25
360,-0.09,-4.23,2.65,43.58,130.00,110.05
370,0.50,-3.87,1.37,39.55,126.34,113.28
380,0.85,-3.63,0.89,33.08,119.87,118.41
390,1.00,-3.31,0.18,25.15,107.60,124.21
400,1.08,-2.92,-0.67,18.07,91.37,129.33
410,1.20,-2.52,-1.42,14.59,61.83,135.50
420,1.52,-1.71,-2.55,19.41,49.93,136.11
430,1.91,-1.15,-2.76,24.78,39.43,136.78
440,2.26,-0.59,-2.84,29.54,28.14,138.06
450,2.46,0.01,-2.84,32.65,14.89,139.71
460,2.75,0.71,-2.66,34.61,0.61,141.24
470,3.34,2.32,-1.80,34.61,-29.24,144.35
480,3.51,3.11,-1.26,31.37,-44.86,145.20
490,3.56,3.95,-0.76,26.61,-59.45,144.71
500,3.67,4.91,-0.12,21.42,-73.06,142.46
510,3.66,5.94,0.69,16.48,-86.43,139.83
520,3.47,8.56,2.59,15.26,-107.97,131.04
530,3.46,9.56,3.96,21.36,-116.03,124.21
540,3.27,10.72,4.95,28.32,-123.66,116.39
550,3.05,11.86,5.97,31.19,-126.28,108.52
560,2.76,12.92,6.95,32.04,-123.84,99.43
570,2.36,13.89,8.07,32.65,-112.79,70.80
580,1.27,15.38,10.24,31.31,-110.53,48.65
590,0.81,16.18,11.16,26.92,-109.31,21.06
600,0.40,16.54,11.78,21.48,-107.12,-8.06
610,0.26,16.65,12.30,15.26,-103.82,-37.54
620,0.11,16.57,12.53,9.77,-100.77,-98.33
630,-0.28,14.96,12.77,5.68,-91.00,-126.53
