timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,5.42,0.09,-0.44,15.81,-134.22,29.79
10,4.98,0.98,0.11,20.20,-160.71,31.56
20,4.88,0.96,0.62,32.04,-168.03,26.00
30,5.28,0.72,0.91,45.84,-170.41,21.42
40,5.05,0.86,1.12,56.40,-179.50,14.95
50,4.85,0.77,1.38,63.42,-195.07,8.06
60,4.59,0.61,3.05,70.74,-218.44,-3.36
70,3.84,0.04,3.86,74.52,-224.79,-6.47
80,3.62,-0.36,4.19,79.71,-227.78,-7.20
90,3.43,-0.83,4.26,84.59,-229.43,-4.76
100,3.09,-1.11,4.35,85.14,-237.79,-0.18
110,2.74,-1.15,4.78,78.06,-264.77,12.88
120,2.28,-1.03,7.35,76.78,-277.10,18.07
130,1.51,-0.51,8.66,80.51,-295.53,21.30
140,0.37,1.09,8.24,89.42,-306.88,25.27
150,1.67,-0.24,10.83,101.50,-308.17,28.87
160,1.81,-0.11,10.95,108.28,-303.16,24.35
170,0.92,0.01,11.61,117.13,-296.26,21.24
180,0.88,-0.34,13.44,118.65,-288.82,23.13
190,0.46,-0.18,15.11,118.35,-290.71,25.15
200,0.32,-0.59,16.41,122.92,-292.05,29.85
210,0.33,-1.03,17.41,129.76,-286.01,36.87
220,-0.08,-1.63,19.75,143.43,-264.10,44.56
230,-0.51,-1.67,21.08,146.18,-251.34,44.68
240,-0.24,-2.01,22.29,147.64,-229.98,44.80
250,-0.02,-2.30,22.95,147.71,-198.55,44.49
260,-0.09,-2.49,23.27,144.90,-161.74,41.26
270,-0.14,-2.71,23.32,125.98,-93.20,26.06
280,0.07,-3.54,22.23,107.30,-60.12,18.74
290,0.11,-3.92,21.54,83.31,-27.22,12.82
300,0.08,-4.19,20.93,55.66,2.62,8.91
310,-0.00,-4.17,20.35,28.26,29.42,8.24
320,-0.07,-4.01,19.74,-11.17,77.21,14.04
330,-0.19,-3.63,19.07,-28.99,96.25,14.89
340,-0.24,-3.52,18.92,-41.02,113.10,13.55
350,-0.17,-3.50,18.60,-50.60,131.84,10.50
360,-0.27,-3.47,18.11,-59.02,153.69,5.80
370,-0.37,-3.26,17.86,-68.73,178.16,-15.56
380,-0.34,-2.75,17.35,-88.50,237.12,-14.34
390,-0.25,-2.80,16.34,-97.05,270.02,-25.02
400,-0.46,-3.10,14.85,-105.41,302.19,-35.77
410,-0.79,-3.31,13.16,-117.13,329.53,-42.72
420,-0.99,-3.32,11.49,-132.93,350.59,-43.27
430,-0.92,-2.50,8.73,-167.24,374.88,-29.72
440,-0.02,-2.09,7.69,-180.24,378.48,-21.67
450,0.37,-1.63,7.00,-187.26,378.78,-15.99
